tweet,retweetsCount,favoritesCount,timestamp
"RT @ObservingSpace: Northern lights over Carcross, #Yukon, #Canada  Credit: W. Roberts http://t.co/tSmfsXCxQH #aurora http://t.co/KMRqWqBVIk",97,0,2014-12-31 18:41:48
"RT @Cmdr_Hadfield: Into the final bits of 2014. Here are 12 interesting images of what we did and saw in space exploration, from @BBC:  htt…",232,0,2014-12-31 18:41:18
"RT @AstroNutRayB: @Astro_DavidS Merry cosmic-Christmas David from the AstroNuts kids space club! Thanks for the inspiration! http://t.co/sK…",5,0,2014-12-27 23:46:38
"RT @asc_csa: Rassemblez-vous et chantez tous en chœur ce chant de Noël spécial « spatial »! http://t.co/k5XqyF7pkU http://t.co/ZJ4rNCNstW",13,0,2014-12-24 22:09:50
"RT @mark_tarello: WOW! Northern Lights this weekend seen from Old Crow, Yukon. Photo: Robert Postma. #Aurora #NorthernLights #Yukon http://…",104,0,2014-12-14 14:09:36
"RT @AuroraMAX: ICYMI Our latest pic of the #NorthernLights MT @AuroraMAX: #auroraborealis above #Yellowknife NWT taken on Dec. 6 http://t.c…",74,0,2014-12-14 14:07:53
"RT @AstroTerry: Best #Aurora that I've seen- very clear even to the naked eye http://t.co/N9OVjcynlh",1934,0,2014-12-14 14:07:41
"RT @ttrpoff: Thanks to @Astro_DavidS these are the future astronauts! #ISS #JourneytoMars #IBPYP http://t.co/xA0DbWkeI5",5,0,2014-12-12 06:16:26
"RT @StationCDRKelly: Awesome, it worked! Can I ride next? I mean, after my one year thing on #ISS. Congrats #Orion! #journeytomars http://t…",232,0,2014-12-07 01:32:18
"RT @nasahqphoto: Our remote camera caught this nice sunrise at launch complex 37 yesterday. #Orion More: https://t.co/BIHUv9Oix1 http://t.c…",398,0,2014-12-06 14:52:16
"RT @AstroTerry: amazing aurora over the arctic between #Canada and #England plus moonlit solar array http://t.co/9xaR4bNicm",3633,0,2014-12-06 14:52:06
"RT @ttrpoff: We skyped with @Astro_DavidS last year. #inspiring Watching the Orion test flights and his words ring true. #mars #IBPYP #cis",3,0,2014-12-06 01:37:10
"RT @NASA: Splashdown! #Orion completes a critical step on our #JourneytoMars.",3476,0,2014-12-05 16:36:26
"RT @ObservingSpace: There's your new spacecraft America...(and the world) #Orion #orionlaunch http://t.co/dvI7orYXoe",165,0,2014-12-05 16:36:13
"RT @NASA: Friction of Earth's atmosphere makes a superheated plasma around #Orion, blocking comm signals. Watch: http://t.co/gdVKg90Tzi",283,0,2014-12-05 16:22:00
"RT @NASA: Coming home! #Orion has reached Earth's atmosphere at speeds of 20,000 mph (32,000 kph)! http://t.co/gdVKg90Tzi http://t.co/sF2B9…",1904,0,2014-12-05 16:20:08
"RT @csa_asc: @peterwdoyle @Astro_DavidS @NASA_Orion - #Orion will reach a height of 5700 km/3600 miles—15 times higher than the #ISS!",7,0,2014-12-05 15:15:15
"RT @NASA: .@USNavy ships that will help recover #Orion have deployed near splashdown site. Watch: http://t.co/6XtjOi1yJo http://t.co/7U9DwL…",709,0,2014-12-05 15:12:28
"RT @AstroTerry: watching #Orion launch with our crew from the #ISS- awesome!!! http://t.co/10o0bqob3o",1853,0,2014-12-05 15:12:23
"RT @NASA: Here's Earth as seen from #Orion during its flight out to a peak altitude of 3,600 miles away from the planet. http://t.co/cBN0jp…",5802,0,2014-12-05 15:12:17
"RT @NASA_Johnson: Dramatic view of the limb of the Earth as #Orion orbits. Splashdown at 11:30am ET. Watch: http://t.co/ESXAb8kpeM http://t…",736,0,2014-12-05 15:12:00
"RT @NASA: #Orion launched at 7:05am ET/12:05 UTC. Orion will orbit Earth twice, reaching a peak altitude of 3,600 miles. http://t.co/6Vqcab…",5307,0,2014-12-05 12:19:41
"RT @asc_csa: Quelle énergie! RT @ESA_fr: TT @esa Décollage du vol de test d'#Orion http://t.co/byjDJ1sZdG",8,0,2014-12-05 12:19:19
"RT @Astro_Nicole: Liftoff!!!!!  Go #Orion!!!!  #ToOurFuture! http://t.co/Pu8zCfgbuj",129,0,2014-12-05 12:19:14
"RT @NASA_Orion: #Orion is going to internal power.  Flight computers updated with wind info. 8 min to launch. http://t.co/ORPKEPLBQD",287,0,2014-12-05 11:58:32
"RT @NASA: Watch live #Orion launch coverage on NASA TV starting Friday at 6:00am ET/11:00 UTC: http://t.co/YLPxmnvxQ8 http://t.co/PsGoDSk8vw",1383,0,2014-12-05 04:36:40
"RT @csa_asc: #Orion launch scrubbed for today. If the valve issue can be fixed today, NASA will try again tomorrow.",37,0,2014-12-04 14:40:13
"RT @NASA: Scrub. Today's planned launch of #Orion is postponed due to valve issue. Our next possible launch window opens at 7:05am ET Friday",5623,0,2014-12-04 14:36:36
"RT @csa_asc: Better safe than sorry. RT @BadAstronomer: This kind of stuff happened ALL THE TIME with the Shuttles. Patience, folks.",36,0,2014-12-04 14:35:54
"RT @NASA: #Orion launch hold. A fuel and drain value did not close. Standing by for more information. Watch: http://t.co/yr4qxsIufl  #Orion…",1601,0,2014-12-04 13:29:27
"RT @NASA: We're 'go!' #Orion's new launch time is 8:26am ET / 13:26 UTC. Watch: http://http://t.co/yr4qxsIufl  #OrionLaunch http://t.co/b1z…",2328,0,2014-12-04 13:17:54
"RT @NASA: New management poll conducted &amp; #Orion is 'GO' for launch at 7:55amET/12:55 UTC! Watch: http://t.co/yr4qxsIufl  #OrionLaunch",697,0,2014-12-04 12:50:04
"RT @globeandmail: America’s Next Giant Leap: Orion’s maiden space voyage first step on taking humans to Mars http://t.co/2Bjj0zxtBj http://…",27,0,2014-12-04 12:22:43
