tweet,retweetsCount,favoritesCount,timestamp
"Cool! 'Journey To Space' 2015 movie trailer: http://t.co/5Hf0QffGnq",19,25,Mon Dec 15 16:43:38 +0000 2014
"RT @jts3dfilm: Final voice over session w astronaut Chris Ferguson @Astro_Ferg #journeytospace #orion #spaceshuttle #atlantis #NASA http://…",9,0,Sat Dec 13 20:00:56 +0000 2014
"A resounding 'well done!' to the Delta/Orion team for what appears to be a great test mission. Mars awaits (but the Moon is in the way).",18,23,Fri Dec 05 16:50:26 +0000 2014
"'Orion...The biggest countdown since July 2011' Fingers crossed for good weather and a successful mission tomorrow.",18,27,Thu Dec 04 03:58:58 +0000 2014
"Speaking of space....The Atlantic Innovation summit-- Dubai. Amazing city. http://t.co/fj2NSMdJSP",7,16,Fri Nov 07 13:56:16 +0000 2014
"Great news for the future of human spaceflight today.  Proud to be selected to return Americans to the ISS on a Boeing spacecraft!",39,38,Tue Sep 16 22:21:57 +0000 2014
"@DanSpace77 @NASA Thanks @danspace77!",1,1,Mon Sep 01 13:27:37 +0000 2014
"Cast &amp; crew of IMAX 'Journey to Space' (2015) @BigelowSpace with mockup of massive inflatable spacecraft. http://t.co/c4mYcTCQNH",44,48,Sat Aug 23 17:16:25 +0000 2014
"Almost there.... http://t.co/IFStbLWBDg",11,19,Thu Aug 14 13:15:45 +0000 2014
"'Independence' ready to be lifted onto Boeing shuttle carrier for permanent display http://t.co/e1H4k2jMSE",8,15,Thu Aug 14 13:03:22 +0000 2014
"RT @projmgr: .@Astro_Ferg Sure was! On this day 3 years ago we watched #STS135 launch from Rocket Garden http://t.co/AWCRi1pCMp",4,0,Sat Jul 12 14:36:07 +0000 2014
"@GabrielleNYC Cool!!!",0,0,Sat Jul 12 14:34:26 +0000 2014
"@PlanetDr Cool!!!",0,2,Sat Jul 12 14:33:34 +0000 2014
"RT @BoeingDefense: The challenges of tomorrow’s space voyages drive innovation, improving life as we know it. Let’s Go… Beyond Earth: http:…",33,0,Fri Jul 11 02:32:47 +0000 2014
"Three years ago today. Were you there? http://t.co/gZngtFzkrg",18,32,Tue Jul 08 20:25:24 +0000 2014
"The old Shuttle 'Engine Shop' looks great...converted to an assembly facility (for the CST-100). New life for KSC. http://t.co/UxOOaQjZ1p",38,33,Thu May 29 20:27:09 +0000 2014
"Thx for questions. Proud to be part of #Boeing CST-100 team...building it better. #spacechat",5,6,Tue May 20 17:54:59 +0000 2014
"Outlook for human spaceflight very bright. Excited to bring business back to US. Not just for astronauts...but for business. #spacechat",9,9,Tue May 20 17:52:15 +0000 2014
"Best space movies: 1. Apollo13 2. Gravity 3. Right Stuff. Cant wait for WB ' Interstellar' @warnerbrosent #spacechat",7,14,Tue May 20 17:45:29 +0000 2014
"Sleeping in space...no sore back. Its awesome!  Need sleeping bag to keep from from floating around. #spacechat",10,6,Tue May 20 17:38:27 +0000 2014
"...and Samsung mobile in space will be just plain cool! #spacechat",3,1,Tue May 20 17:33:22 +0000 2014
"Use of Samsung mobile onboard will be used for checklists, on-board camera viewing, and social comm. #spacechat",5,4,Tue May 20 17:31:21 +0000 2014
"Favorite part of space flight by far is looking at earth...no borders #spacechat",12,16,Tue May 20 17:28:26 +0000 2014
"Civilian orbital space travel can happen on a US spacecraft as early as 2018 #spacechat",17,7,Tue May 20 17:25:48 +0000 2014
"We should explore where ever we have found water. Mars and the Moon are great places to start. #spacechat",7,8,Tue May 20 17:18:34 +0000 2014
"Commercial transportation to ISS will cost less allowing NASA to focus on exploration beyond LEO",4,7,Tue May 20 17:13:33 +0000 2014
"Flying CST-100 just like shuttle. Same type of trans and rotational controllers. #spacechat",4,8,Tue May 20 17:06:45 +0000 2014
"Answers for Tweet Chat will be provided @Astro_Ferg #spacechat",0,1,Tue May 20 17:00:16 +0000 2014
"For tweet chat, ask questions @BoeingDefense #spacechat",0,1,Tue May 20 16:58:10 +0000 2014
"Join me for a live chat Tues 1p ET/11a MDT to talk future of commercial space. Submit your Q’s &amp; follow using #spacechat @BoeingDefense.",4,7,Mon May 19 03:15:59 +0000 2014
"Flying first class....to space. This is what it might look like. Boeing Builds it Better. http://t.co/X4xV6CfiP6",13,26,Thu May 15 04:18:00 +0000 2014
"Boeing 747 Shuttle Carrier makes final trip...over land...to Space Center Houston, to begin 2nd life...in education http://t.co/UPrutwllb7",28,29,Tue Apr 29 01:43:33 +0000 2014
"My awesome Omega watch keeps mission time and has been running since STS -135 launch. Well it stopped today......at 1000 days. Wow!",9,23,Thu Apr 03 21:31:36 +0000 2014
"Making IMAX Journey to Space. In theaters next year. http://t.co/gIdR9ualHG",57,57,Sun Mar 30 01:35:10 +0000 2014
"@emily_murphyghs In a heartbeat!",0,0,Thu Mar 20 01:11:07 +0000 2014
"@VarsityQbghs I would say.... it was just a matter of time. It's a big universe.",0,1,Mon Mar 10 01:27:15 +0000 2014
"@LukeWesleyPrice Yes Luke, it's fantastic. Proudly displayed in my Boeing office where we're designing the next crewed vehicle to go to ISS.",2,6,Thu Mar 06 00:44:56 +0000 2014
"@LukeWesleyPrice Thanks Luke. Hard to believe its been 2 1/2 yrs. Proud to display it. Boeing Co., 13100 Space Center Blvd, Houston 77059",0,2,Tue Feb 11 04:27:35 +0000 2014
"@Astro_Jose Jose, I have a friend looking for a speaker in Paraguay on Mar 20. Interested?reply to Chris.j.ferguson1@gmail.com",0,1,Thu Feb 06 21:46:10 +0000 2014
"@CoolAstronomer Hi Derrick. Tomorrow at about 5pm ok? Reply at: chris.j.ferguson1@gmail.com",0,1,Tue Feb 04 23:22:45 +0000 2014
"Making 'Journey to Space'. Coming next year to an IMAX theater near you. http://t.co/0rlbqM8x3r",14,19,Wed Jan 29 18:21:04 +0000 2014
"RT @Commercial_Crew: Former astro @BoeingDefense’s Chris Ferguson flies on-orbit, docking and entry scenarios in the CST-100 simulator. htt…",46,0,Thu Jan 16 22:47:31 +0000 2014
"@LittleNightHawk Of course!",0,0,Wed Jan 15 03:49:53 +0000 2014
"@brettmandel @NASA_Wallops Excellent investment!",0,0,Mon Jan 13 00:10:00 +0000 2014
"@Francis_LYF good choice, Francis. Good luck!",0,0,Mon Jan 13 00:09:14 +0000 2014
"My former ship, USS Forrestal waits to become scrap. Pic taken on Philly trip. Cool...but sad. USS Kennedy on right http://t.co/rByP7a56hA",23,26,Sun Jan 12 23:59:04 +0000 2014
