tweet,retweetsCount,favoritesCount,timestamp
"Thx 4 postcard fm space @AstroTerry. Pic of Lake Winnipeg, Lake Manitoba. Beautiful. http://t.co/tmBon3WkNm",61,85,Wed Dec 31 03:10:22 +0000 2014
"RT @AstroTerry: How appropriate- Canadian robotic arms looking down over Saskatchewan, Manitoba, and Ontario #Canada http://t.co/GC9MCtOwrn",706,0,Wed Dec 31 03:05:16 +0000 2014
"Seasons Greetings from our family. May this Holiday Season bring you great Joy and Happiness! @CHansenMD http://t.co/zVqN0udzOG",22,75,Thu Dec 25 22:15:14 +0000 2014
"RT @csa_asc: Space storytime! Gather round with milk &amp; #maplecreamcookies for a classic tale of holiday magic with our own twist http://t.c…",13,0,Fri Dec 19 21:35:30 +0000 2014
"RT @csa_asc: #ISS1year press conference with @nasa @esa @fka_roscosmos @jaxa &amp; @csa_asc this morning at 10 EST. Watch live: http://t.co/GLV…",11,0,Thu Dec 18 14:43:36 +0000 2014
"Listening 2 @esa Council of which @csa_asc is associated member. You can not deny benefits of International space Cooperation. Much promise!",14,27,Wed Dec 17 16:43:41 +0000 2014
"Bonjour Paris, première visite ici! Demain sera une conférence de presse de l'#ISS.  http://t.co/sCTPsH4K2f http://t.co/1WwTIaWJhW",10,25,Wed Dec 17 15:26:50 +0000 2014
"RT @csa_asc: Space Station Partners News Conference to Discuss Yearlong Mission. @astro_jeremy to participate: http://t.co/39t2ewzbLy",13,0,Thu Dec 11 19:27:49 +0000 2014
"@CdnSpaceGazette I hope that even @Cmdr_Hadfield would cheer 4 Habs given situation! Although may have been more Canadians on Stars team!",0,0,Tue Dec 09 15:52:43 +0000 2014
"RT @BBCAmos: Spectacular #geology confirms that lake sediments built Mars' Mount Sharp http://t.co/HoNbJEUh6U http://t.co/78Avn1XI4D",247,0,Tue Dec 09 15:32:21 +0000 2014
"RT @AstroSamantha: This is Dextre, he lives outside.A good guy, but doesn’t hang out with us much.He’s commanded remotely from #Canada. htt…",486,0,Tue Dec 09 14:26:46 +0000 2014
"Wow,this is really neat! Explore solar system in a few min with short film, Wanderers. http://t.co/ZvBFOSNvq9 http://t.co/fXqjcLr7cG",70,99,Mon Dec 08 20:08:29 +0000 2014
"RT @mark_tarello: WOW! Northern Lights this weekend seen from Old Crow, Yukon. Photo: Robert Postma. #Aurora #NorthernLights #Yukon http://…",106,0,Mon Dec 08 20:04:14 +0000 2014
"We may live in Texas these days, but tonight we found half a rink of sovereign Canadian territory! http://t.co/dhA5uOZGET",9,30,Sun Dec 07 00:16:11 +0000 2014
"Learning flow cytometry 2 analyze fluid (blood) in space.@csa_asc exp Microflow demonstrated this with @Cmdr_Hadfield http://t.co/1eTbtyOBOR",27,37,Fri Dec 05 20:49:14 +0000 2014
"Awesome to see #NASA_Orion safely under parachute! http://t.co/fyJvBhS9nl",33,42,Fri Dec 05 16:29:50 +0000 2014
"RT @NASA: Coming home! #Orion has reached Earth's atmosphere at speeds of 20,000 mph (32,000 kph)! http://t.co/gdVKg90Tzi http://t.co/sF2B9…",1910,0,Fri Dec 05 16:26:32 +0000 2014
"Great way to start a Friday with successful launch of #NASA_Orion! In few hrs, heat shield will be tested. http://t.co/pHKJoHBoap",64,65,Fri Dec 05 12:29:33 +0000 2014
"RT @NASA: #Orion launched at 7:05am ET/12:05 UTC. Orion will orbit Earth twice, reaching a peak altitude of 3,600 miles. http://t.co/6Vqcab…",5323,0,Fri Dec 05 12:25:42 +0000 2014
"No computer science... No Twitter, no internet etc. Proud of Canadian Schools taking part in #HourOfCode next week! @HoC_Canada @CodeOrg",32,21,Thu Dec 04 19:11:23 +0000 2014
"I'll be watching 1st test flight of #Orion capsule. No crew on it tomorrow, but there will be one day! http://t.co/PLHau84jD5",33,64,Thu Dec 04 02:07:41 +0000 2014
