tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroSamantha: 4 #Shanigans09 in 1 place... only in Star City! @astro_timpeake, @Thom_astro, @Astro_Andreas &amp; I  all training here. htt…",62,0,2014-10-17 18:42:56
"RT @RussianSpaceWeb: New dawn for #Proton returning to flight with strangest, weirdest, spookiest #Olymp satellite: http://t.co/bF8zHw7Drv …",20,0,2014-10-17 18:33:20
"RT @Astro_Satoshi: 水面に映るオーロラ“@BEAUTIFULPlCS: Aurora reflections. http://t.co/5BZ1F7saSd”",86,0,2014-10-17 18:31:41
"RT @alessio_romeo: On the road to  #Gorner Glacier #we will set up soon the first International Glacier Caving Camp http://t.co/T3TpqKI0ga",5,0,2014-10-17 03:06:38
"RT @alessio_romeo: Second step soon!!! #international glacier-Caving Camp on Gorner Glacier @CarlaCorongiu @vittoriocrobu @SirioSechi http:…",4,0,2014-10-17 03:05:48
"RT @CarlaCorongiu: @alessio_romeo @vittoriocrobu @SirioSechi And the second step???",1,0,2014-10-17 03:05:34
"RT @ESA_CAVES: The #caves2014 crew with the support team. A large family really https://t.co/UuN7bpDuhC http://t.co/jawcgkakMB",9,0,2014-10-14 11:45:55
"RT @ESA_CAVES: The #caves2014 red team (that's what they called themselves) - after reaching the light http://t.co/ZUtdpumSbz",7,0,2014-10-14 11:45:34
"RT @ESA_CAVES: The pictures of #caves2014 Day 6 are out featuring @astro_luca @Astro_Maker Matthias Sasha Sergey &amp; the wonderteam https://t…",4,0,2014-10-14 11:45:30
"RT @ESA_CAVES: Congrats @astro_luca. At least it was worth waking up at 5 am to take you to the pool during #caves2014 ;-) http://t.co/z8iQ…",4,0,2014-10-13 14:41:47
"RT @ESA_CAVES: We've published also some photos of #caves2014 Day5  https://t.co/rgyc3h917U",10,0,2014-10-13 14:41:32
"RT @ESA_CAVES: And if you hadn't noticed, there is a 'P' bottle just on the side ... #caves2014 http://t.co/Ncbi0AODgQ",7,0,2014-10-13 14:41:13
"RT @VicGlover: Happy 239th Birthday @USNavy! #239NavyBday #USNavy",4,0,2014-10-13 14:40:47
"RT @ESA_CAVES: Just had a preview of the final #caves2014 video sent by @SirioSechi. Fantastic what can I say? You tweeps have something to…",3,0,2014-10-13 14:40:40
"RT @ESA_CAVES: #aliens we met during #caves2014 (I mean the one in front, not Fabrizio, he's just weird) http://t.co/6slBnj80hb",9,0,2014-10-13 14:39:49
"RT @astro_reid: Awesome view of the Soyuz with only one array deployed. Flown by the best! http://t.co/2V6FaypPtW",936,0,2014-09-27 21:32:06
"RT @ESA_CAVES: @astro_luca and @Astro_Maker high up above in #Caves2014 training this morning. http://t.co/dAnWpAHrtv",6,0,2014-09-11 09:23:01
"RT @ESA_CAVES: Tailoring maybe @Astro_Maker ? #caves2014 goes on http://t.co/7z3lreytKj",4,0,2014-09-07 15:05:16
"RT @ESA_CAVES: Preparations have started early at #CAVES2014. Good morning Astro_Maker, today we will welcome the other participants....",2,0,2014-09-07 07:15:57
"RT @ESA_CAVES: I will go to sleep now, tomorrow's morning jog will be with @Astro_Maker (I'll show him the goats on the way) 'night tweeps!",2,0,2014-09-07 06:29:04
"RT @SpaceGirlWendy: @ESA_CAVES @Astro_Maker Yay! Go Maker Go! From a Desert RAT to a cave! Good luck! Can't wait to follow!",3,0,2014-09-06 19:08:38
"RT @MarilPitt: @ESA_CAVES @Astro_Maker benvenuto😊",1,0,2014-09-06 18:25:49
"RT @MneeraT7: #CAVES2014 - Astronauts @Astro_Aggie &amp; @Astro_Maker will be participating. More here http://t.co/FZlLLwhNNw http://t.co/SNeFx…",5,0,2014-08-31 17:46:11
"RT @Astro_Sabot: @Astro_Maker and @Astro_Kate7 flying back from KSC Friday. Thanks @Astro2fish for keeping us close for this pic http://t.c…",3,0,2014-08-24 13:47:17
"RT @richardbranson: “Inaction breeds doubt and fear. Action breeds confidence and courage.” http://t.co/bKMuGwXRlH http://t.co/itZ4xiUUGD",600,0,2014-08-12 15:10:23
"RT @Astro_Nicole: .@shuttlenut: Thx for a great week studying microbiology &amp; cell science @Astro_Nicole @Astro2fish, Rapster &amp; #Beaker! htt…",3,0,2014-08-01 16:10:39
