tweet,retweetsCount,favoritesCount,timestamp
"RT @ElyseDavid: A freebie! @Astro_Ron's stunning book The #OrbitalPerspective - u got 2 be in it 2 win it (stole that) http://t.co/F36lsKEQ…",4,0,2014-12-31 17:31:32
"RT @Flt_Adm_Edsenga: @Astro_Ron - My definition of home... http://t.co/2swkDbnzkg",11,0,2014-12-31 03:51:31
"RT @ksfrantz: @CrazyIdealist 'Who got a RAVE REVIEW from @PublishersWkly for their book? @BKpub's author, astronaut @Astro_Ron! http://t.co…",5,0,2014-12-28 03:48:07
"RT @JPMajor: Space Mountain: @Astro_Ron's photo of Colombia's Pico de Cristobal Colon http://t.co/0iE3Rmpyuq http://t.co/v3mP99gspH",20,0,2014-12-27 16:20:51
"RT @AstroSamantha: And best wishes to all of you celebrating #Christmas on Earth today. #HelloEarth http://t.co/P53vUNEPvV",2529,0,2014-12-26 04:03:06
"RT @JZarif: May the spirit of Christmas give us all the courage to strive for a more peaceful 2015. Merry Christmas and Happy New Year to a…",467,0,2014-12-26 02:53:37
"RT @BKpub: If you have a blog and you love astronauts, we want to send you @Astro_Ron's The Orbital Perspective! Apply here: http://t.co/12…",2,0,2014-12-24 18:30:25
"RT @AstroSamantha: These colors almost look too beautiful to be true. Colori quasi troppo belli per essere veri. #Bahamas #HelloEarth http:…",1495,0,2014-12-24 15:54:37
"RT @FragileOasis: Christmas day has already dawned for the handful of Earthlings living on Kiritimati #ISS http://t.co/nbCbHf4Xwc",42,0,2014-12-24 15:53:59
"RT @BKpub: “Earth is a small town with many neighborhoods in a very big universe.”—@Astro_Ron http://t.co/mL3pk3KX5N #qotd #space #orbitalp…",6,0,2014-12-23 20:17:23
"RT @JasonSilva: WATCH: 'Humans are the Sex Organs of Technology'  http://t.co/fLh315Jwzv cc @Upworthy @janetribeca @Astro_Ron @kevin2kelly",12,0,2014-12-23 15:21:19
"RT @Astro_Flow: Congratulations @Astro_Ron on the new book. Very proud of you for helping inspire the next gen of #STEAM explorers! http://…",16,0,2014-12-21 16:03:11
