tweet,retweetsCount,favoritesCount,timestamp
"Check out the ESA release of a compilation of Alex Gerst's videos from ISS. Awesome!  http://t.co/2z7gZWLmpA",13,22,Sat Dec 27 02:37:57 +0000 2014
"#aiaa Watching the Orion launch from afar. Great job by everyone on the Orion team. This is so exciting!!! Love the camera views.",9,21,Fri Dec 05 12:16:33 +0000 2014
"@CoachPMac all is great- watched a friend take off to ISS!!  Nothing better.",1,1,Mon Nov 24 06:04:30 +0000 2014
"@philiplyth put a 'm' in there - not sure what happened - thanks though!",0,1,Mon Nov 24 06:01:22 +0000 2014
"The Soyuz crew is on ISS-what a joy to see @AstroSamantha enjoying her first experience with gravity.Anton and Terry looked happy to be back",22,32,Mon Nov 24 05:53:25 +0000 2014
"What a great launch! Looking forward to the docking and hatch opening. Will see some smiling faces on Anton, @AstroSamantha and @AstroTerry",15,22,Sun Nov 23 22:35:27 +0000 2014
"The crew just left Hotel Kosmonavti to head to the suit up building. Lots of family and friends there to cheer them on.  All were smiling!!!",23,32,Sun Nov 23 14:48:16 +0000 2014
"@joannekarma Quaratined!",0,0,Sat Nov 22 13:46:51 +0000 2014
"Visited with @AstroSamantha today to wish her a 'Bon voyage' to ISS. She is ready to go and we'll see her on orbit shortly.",54,173,Sat Nov 22 13:36:06 +0000 2014
"Along both sides of the walkway are the trees that have been planted by each Soyuz starting with Gagarin. http://t.co/y7TtO8TCol",16,35,Fri Nov 21 10:00:23 +0000 2014
"Soyuz rocket at the pad getting lifted from the horizontal to the launch position. Amazing to watch. http://t.co/b8NmR1nwCu",44,63,Fri Nov 21 04:10:27 +0000 2014
"Astro_Suni and I at the Soyuz roll out this morning. Yep, it was cold but also awesome! http://t.co/GF5anUWSSF",15,34,Fri Nov 21 04:08:56 +0000 2014
"Getting ready to hop on the bus to go to the Soyuz rollout. We are all bundled in LOTS of layers and ready for the cold!",11,28,Fri Nov 21 00:03:46 +0000 2014
"With @Astro_Suni and @Foreman_Mike in Star City. Heading to Baikanour tomorrow for the Soyuz launch. http://t.co/06qHIPvW69",24,32,Wed Nov 19 13:36:40 +0000 2014
"#aiaa Had a great time today talking with the AIAA members, students and SWE members at U of Florida.",1,7,Fri Nov 14 23:34:27 +0000 2014
"@AstroSamantha @astro_terry looking forward to seeing you guys launch! You're going to have a great time on ISS.",6,6,Thu Nov 13 12:23:42 +0000 2014
"@AstroSamantha @AstroClass2013 Awesome picture- You guys are going to have such great adventures!",3,3,Sat Nov 08 02:34:36 +0000 2014
"#aiaa Looking forward to helping the AE Dept at U of Michigan celebrate their 100 year anniversary. Look how far we have come in a century!",5,13,Wed Sep 17 19:17:14 +0000 2014
"#aiaaSpace Looking in the millimeter wavelength you can see back into a time before galaxies.  Mind-boggling!",15,18,Thu Aug 07 01:46:18 +0000 2014
"#aiaaSpace Pickering lecture getting started- discussion of the Big Bang theory and search for evidence of it.",0,8,Thu Aug 07 01:42:17 +0000 2014
"#aiaaSpace 42 years of consistent Landsat data was made free and open to the public in 2008. Millions of downloads today for innovative use.",9,13,Wed Aug 06 16:12:00 +0000 2014
"#aiaaSpace Opening plenary on how the community uses data from satellites and Earth observation platforms. Space touches everyone!",9,5,Wed Aug 06 15:15:06 +0000 2014
"#aiaaSpace Only about 30% of the world's population has access to internet. Using satellites that can be increased to 80%.",12,9,Tue Aug 05 15:58:45 +0000 2014
"#aiaaSpace Nancy Colleton 'Earth observation is becoming more entrepreneurial. Will affect policies'",2,1,Tue Aug 05 15:41:33 +0000 2014
"#aiaaSpace Lots of citizen scientist activity is possible due to the extensive Earth observation data and more commercial ventures.",0,3,Tue Aug 05 15:38:10 +0000 2014
"#aiaaSpace Satellite industry is a growing 200B global industry with about 1200 satellites on orbit- Tauri group report. Lots going on.",1,4,Tue Aug 05 15:30:40 +0000 2014
"#aiaaSpace All NASA programs, people, etc have 12 million Twitter followers. People are clearly interested in what happens in Space!!!",7,11,Tue Aug 05 15:28:21 +0000 2014
"#aiaaSpace NASA creates 1600 new technologies into our economy every year- Report from the Tauri group.",14,11,Tue Aug 05 15:26:27 +0000 2014
"@TNBCAddict Kaitlyn- not sure I can help you but it never hurts to ask!",0,0,Tue Aug 05 15:13:24 +0000 2014
"#aiaaSpace Happy Anniversary to the Mars Curiosity for it's 1 (Mars) year. We have learned so much and much more to learn. Exciting!",2,7,Tue Aug 05 15:11:12 +0000 2014
"#aiaaSpace Opening plenary this morning at SPACE 2014. Great to see old friends- looking forward to meeting new ones.",1,4,Tue Aug 05 14:21:12 +0000 2014
"#aiaaPropEnergy You have to manage the energy system across the whole airplane- energy needs increase due to avionics and services",1,5,Mon Jul 28 17:16:56 +0000 2014
"#aiaaPropEnergy Hybrid-electric propulsion is a big topic. Seem as a wave for the future and necessary.",3,5,Mon Jul 28 17:11:50 +0000 2014
"#aiaaPropEnergy Aerospace is an extremely multi-disciplinary industry. Future propulsion needs will need to more Electrical engineers",2,7,Mon Jul 28 12:45:43 +0000 2014
"#aiaaPropEnergy Distributed electrically powered propulsion systems  could be possible in 50 years. (Rolls Royce)",6,5,Mon Jul 28 12:35:28 +0000 2014
"#aiaaPropEnergy Kicking off the Forum- opening plenary starting up. Great to see some old friends and meet new ones!",1,2,Mon Jul 28 12:14:18 +0000 2014
"Congratulations to Germany &amp; Argentina  on a spectacular World Cup match.Kudos to both teams who played with heart.The fans salute you both",15,16,Sun Jul 13 21:36:56 +0000 2014
"@Astro_Clay @l_krishnan @NASA_Astronauts Clay- we are celebrating all of the great accomplishments of a fantastic team of people and vehicle",0,1,Sat Jul 12 23:13:16 +0000 2014
"#aiaaAviation Thanks to everyone who participated in AVIATION 2014. It was a great event! Don't forget to send feedback.",3,4,Fri Jun 20 22:35:50 +0000 2014
"#aiaaAviation Morning panel on supply chain and manufacturing. Disruptive forces include info technology and 3D printing. Lots changing.",3,3,Wed Jun 18 12:28:18 +0000 2014
"#aiaaAviation Panel on the next steps for the UAS test sites happening now. FAA and each test site represented.",0,4,Tue Jun 17 18:29:22 +0000 2014
"#aiaaAviation Congratulations to all of our award winners!They represent excellent examples of the challenging work going on in Aerospace.",1,4,Tue Jun 17 16:52:07 +0000 2014
"#aiaaAviation Airbus launching a new STEM program at AVIATION 'Fly your ideas'.  Aerospace topics are great STEM projects!",6,6,Tue Jun 17 16:41:02 +0000 2014
"#aiaaAviation Listening to the state of Aviation in Brazil and China. The industry is growing globally- true economic driver.",1,4,Tue Jun 17 13:42:14 +0000 2014
"#aiaaAviation Morning plenary kicking off-discussion about integration and interoperability for airlines globally-next gen ATC and standards",2,2,Tue Jun 17 12:11:43 +0000 2014
"#aiaaAviation Full house listening to a talk on the future of CFD. How it needs to change as a tool for the future? Will it replace testing?",5,2,Mon Jun 16 18:15:03 +0000 2014
"#aiaaAviation Jack Crisler, VP Lockheed discussing how the uncertainty in US budgeting (constant CRs) hurts small businesses especially.",2,1,Mon Jun 16 14:08:40 +0000 2014
"#aiaaAviation Steve Dickens,Sr VP Flight Ops at Delta talking about the challenges of Next Gen Air traffic system. Complex, intriguing issue",0,0,Mon Jun 16 14:00:47 +0000 2014
