tweet,retweetsCount,favoritesCount,timestamp
"月から見た地球の出“@BEAUTIFULPlCS: Earthrise from the moon. http://t.co/rMFPB8dU76”",371,342,Wed Dec 31 22:53:33 +0000 2014
"あけましておめでとうございます。本年もよろしくお願いいたします。“@BEAUTIFULPlCS: Happy New Year from #Tokyo, Japan! #NYE #2015 http://t.co/E304lLNL06”",106,170,Wed Dec 31 22:52:38 +0000 2014
"RT @Astro_Wakata: 爽やかでとても魅力溢れるお話をなさる元メジャーリーガーの田口壮さんとNASAジョンソン宇宙センターで対談させて戴いた内容が、1/2(金)18:05のNHK総合の正月特番で放送されます。http://t.co/yd8GdmQz8W http:/…",262,0,Sun Dec 28 10:07:18 +0000 2014
"冬空のオーロラ“@BEAUTIFULPlCS: Chilly winter Aurora. Photo by Stian Klo. http://t.co/Nqfzw0FC2w”",87,121,Sat Dec 27 07:53:57 +0000 2014
"宇宙のクリスマス“@ESA_CAVES: Beautiful! RT @The_SolarSystem: A Fox Fur, a Unicorn &amp; a Christmas Tree http://t.co/dB4k3miYjN http://t.co/4NkAXSXFMP”",112,122,Thu Dec 25 22:55:51 +0000 2014
"RT @Astro_Kimiya: 皆様大変お待たせ致しました。宙亀日記を更新致しましたので、是非ご覧になって下さい。お約束どおり、バックアップクルーとしての任務や生活について書かせて頂きました。ご意見やご感想を伺うのも楽しみにしています！ http://t.co/lrPg18…",53,0,Thu Dec 25 10:29:13 +0000 2014
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 宙亀日記「バックアップクルーとしての任務」 http://t.co/ZodKhutjAZ",15,0,Thu Dec 25 10:28:44 +0000 2014
"ありがとうございます。そう言っていただけると嬉しいです！ @kenichiromogi @BEAUTIFULPlCS",3,5,Wed Dec 24 03:54:14 +0000 2014
"イギリスとオーロラ、夜明け前で東の空が明るくなってきています。“@BEAUTIFULPlCS: The UK and the northern lights from space. http://t.co/GbgBOcTLJc”",276,335,Wed Dec 24 03:43:17 +0000 2014
"スパナを「メールで宇宙ステーションに送り」3Dプリンタで作成“@businessinsider: How NASA ‘emailed’ a wrench into space http://t.co/9hbHMDquIK http://t.co/9zoeg5VgIT”",104,53,Wed Dec 24 00:10:11 +0000 2014
"地球を背景にソユーズ宇宙船TMA-15M“@AntonAstrey: The Soyuz TMA-15M spacecraft against the background of our beautiful planet http://t.co/fppFZZudpU”",89,96,Tue Dec 23 00:12:15 +0000 2014
"鮮やかな色合いのバハマ諸島“@AstroTerry:I had no idea the #Bahamas were so colorful-I’ve never seen those shades of blue and green http://t.co/af5eev5GyM”",26,38,Mon Dec 22 00:52:49 +0000 2014
"子ぶた“@ANIMALPlCTURES: Piglets at play! http://t.co/VvuRxFwXBa”",46,72,Mon Dec 22 00:50:58 +0000 2014
"雪山と天の川“@BEAUTIFULPlCS: The Milky Way over a snowy mountain range. http://t.co/2AdY1XVCuJ”",99,138,Sun Dec 21 05:44:03 +0000 2014
"宇宙での散髪。バリカンに掃除機がついていて、切られた髪を吸います。“@AstroTerry: Haircut day on ISS. #astrobutch doesn't charge much. But I tip well http://t.co/aTPS0Mww2r”",55,59,Sun Dec 21 05:42:07 +0000 2014
"Wild blueberries may counteract adverse effects of high-fat diet http://t.co/LepLxFdMDQ",6,11,Sat Dec 20 09:09:16 +0000 2014
"高脂肪食による高血圧、炎症反応が、野生のブルーベリーにより抑えられた、というマウスでの研究です。野生のブルーベリーは商業的に栽培されたブルーベリーに比べ、有意に高い有効成分アントシアニンを含むと言われます。http://t.co/LepLxFdMDQ",26,31,Sat Dec 20 09:09:01 +0000 2014
"雪に覆われた山々“@BEAUTIFULPlCS: Snow capped mountains and lake reflections. http://t.co/XTj8oLiDDI”",31,57,Sat Dec 20 08:49:16 +0000 2014
"こんな風景いかがですか？“@BEAUTIFULPlCS: Nature's beauty. http://t.co/7ztq2gtaAI”",40,78,Fri Dec 19 14:55:41 +0000 2014
"ナッツ大好き“@ANIMALPlCTURES: Nuts? what nuts? http://t.co/5TtDPsi5Hu”",170,189,Fri Dec 19 14:55:12 +0000 2014
"RT @hayabusa2_CP: ◎「はやぶさ2」の打ち上げから15日！ みなさん、2014年はどんな1年でしたか？ Google「検索で振り返る2014」ムービーにて「はやぶさ2」打ち上げシーンが登場！ぜひご覧ください！ http://t.co/ozHctWMBhv ※「は…",118,0,Fri Dec 19 14:54:45 +0000 2014
"宇宙で世代交代した子孫に生じるエピジェネティックな変化などを線虫で調べる東北大学東谷先生らの研究はこちら“@JAXA_jp: [ISS・きぼう広報・情報センター] Epigenetics実験の解説ページを公開しました http://t.co/n79GVJJEr2”",16,19,Fri Dec 19 07:08:20 +0000 2014
"宇宙での植物育成などに役立つ、東北大学高橋先生らの宇宙実験はこちら“@JAXA_jp: [ISS・きぼう広報・情報センター] Plant Rotation実験の解説ページを公開しました http://t.co/ZmAtGrNk1D”",14,13,Fri Dec 19 07:00:26 +0000 2014
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] Space Navi@Kibo 若田×星出　特別対談企画　第1夜 http://t.co/vte2YGh45V",20,0,Thu Dec 18 09:30:46 +0000 2014
"RT @Astro_Wakata: 1月3日放送予定のNHK「SWITCHインタビュー達人達」の収録で小説家の平野啓一郎さんと対談させて戴き光栄です。以前平野さん著「ドーン」を拝読し火星飛行に向け大きなチャレンジを感じました。http://t.co/zf1pAjmlOM htt…",218,0,Tue Dec 16 23:56:13 +0000 2014
"火星のオリンポス山、高さ約25kmでエベレスト山の約3倍“@BEAUTIFULPlCS: Mt. Olympus, #Mars. http://t.co/aJTnbFh6Vh”",288,310,Tue Dec 16 12:45:06 +0000 2014
