tweet,retweetsCount,favoritesCount,timestamp
"RT @LisaCfuglesang: Skadlig syn på studier och krav http://t.co/lIRQGPoFAi via @SvD",2,0,Wed Dec 31 11:36:28 +0000 2014
"A human centrifuge would do great science on ISS &amp; help Astros stay healthy. But not cheap &amp; challenging http://t.co/3vZ0Joh8qM",4,4,Fri Dec 19 21:37:22 +0000 2014
"2 great days @MIT w Jeff Hoffman. Advice on Aerspace teaching and research. Here w skin suit for future EVA http://t.co/hNdIZGoT3x",3,4,Fri Dec 19 21:32:17 +0000 2014
"RT @rymdkanalen: Idag tipsar vår egen astronaut @CFuglesang om två underhållande #julklappar. Se hans film här: http://t.co/Leb0FdfI5o http…",3,0,Fri Dec 19 21:17:06 +0000 2014
"Tänk om Riksdagen skulle göra som US Congress och ge mer pengar till rymdprogrammen än verkställande organ begär! http://t.co/4qEAYQ6YIF",7,7,Wed Dec 17 13:36:35 +0000 2014
"Heading to Boston &amp; MIT, for a study visit. But flight delayed  - hope connecting flight also delayed, though a night on Iceland not too bad",0,1,Wed Dec 17 13:29:41 +0000 2014
"RT @Landshovding: Rymden inspirerar! 5E i Ljungby - en av många klasser i Småland som påbörjat kunskapsresan  #motnyahöjder http://t.co/HyX…",4,0,Tue Dec 16 19:55:53 +0000 2014
"RT @MaxCRoser: The break down of the Berlin wall was a turning point of history. Since then #Democracies outnumber Autocracies. http://t.co…",89,0,Tue Dec 16 19:53:31 +0000 2014
"SSF styremöte igår. Gav bidrag till mkt bra akademi-industri forskprojekt. Och SSF fick högt betyg av utvärdering: http://t.co/ANTR3LCgG7",1,1,Tue Dec 16 11:32:24 +0000 2014
"Fick en 'tjuvtitt' av 'Micke&amp;Vetonica' följt av party på Mr French. Mysigt bra film! Tack till @Mbindefeld för en schysst kväll!",1,0,Sun Dec 14 21:22:22 +0000 2014
"RT @AnoushehAnsari: Very insightful! How Different Cultures Understand Time http://t.co/bQIN44jYOq",6,0,Sat Dec 13 22:47:07 +0000 2014
"Kommer 20 min tidigt till Luciakonsert i Oscarskyrkan - och det är nästan fullt redan! Måste vara lovande",0,2,Sat Dec 13 16:46:18 +0000 2014
"Iconic images of #space, no.12: Curbeam &amp; @CFuglesang spacewalk over NZ, STS-116, 12/12/06 @NASAhistory http://t.co/AAHO73ojGF My favorite😊",57,88,Sat Dec 13 16:29:43 +0000 2014
"På tåget till Sundsvall, där jag ska prata för studenterna på Mittuniversitetet i em.",2,5,Fri Dec 12 07:49:23 +0000 2014
"Gave a seminar at AlbaNova/KTH today on ISS Science and particularly JEM-EUSO. On video http://t.co/kpeVYeovJd",2,4,Thu Dec 11 20:04:21 +0000 2014
"RT @rymdkanalen: Imorgon kl 17 signerar Börje Lundberg författare av 'Svenska rymdäventyr' och @CFuglesang böcker i TNFs bokhandel på Öster…",2,0,Wed Dec 10 21:07:18 +0000 2014
"Skriver om hur viktigt det är med bra lärare och att de måste få stöd av alla delar i samhället: http://t.co/ZlNsofEi5p",3,1,Wed Dec 10 11:11:36 +0000 2014
"#AsteroidDay is a global movement to protect our planet. Follow @asteroidday and visit http://t.co/cruvdFsuWU Join and leran more!",4,3,Thu Dec 04 16:13:36 +0000 2014
"Ett jättestort tekn forskcenter, SkolTech, byggs i Moskva. Också utbildn. 2 svenska Mars arb där med uppbyggandet http://t.co/y1buSnY6u9",0,2,Tue Dec 02 16:17:41 +0000 2014
"In Moscow this week, for JEM-EUSO meetings. Studying the ultra-high energy cosmic ray with a on experiment on ISS.",0,1,Mon Dec 01 17:46:08 +0000 2014
"7 payloads selected for MIST, KTH’s student satellite: https://t.co/fBYXlS4plq There might be even more later, e.g. a special camera",3,4,Sun Nov 30 09:29:27 +0000 2014
"On my way to ESTEC, for a day. Mtgs for payloads on KTH's studentsatellite MIST main reason. Will be fun to come back for a short visit also",4,5,Wed Nov 26 08:51:49 +0000 2014
