tweet,retweetsCount,favoritesCount,timestamp
"RT @NASAhistory: The Apollo 17 crew took this photo on the surface of the Moon #OTD in 1972 http://t.co/DEgCRdH3TW",1640,0,2014-12-13 18:37:50
"RT @NASA: Today's #Orion's launch weather forecast is 40% 'go.' Liftoff is set for 7:05a ET/12:05 UTC  https://t.co/YKLRtyeBu7 http://t.co/…",811,0,2014-12-05 10:21:07
"RT @NASA: Tonight set your alarm to be up to watch #Orion launch at 7:05am ET! NASA TV starts at 4:30am http://t.co/RxASWP1qU4 http://t.co/…",1487,0,2014-12-03 23:49:34
"RT @Space_Station: Watch #NASATV now for #Exp41 undocking in #Soyuz from #ISS at 7:31pm ET... http://t.co/C7LVQGyw5P http://t.co/IsSucqKTE6",191,0,2014-11-10 00:33:48
"RT @NASAVoyager: Real #Interstellar sounds? Less film score. More plasma wobble. Hear for yourself: http://t.co/WoufPHSIS7  #RealInterstell…",679,0,2014-11-08 04:28:34
"RT @nasahqphoto: Photos from the rollout of the @OrbitalSciences #Antares rocket for #Orb3 have been posted. https://t.co/3tf54gKnEK http:/…",171,0,2014-10-25 02:36:52
"RT @Space_Station: #ISS #spacewalk with @Astro_Reid &amp; #AstroButch begins ~8:20am ET Wed! NASA TV coverage at 7am. http://t.co/iXp0BsUWQ1 ht…",151,0,2014-10-15 03:57:09
"RT @NASA_Johnson: Look up tonight #Houston! You will be able to see @Space_Station fly over at 7:31pm CDT for 5 min. #SpotTheStation http:/…",40,0,2014-10-07 23:16:16
"RT @nasahqphoto: Check out all of the amazing #Exp41 photos here. https://t.co/9q7lzrp2EP  Keep checking back for more! #ISScrew http://t.c…",123,0,2014-09-26 03:25:14
"RT @nasahqphoto: Photos from the rollout of the #Exp41 #Soyuz rocket have been posted! https://t.co/9q7lzrp2EP  #NASA #ISS http://t.co/8TAU…",353,0,2014-09-23 12:48:25
"RT @AstroKarenN: Happy Landing #Swanny, @OlegMKS and Sasha! Tonight at 9:23 CDT http://t.co/N1cpD3rixV http://t.co/xtwaRuDc1f",30,0,2014-09-11 00:37:30
"RT @Caltech_SC2015: The 2015 Caltech Space Challenge is here! Design our next manned mission. Get all the info at: http://t.co/Qvyciv3zPH h…",26,0,2014-09-09 22:02:08
"RT @NASA_KETI: Learn about the @NASA_SLS rocket at #NASA Family Education Night on Sept 20th! More info at http://t.co/PWLgPhD86h http://t.…",18,0,2014-08-28 20:12:28
"RT @WhiteHouse: Happy 98th Birthday to the @NatlParkService! To celebrate, all entrance fees are waived today. RT to spread the word. http:…",1177,0,2014-08-26 00:04:17
"RT @astro_reid: Crew mate @msuraev just caught this #AMAZING photo of #Cygnus #Orb2 disintegrating on reentry. http://t.co/4b9c49IMVF",1366,0,2014-08-17 14:39:16
"RT @ISS_Research: We're going to get video of #ATV5 as it burns up in the atmosphere. From the INSIDE. http://t.co/lLsFHpQbe4 http://t.co/I…",213,0,2014-08-16 00:30:24
"RT @NASA: New Stardust discovery! First potential interstellar space particles: http://t.co/wDVI1JOZwa  http://t.co/xtNijJtnbf",1201,0,2014-08-15 00:29:30
"RT @Caltech: 'Our Curiosity,' celebrates Mars rover's mission, exploratory spirit. Narration from @neiltyson and @feliciaday. http://t.co/O…",10,0,2014-08-12 03:32:13
"RT @WilliamShatner: @Chief_Astronaut @NASA I just do a lot of talking it's the astronauts that deserve the credit.",6,0,2014-08-10 13:40:40
"RT @Commercial_Crew: A spacesuit is like a personal spacecraft, with pockets. What would you bring with you on a mission? http://t.co/ODnD7…",80,0,2014-08-08 18:44:28
"RT @NASA_Johnson: #NASATV live coverage of @ESA's #ATV5 docking to #ISS begins Tues. Aug. 12 at 8am ET http://t.co/mq9y5XpaKK http://t.co/D…",107,0,2014-08-07 23:44:14
"RT @OlegMKS: Полярное сияние Южный Полюс #МКС см. блог (Aurora South Pole #ISS HQ in blog) #BlueDot http://t.co/DMKY769IXD http://t.co/wNYA…",227,0,2014-08-06 03:30:09
"RT @NASAKennedy: Pics of Buzz Aldrin &amp; Mike Collins speaking at today's renaming ceremony. #NASAsocial #Apollo45 #NextGiantLeap http://t.co…",84,0,2014-07-21 16:38:55
"RT @NASA: LIVE NOW: TV coverage of the 12:52pm ET/16:52 UTC launch of #Orb2 from @NASA_Wallops. Watch: http://t.co/CRIMw5oD5v http://t.co/j…",377,0,2014-07-13 16:50:02
"RT @TODAYshow: Incredible! RT @astro_reid: Here is a #TodaySunrise from space for @MLauer http://t.co/Vhf27aQ4C3",100,0,2014-07-01 11:59:39
"RT @NASA_Johnson: It's #USA vs #Germany in Out of This #WorldCup on #ISS as #Swanny, @Astro_Reid &amp; @Astro_Alex show off their moves! http:/…",32,0,2014-06-26 15:28:30
"RT @NASA: Live Now: Our most-difficult @NASA_Orion parachute test:  https://t.co/GNhBAbWsDn Question? Use #OrionTest  http://t.co/5Fkl6jfZb5",193,0,2014-06-25 16:29:34
"RT @MarsCuriosity: What a long, strange trip (around the sun) it's been. Here's what happened during my 1st #MartianYear. http://t.co/BERiu…",822,0,2014-06-25 02:48:08
"RT @tweetsoutloud: Happy Martian anniversary, @MarsCuriosity! You’re only a Mars year old! http://t.co/3kr3VKD6Pn",124,0,2014-06-24 02:45:24
"RT @CBSEveningNews: Tonight @ScottPelley interviews @Astro_Reid and ISS Commander Swanson: http://t.co/2Yf8CmUCQK",38,0,2014-06-10 00:29:53
"RT @ISS_Research: 'Hello, World!' #NASA Beams #Video from Space Station via #Laser http://t.co/HIAkTefloE #ISS #technology #lasercomm http:…",117,0,2014-06-07 02:12:47
"RT @Astro_Wheels: #ThrowbackThursday...'Transit of Venus'  - June 5, 2012...just before sunset...and yes, that is the top of a rocket. http…",45,0,2014-06-06 02:44:47
"RT @NASAhistory: #OTD in 1969, the last Star Trek: TOS episode airs, inspires name of Enterprise Shuttle #LiveLongAndProsper  http://t.co/a…",139,0,2014-06-03 19:49:33
"RT @NASAexplores: DON’T MISS the @NASA #AES @MorpheusLander Night Flight UPDATE: Target ignition is now 9:45pm ET (1:45am GMT). http://t.co…",160,0,2014-05-29 01:06:29
"RT @NASA: Miss today's #Exp40 #Soyuz launch to #ISS? Or do you want to relive it? No worries. Watch: https://t.co/fvnRaW68md  http://t.co/N…",545,0,2014-05-28 22:17:40
"RT @NASA: Successful free flight test today @NASAKennedy for @MorpheusLander: [video] http://t.co/mD2GJDF7R3 #ALHAT  http://t.co/pwO3kpby0A",688,0,2014-05-24 12:14:57
"RT @NASA_Astronauts: Welcome @Chief_Astronaut! Glad you could join the #twitterverse and share what's up in the Astronaut Office! http://t.…",66,0,2014-05-13 18:16:39
