tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA: K-12 student in the US? Challenge: Design a tool for @Space_Station's @NASA3DPrinter: http://t.co/lu0z3Tga9u http://t.co/d4wVVnmZ…",269,0,Wed Dec 10 19:07:24 +0000 2014
"RT @NASAexplores: #ICYMI Miss the historical #Orion #EFT1 launch this morning? Watch it here! As many times as you like! http://t.co/qwNUzD…",23,0,Fri Dec 05 15:35:40 +0000 2014
"RT @NASAexplores: Tune in NOW http://t.co/hVyGxl8drz to hear about #NASA's #JourneytoMars including the #Orion  #EFT1 test flight tomorrow!…",5,0,Wed Dec 03 18:29:35 +0000 2014
"RT @NASAexplores: NEW opportunities to partner w/ @NASA on propulsion, habitation, &amp; CubeSats in deep space! Check out the #NextSTEP http:/…",25,0,Tue Oct 28 20:07:00 +0000 2014
"@hickeric @SpaceCenterHou It's a mock up, so it's stationary. :)",2,1,Wed Sep 24 12:56:44 +0000 2014
".@KristenFitzpat1 Geology Rocks! You should also follow @VolcanoCowboy - DRATS crew member and volcanologist who is excellent #STEM support!",11,8,Wed Jun 18 15:19:21 +0000 2014
"@zippyg2 @libbydoodle @KristenFitzpat1 @star_avi8r He is also an amazing photographer, world traveler, &amp; chef. More reasons to follow him.",2,1,Wed Jun 18 15:11:27 +0000 2014
"@zippyg2 @KristenFitzpat1 @star_avi8r James is in the @NASA_NEEMO training room right now. He rocks!",1,2,Wed Jun 18 15:10:14 +0000 2014
"@KristenFitzpat1 HEY! I remember Desert RATS! Did we leave any rover tracks for you to find?!",2,1,Wed Jun 18 15:00:44 +0000 2014
"RT @KristenFitzpat1: Do you guys remember Desert RATS? We are currently at one of their field test sites. http://t.co/5BZkq94ZfR http://t.c…",3,0,Wed Jun 18 14:59:52 +0000 2014
"Follow the analog action! MT @NASA_NEEMO: ANNOUNCING!! not one, but TWO NEEMO MISSIONS! Yes! For real! It's OFFICIAL! http://t.co/Pk0ldmH1S1",1,1,Wed Jun 11 13:37:14 +0000 2014
"RT @MorpheusLander: NIGHT FLIGHT!! Today at 9:30pm ET @NASAKennedy (1:30am tmrw GMT). We WILL stream live. #ALHAT taking prime! You've been…",29,0,Wed May 28 15:43:15 +0000 2014
"RT @SpaceGirlWendy: Check out the cool #MOON BOOTS designed by Friendswood High School students! VOTE for them... BECAUSE MOON! http://t.co…",8,0,Thu May 01 14:51:34 +0000 2014
"RT @NASAKennedy: IMAGE 2: @MorpheusLander prior to tether test - RT if you want this to be our next #KSCcoverPic http://t.co/8w7xeU4G8k",76,0,Fri Mar 28 13:30:13 +0000 2014
"RT @MorpheusLander: If you aren't one of the over 200K people who've seen our FF8 video, you'd better go see what the fuss is all about! ht…",19,0,Fri Mar 07 15:30:32 +0000 2014
"RT @SpaceGirlWendy: One big fat #FF for @MorpheusLander because... DUH! If ur not following, ur just missing @NASA doing more of that #incr…",8,0,Fri Jan 24 16:58:02 +0000 2014
