tweet,retweetsCount,favoritesCount,timestamp
"Today, 15 years ago, Claude Nicollier and Jean-François Clervoy lifted-off on STS-103, 3rd Hubble Servicing Mission. http://t.co/HGmzwpUNrM",3,0,Fri Dec 19 09:43:11 +0000 2014
"RT @GrandsireESA: If U want 2 watch again this unique event #ISS1year feat. @StationCDRKelly @Astro_Andreas @Astro_Soichi @Astro_Jeremy htt…",28,0,Fri Dec 19 08:21:16 +0000 2014
"Today, 4 years ago, ESA astronaut Paolo Nespoli, launched on Soyuz TMA-20 for his MagISStra mission to the ISS. http://t.co/yAoLzAUd7g",2,5,Mon Dec 15 15:59:29 +0000 2014
"Today, 8 years ago, ESA astronaut Christer Fuglesang launched on ISS mission 'Celsius'-becoming 1st Swedish in space. http://t.co/nR6qvNDcuZ",1,2,Tue Dec 09 16:26:22 +0000 2014
"Today, 31 years ago, Ulf Merbold launched on STS-9/Spacelab-1, becoming the first ESA astronaut on a Space Shuttle. http://t.co/B42J6FkR1Y",6,5,Fri Nov 28 10:09:36 +0000 2014
"Today, 26 years ago, Jean-Loup Chrétien launched for his 25 day-long Aragatz mission to Mir orbital complex. http://t.co/XKP1LUo7ed",2,2,Wed Nov 26 11:45:08 +0000 2014
"Do not miss: Journey to the ISS Part 2: Soyuz rendezvous and docking explained: http://t.co/cXkKbK3oaB",11,14,Mon Nov 24 09:43:01 +0000 2014
"Today, 20 years ago, Jean-François Clervoy launched on Space Shuttle Atlantis STS-66 for his ATLAS-3 mission.    http://t.co/a2OOjY8oMQ",3,3,Mon Nov 03 21:32:08 +0000 2014
"Today, 12 years ago, ESA astronaut Frank De Winne launched on Soyuz TMA-1 for his Odissea mission to the ISS. http://t.co/07FZaTPO9Y",3,3,Thu Oct 30 10:13:25 +0000 2014
"Today, 29 years ago, Reinhold Furrer, Ernst Messerschmid and Wubbo Ockels launched on Spacelab D-1 STS-61 A mission. http://t.co/tcOxr4I2aB",2,2,Thu Oct 30 10:12:58 +0000 2014
"Today, 16 years ago, Pedro Duque launched on board Shuttle Discovery STS-95 making him the first Spaniard in space. http://t.co/g5nsqa4t1L",2,2,Wed Oct 29 10:58:39 +0000 2014
"Today, 7 years ago, ESA astronaut Paolo Nespoli launched with STS-120 on his Esperia mission delivering ISS-Node 2. http://t.co/X8I3NqkR6T",4,1,Thu Oct 23 13:27:54 +0000 2014
"Today, 13 years ago, ESA astronaut Claudie Haigneré launched on Soyuz TM-33 for her Andromède mission to the ISS. http://t.co/Qhy3nuKZTM",3,3,Tue Oct 21 08:17:34 +0000 2014
"Today, 19 years ago, Thomas Reiter launched on his record-breaking 179 days Euromir’95 mission to Mir orbital complex.http://t.co/MD9hKZRHl3",25,20,Wed Sep 03 08:57:49 +0000 2014
"Today, 5 years ago, Christer Fuglesang launched with SpaceShuttle Discovery STS-128 on his Alissé mission to the ISS. http://t.co/Qgrzxjijmk",3,6,Fri Aug 29 20:01:35 +0000 2014
"Today, 36 years ago, Sigmund Jähn launched with Soyuz 31 to Salyut 6 space station, becoming the 1st German in space. http://t.co/F7mNCt7LLb",6,5,Tue Aug 26 14:05:29 +0000 2014
"Today, 18 years ago Claudie André-Deshays launched on her 1st space flight - 16-day Cassiopée mission to Mir station. http://t.co/jWX53x7jVT",4,4,Sun Aug 17 08:34:51 +0000 2014
"Today, 15 years ago, Michel Tognini, launched on Space Shuttle Columbia STS-93, deploying Chandra X-ray Observatory. http://t.co/hDtD5SNqTn",1,2,Tue Jul 22 09:53:51 +0000 2014
"Today, 45 years ago, Apollo astronauts Armstrong &amp; Aldrin set foot on Moon. Nice remarks by mission pilot Collins: http://t.co/l4JMdzbTsX",3,2,Mon Jul 21 15:49:54 +0000 2014
"Today, 45 years ago, Apollo 11 launched from Cape Canaveral to aim for the first human lander mission on the Moon.  http://t.co/9e7CCFGBQ8",41,24,Wed Jul 16 14:58:46 +0000 2014
"8 years ago, Thomas Reiter launched with his Astrolab mission on the first European long-duration flight to the ISS. http://t.co/bY4CgQkPRW",1,2,Fri Jul 04 09:05:27 +0000 2014
"21 years ago, Jean-Pierre Haigneré launched on board Soyuz TM-17 to Mir orbital complex on his 21-day Altair mission. http://t.co/ouWkKDSqe7",0,0,Tue Jul 01 15:48:41 +0000 2014
"Today, 36 years ago, Miroslav Hermaszevski flew onboard Soyuz 30 to Salyut 6, becoming the 1st Polish in space. http://t.co/Ien8Sk9Olk",1,1,Fri Jun 27 08:13:41 +0000 2014
"32 years ago, Jean-Loup Chrétien became the first French in space - flying with Soyuz T-6 to Salyut 7 space station. http://t.co/jkAROnwJkl",3,1,Tue Jun 24 08:10:23 +0000 2014
"Today, 29 years ago second French astronaut Patrick Baudry flew on mission STS-51G, deploying Spartan-1 free-flyer. http://t.co/DSPv3UUEDR",1,1,Tue Jun 17 16:44:23 +0000 2014
"Congratulations Valentina! Your milestone mission 51 years ago paved the way for all the women who have been flying into space after you!",2,3,Mon Jun 16 13:00:39 +0000 2014
"Today, 12 years ago ESA astronaut Philippe Perrin flew on mission STS-111 Space Shuttle Endeavour to the ISS (UF-2). http://t.co/SdcY6kddze",5,5,Thu Jun 05 11:46:42 +0000 2014
"@_SamJacob @Astro_Alex thank you Sam, it is a about takink a peice of our identity to space!",0,0,Fri May 30 10:00:06 +0000 2014
"Today, 5 years ago, Frank DeWinne, took-off for his 6 month OasISS mission becoming the first European ISS Commander. http://t.co/xyQTDGHGDV",0,2,Tue May 27 16:12:21 +0000 2014
"Today, 3 years ago, Roberto Vittori launched on STS-134 to the ISS. His DAMA mission installed AMS-02 to the Station. http://t.co/SVy05Te8An",0,1,Fri May 16 08:29:13 +0000 2014
"Today, 17 years ago, Jean-François Clervoy launched on STS-84 - NASA's 6th Shuttle mission to MIR orbital complex. http://t.co/CZorCeGq7u",2,0,Thu May 15 12:19:52 +0000 2014
"Today, 33 years ago, 1st Romanian cosmonaut Dumitru Dorin Prunariu launched to the Russian Salyut 6 space station. http://t.co/wmXWUAPUc8",2,0,Wed May 14 09:31:50 +0000 2014
"Today, 12 years ago, ESA astronaut Roberto Vittori returned from his 10-day mission Marco Polo. http://t.co/af7dEZx95F",0,0,Mon May 05 14:26:16 +0000 2014
"21 years ago, Hans Schlegel &amp; Ulrich Walter launched on STS-55 Spacelab D2 mission conducting 88 intern. experiments. http://t.co/4SwomdnQ5J",6,9,Sat Apr 26 15:00:11 +0000 2014
"RT @DLR_de: Vorsommer auf dem DLR-Gelände in #Köln (+Europäisches Astronautenzentrum  @ESA_EAC) #MeteoFriday @EU_Commission (FW) http://t.c…",6,0,Fri Apr 25 12:09:27 +0000 2014
"Today, 9 years ago, ESA astronaut Roberto Vittori returned from the ISS ending his 10-day Eneide mission. http://t.co/b2abhqFfl9",3,2,Fri Apr 25 07:37:44 +0000 2014
"Today, 10 years ago, André Kuipers launched for his DELTA mission to the ISS becoming the second Dutch man in space. http://t.co/dFZRT1mq6e",1,1,Sat Apr 19 18:51:01 +0000 2014
"Today, 13 years ago, Umberto Guidoni launched with STS-100 to the ISS, making him the first European on the Station. http://t.co/uGFU38nNVM",4,2,Sat Apr 19 18:50:25 +0000 2014
"Congratulations @Astro_Alex on finishing your mission training. We look forward to your #BlueDot launch in 47 days! http://t.co/Duv4O4KJJK",12,9,Fri Apr 11 16:05:52 +0000 2014
"RT @social4space: Our blog update w/ links to all the channels you can use to follow today's #LucaTweetUp http://t.co/Q12Z7IMwYv http://t.c…",31,0,Fri Apr 11 12:04:37 +0000 2014
"RT @Astro_Alex: Actually, this was my favorite slide! @ESA_EAC @ISS_Research http://t.co/FNL9cqT6UW",16,0,Fri Apr 11 11:57:56 +0000 2014
"@Litsas Of course, we are both right! Luca launched 28 May at 20:31 GMT and Kazahkstan is 5 hours ahead which would make it 29 May :)",1,0,Thu Apr 10 12:17:42 +0000 2014
