tweet,retweetsCount,favoritesCount,timestamp
"RT @warp: @DavidBflower @csa_asc Mars Bars are our main food source for @HMP missions. If LD was open here in YVR, I'd get Maple Creams! ;).",1,0,Sun Dec 21 11:58:29 +0000 2014
"RT @pascalleetweets: MarsRunner: http://t.co/qSHq3uBGVH Based on Mars gravity sims on Earth @NASA @MarsInstitute Spacesuit design from MISS…",3,0,Sun Dec 21 11:56:15 +0000 2014
"RT @pascalleetweets: Watch my ATV-riding dog Ping Pong save Earth in @MissionAsteroid! Tonight on @ScienceChannel: Sun 16 Nov 7 pm ET/PT + …",2,0,Sun Nov 16 20:00:18 +0000 2014
"RT @pascalleetweets: Read @EjnerFulsang's hard Sci-Fi SPACECORP. It's terrific! Book 2 will be on Mars. Can't wait! http://t.co/5ngDV8rEoj …",4,0,Sun Nov 16 19:30:31 +0000 2014
"RT @pascalleetweets: See my dog Ping Pong save Earth in @MissionAsteroid @ScienceChannel Fri 14Nov 10p, Sat 15Nov 1a, Sun 16Nov 8,11pET/PT …",3,0,Sat Nov 15 04:05:34 +0000 2014
"#MissionAsteroid doc filmed in part @HMP @NASA @NTC_UPDATE: US premiere on @ScienceChannel: Fri Nov 14,10pm ET/PT + Sat Nov 15,1am ET/PT.",2,2,Sat Nov 08 18:27:25 +0000 2014
"RT @ScienceChannel: Space is hard, but #SpaceWeek isn't. http://t.co/sibTqi2axO",91,0,Sat Nov 08 18:09:25 +0000 2014
"RT @pascalleetweets: One of Franklin's Ships Found. http://t.co/VJNGbBNorv",2,0,Tue Sep 09 14:48:00 +0000 2014
"Franklin expedition ship found, PMO says http://t.co/KNTs2gm3Lx via @nationalpost",1,1,Tue Sep 09 14:35:03 +0000 2014
"RT @pascalleetweets: Ship from lost Franklin expedition found http://t.co/J8j5nx9W1n via @torontostar",1,0,Tue Sep 09 14:27:21 +0000 2014
"Job Opening: @GlasgowUni Postdoc Research Associate - Planetary Drilling. Deployment to HMP-2016 included: http://t.co/3DO7Pugu16 #NASA #ESA",1,0,Tue Aug 19 07:10:24 +0000 2014
".@NASA @NASAAmes @HMP-2014: Pulled out of Devon Island under fog yesterday. All goals met. Back in Ottawa tonight. http://t.co/N8UhdizM5v",1,3,Thu Aug 07 04:15:25 +0000 2014
".@NASA @NASAAmes @HMP-2014: Landed on Devon on Tue. Camp OK in spite of polar bears over winter. Research going well. http://t.co/nVSR4zDwFJ",2,3,Sun Aug 03 16:59:37 +0000 2014
".@NASA @HMP-2014: Weather improving. Put-In flight from Resolute to Haughton Crater now planned for Today 2pm CDT. http://t.co/soz5SaqeDo",3,2,Tue Jul 29 14:45:14 +0000 2014
"RT @CBCNunavut: .@NASA and @PascalLeeTweets return to Devon Island to test a new Mars vehicle system. @shaunmalley reports at 730ET #cbcnor…",2,0,Tue Jul 29 14:19:31 +0000 2014
"RT @shaunmalley: The search for life on Mars begins in Nunavut! The story of @NASA's @pascalleetweets tomorrow on @CBCNunavut #fb http://t.…",3,0,Mon Jul 28 17:25:38 +0000 2014
"@NASA @HMP-2014: Weather OK over Resolute Bay last night, but no flight on to Devon Island today until fog lifts. http://t.co/VKDHfdvLqu",0,0,Mon Jul 28 15:41:15 +0000 2014
"@NASA @HMP-2014 is underway! Pascal Lee, Brian Glass, Pauline Akeeagok, Jesse Weaver, Bolek Mellerowicz, &amp; April Davis are in Resolute Bay!",0,0,Mon Jul 28 15:35:02 +0000 2014
"RT @warp: Fog in Res now, and fog due to develop on Devon Island during day. Hoping the @HMP Project team is getting in. #NASA",1,0,Mon Jul 28 15:17:50 +0000 2014
"@NASA @HMP-2014 is underway! Pascal Lee, Brian Glass, Jesse Weaver, Pauline Akeeagok, Bolek Mellerowicz, &amp; April Davis are in Resolute Bay!",1,0,Mon Jul 28 00:27:05 +0000 2014
"PASSAGE TO MARS: New Trailer narrated by Zachary Quinto released by @JulesVerneFest: http://t.co/rzhFY8TZdT #MarsInstitute #pascalleetweets",3,5,Sat Jul 05 19:41:37 +0000 2014
"RT @JulesVerneFest: ★ Breaking news ★ ZACHARY QUINTO COMES ABOARD 'PASSAGE TO MARS' ★  Actor Zachary Quinto (Heroes, Star Trek) cast... htt…",3,0,Fri Jun 13 03:44:29 +0000 2014
"RT @pascalleetweets: Explore Mars's moons! Join my talk Tue 3 Jun, 7p PDT: http://t.co/iNwWnJrL6G or watch it live: http://t.co/b9HhCP55BJ …",3,0,Sat May 31 17:26:50 +0000 2014
"How about landing @SpaceX's Dragon V2 at @HMP to get ready for Mars exploration?...",1,2,Fri May 30 08:54:58 +0000 2014
"RT @pascalleetweets: We're one giant leap closer to having a Mars lander for humans with @SpaceX's new Dragon V2: http://t.co/KaLJPoAnZ0 @H…",2,0,Fri May 30 08:51:26 +0000 2014
"RT @pascalleetweets: Ping Pong says it was so much fun to see Air Force One at Moffett Field today! http://t.co/U0dl7Su8fx",1,0,Fri May 09 07:30:50 +0000 2014
