tweet,retweetsCount,favoritesCount,timestamp
"RT @SpaceDigest: 2014 Space Review in Cakes, Sweeties and Toys https://t.co/cPI9CwSZj0 @MorpheusLander @ATK @NASAKennedy @DigitalGlobe http…",5,0,2014-12-26 21:26:56
"RT @DiegoArgus: See CAI's post on the #ALHAT test aboard the @MorpheusLander @jmcarson3 @jayestes https://t.co/qiAwoiJMg0",2,0,2014-12-20 16:55:05
"RT @timmermansr: The 1954 Rolls Royce 'Flying Bedstead' must be the grandfather of @MorpheusLander! Similar in size, but manned! http://t.c…",6,0,2014-12-18 18:30:47
"RT @NASA: What's that in the sky? Our @MorpheusLander soaring 800 feet for test @NASAKennedy. Watch: http://t.co/0UlewKlVOi http://t.co/REq…",764,0,2014-12-16 21:14:20
"RT @KuantumwithaK: @MorpheusLander The best looking test platform in @NASA history I think. Can't wait to see what Morpheus and ALHAT leads…",3,0,2014-12-16 18:23:19
"RT @bonzack: 2 photographs I took collaged with other images posted by @MorpheusLander. Check out the dust cloud it kicked up! http://t.co/…",1,0,2014-12-16 18:23:02
"RT @NASAexplores: Garden robots &amp; collapsible 3D printers?! Congrats student teams completing the 2014 X-Hab Challenge. #Journeytomars http…",15,0,2014-12-16 17:22:46
"RT @NASAexplores: Congrats @MorpheusLander for a successful Free Flight w/ALHAT successfully navigating &amp; landing vehicle! #321TechOff http…",43,0,2014-12-15 22:05:40
"RT @SpaceDigest: Go, @MorpheusLander! Good luck with your 15th free-flight test at @NASAKennedy! http://t.co/4LvAA7rIiJ",30,0,2014-12-15 21:13:48
"RT @queenborgtweets: @MorpheusLander - streaming fine here - like it's next door. Awesome to watch",3,0,2014-12-15 21:03:52
"RT @Restrantek: @MorpheusLander @SpaceflightNow is streaming nicely too!",4,0,2014-12-15 20:58:22
"RT @jayestes: @MorpheusLander 10mins to hand-valve closure and pad evacuation",4,0,2014-12-15 20:32:53
"RT @jayestes: @jlangdale @MorpheusLander Our loading ports close automatically - just for that reason. But we must close the handvalves, fo…",2,0,2014-12-15 19:42:37
"RT @jayestes: @MorpheusLander Again, u guys know your rocket testing! Here they are: 1)LOX &amp; 2)CH4 tankers, 3)Vehicle frame 4)batt cart, 5)…",2,0,2014-12-15 18:28:36
"RT @jayestes: @MorpheusLander pic is of our static ground rod just off the edge of the pad.  5 field connections - each to a different thin…",1,0,2014-12-15 17:26:40
"RT @jayestes: @MorpheusLander Its quiet out there right now... The team got ahead in the preps and is pausing operations so we can stay on …",1,0,2014-12-15 17:14:15
