tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA_Johnson: #Exp40 poses inside #ISS Harmony node. http://t.co/AqA5ShsTag http://t.co/iq1yQydIr0",110,0,Fri Sep 05 13:26:46 +0000 2014
"Побалую вас видами космоса #SurMax http://t.co/yLynqhyjQL",137,176,Wed Aug 06 09:49:56 +0000 2014
"Ну вот еще кое-что интересное #SurMax http://t.co/G4ParBLY4D",164,181,Fri Aug 01 03:42:13 +0000 2014
"Космические пейзажи МКС #SurMax http://t.co/0maI18O12i",109,133,Mon Jul 28 03:45:37 +0000 2014
"А вот наш красавец Союз. Самая надежная машина в мире. Будет все время с нами и в ноябре вернёт нас обратно на землю. http://t.co/S2aJqwJpPO",256,166,Sat Jul 26 06:09:23 +0000 2014
"Вот вам очередной фотофакт космической действительности http://t.co/7DIUOxOe0r",148,134,Thu Jul 24 13:23:28 +0000 2014
"Вот вам очередной фотофакт космической действительности http://t.co/qQSYEiIsXX",88,83,Thu Jul 24 13:22:28 +0000 2014
"Еще мы здесь ставим эксперименты над людьми :) #SurMax  http://t.co/4sXsNB2HIa с помощью @YouTube",28,27,Sun Jul 20 11:21:40 +0000 2014
"На борту космической станции есть свои архивы #SurMax Вот кое-что из них:) http://t.co/YJqn9M6c7U с помощью @YouTube",35,38,Fri Jul 18 04:21:40 +0000 2014
"вот вам еще одно мгновение #SurMax http://t.co/leGFogs1NB",147,153,Wed Jul 16 05:13:14 +0000 2014
"А теперь начинаю публиковать фотофиксацию действительности без фотошопа #SurMax http://t.co/PF9knUxm1t",371,312,Tue Jul 15 06:53:49 +0000 2014
"Мое обращение к коллегам из #ОПМО #SurMax: http://t.co/vz48eXEdbn с помощью @YouTube",12,11,Tue Jul 15 06:25:24 +0000 2014
"Снег среди лета http://t.co/HiUdSL4fs5 с помощью @YouTube",29,24,Fri Jul 11 05:29:28 +0000 2014
"Олег @OlegMKS работает с научной аппаратурой «Спектрометр» которую мы используем для изучения  Земли. http://t.co/aSKIOzmbQk",28,34,Wed Jul 09 20:08:36 +0000 2014
"Но перед серией фото немного моей реальности #SurMax http://t.co/crpKsCcHJc.",51,38,Wed Jul 09 19:02:20 +0000 2014
"Начинаю публикацию снимков которые мне удалось сделать на МКС. Думаю, может быть интересно будет посмотреть. Всё живое никакого монтажа.",41,22,Tue Jul 08 16:07:27 +0000 2014
"Всем доброе, дорогие друзья! Долго не писал. Было много работы. Вот кое-что из этого #SurMax  http://t.co/DEQRRp5h5m с помощью @YouTube",46,26,Mon Jul 07 03:54:03 +0000 2014
"Некотрые размышления : http://t.co/fwV24tLy5c с помощью @YouTube #SurMax",32,23,Wed Jul 02 20:21:35 +0000 2014
"RT @amicableru: ВАЖНО: Губернаторская премия #НашеПодмосковье – новый призыв http://t.co/nRRC3K22d5 #ПремияГубернатора @nashepodmoskove  Уч…",20,0,Tue Jul 01 06:21:54 +0000 2014
"Продолжая тему космического здоровья и бодрости духа  http://t.co/AFed07amjU с помощью @YouTube Бодрое утро от #SurMax",20,22,Tue Jul 01 04:36:44 +0000 2014
"RT @OlegMKS: 27 июня День Молодежи в России #МКС см блог (June 27. Youth Day in Russia #ISS detail in blog) http://t.co/j9A1g98I2a http://t…",67,0,Sun Jun 29 20:35:55 +0000 2014
"RT @OlegMKS: Города России - Иркутск #МКС ещё см блог (Cities in Russia – Irkutsk #ISS HQ in blog) #BlueDot http://t.co/BPlRTatfKL http://t…",71,0,Sun Jun 29 20:35:46 +0000 2014
"ГРАНИЦА  #SurMax http://t.co/BOeCSueX0F",63,72,Sun Jun 29 20:35:26 +0000 2014
"тем временем за боротом #SurMax http://t.co/46fzuEdBnG",64,74,Sun Jun 29 09:25:14 +0000 2014
"Даже мы иногда удивлены как невесомость меняет наши лица #SurMax http://t.co/0yhTxKfcFQ",140,121,Sun Jun 29 09:23:11 +0000 2014
"Раз в неделю у нас есть видео связь с родными. Это мощнейшая психологическая поддержка http://t.co/6JLlgQyTNL с помощью @YouTube",27,24,Sat Jun 28 12:45:03 +0000 2014
"Да! Кстати! Удачи нашим футболистам в игре с Алжиром! #SurMax",28,11,Thu Jun 26 19:46:03 +0000 2014
"После длинного рабочего дня ничего лучше,чем повиснуть в спальном мешке на стене и улететь к Морфею до утра #SurMax http://t.co/v7wYD4GN6X",77,67,Thu Jun 26 19:40:31 +0000 2014
"Доброе утро, земляне! Иногда вместо зубной пасты мы используем естественные освежители полости рта #SurMax http://t.co/WknPeDsKiZ",155,88,Thu Jun 26 06:19:43 +0000 2014
"Продолжая тему физического здравия  http://t.co/7X6ccSJeL0 с помощью @YouTube #SurMax",27,28,Wed Jun 25 16:36:22 +0000 2014
"Слышал, что в Москве сегодня солнечно) ... Солнечное отражение на солнечных батареях #SurMax http://t.co/4UVJAvMmz2",44,48,Wed Jun 25 06:10:48 +0000 2014
"Олег @OlegMKS работает с научной аппаратурой «Спектрометр» которую мы используем для изучения  Земли http://t.co/2wKJ86gVoW",30,31,Wed Jun 25 05:52:03 +0000 2014
"Здоровье в порядке, спасибо зарядке! http://t.co/qw9sfXJHak с помощью @YouTube",42,36,Tue Jun 24 19:18:34 +0000 2014
"вечерний трафик на МКС:  http://t.co/gqrkCyQzPm с помощью @YouTube",45,36,Mon Jun 23 18:54:44 +0000 2014
"На Земле происходит что-то страшное. Бедные девочки https://t.co/kJ1YjNtVpD",67,11,Mon Jun 23 07:19:31 +0000 2014
"В процессе съёмки этого видео ни один астронавт не пострадал. Люди , большая просьба не относиться слишком серьёзно ко всем нашим видео.",14,17,Sun Jun 22 21:31:53 +0000 2014
"На сон грядущий. Эпизод 1 http://t.co/XWXax32Lc2 с помощью @YouTube",101,60,Sun Jun 22 21:14:18 +0000 2014
"RT @OlegMKS: Балаклава #Крым родной город @AntonAstrey (Balaklava #Crimea hometown @AntonAstrey ) #bluedot http://t.co/g0ZPnHekO5 http://t.…",142,0,Sat Jun 21 19:02:30 +0000 2014
"RT @OlegMKS: Анимация #ВКД-38 (eng) http://t.co/lDv32L2VmF http://t.co/mevHKaRwZL",12,0,Sat Jun 21 19:01:20 +0000 2014
"еще один кадр на сладкое http://t.co/NMwGIBPcfA",87,83,Fri Jun 20 19:36:41 +0000 2014
"http://t.co/h7JtX2fk2J",81,73,Fri Jun 20 19:35:47 +0000 2014
"Обещал - выполняю http://t.co/lfDxNai00H",54,55,Fri Jun 20 19:35:29 +0000 2014
"RT @Space_Lectures: #FF_Specialツ @OlegMKS @Msuraev @Astro_Alex '@astro_reid I will never tire of this view' Wish I was there with you :-) h…",36,0,Fri Jun 20 10:42:51 +0000 2014
"Сегодня выход в открытый космос. Все дни были заняты подготовкой. Скоро порадую какой-нибудь информацией)",31,30,Fri Jun 20 10:42:31 +0000 2014
"у нас вовсю идет подготовка к выходу в открытый космос: http://t.co/3PWFSQSJ2l с помощью @YouTube",47,33,Wed Jun 18 05:22:21 +0000 2014
"Исчезли не только волосы но и эмблема на футболке. Жертвой опыта стал @OlegMKS http://t.co/Ircb3iEo9G",78,42,Tue Jun 17 18:17:37 +0000 2014
"Недавно прислали комбайн для помывки, сушки и завивки волос. Что-то пошло не так или мы неправильно собрали схему. http://t.co/HOYX5qlxp2",144,78,Tue Jun 17 18:15:27 +0000 2014
"Удалось таки поучаствовать в первом пленарном заседании ОПРФ выйти на связь по телефону. Спасибо @Plesheva",15,6,Mon Jun 16 08:47:57 +0000 2014
"RT @Plesheva: Член ОПМО Максим @Msuraev примет участие в первой пленарке ОПРФ прямо из космоса #SurMax",9,0,Mon Jun 16 07:53:56 +0000 2014
"Тестирование подключения прошло успешно. Однако, сейчас из Центра управления полетами сообщили, что прямая связь с ОПРФ невозможна(",7,9,Mon Jun 16 07:16:06 +0000 2014
"Скоро сеанс прямой связи с Россией) Первое пленарное заседание Общественной палаты РФ  нового созыва. Меня туда делегировала ОПМО #SurMax",15,10,Mon Jun 16 05:58:57 +0000 2014
"Для тех, кто еще на выходных.. Одно из самых любимых мест отдыха наших туристов о.Кипр. Вот бы сейчас туда) Шутка http://t.co/QDI8bxk6Ru",116,115,Mon Jun 16 05:55:27 +0000 2014
"Тем временем настал момент ужина: http://t.co/QeqSqtHq1c с помощью @YouTube  по просьбе коллег с хештегом #SurMax",91,52,Sat Jun 14 17:56:27 +0000 2014
"RT @Astro_Alex: New horizons #BlueDot #blog http://t.co/1Z0TArwUtk http://t.co/FO42Xo9ZGA",169,0,Fri Jun 13 11:50:44 +0000 2014
"Все знают мультфильм Мадагаскар, а вот так выглядит остров Мадагаскар из космоса.На что еще вам  хотелось взглянуть? http://t.co/LKyprXsG5Z",226,135,Fri Jun 13 11:49:03 +0000 2014
"Гордимся ) http://t.co/esKLtkdiEq",87,52,Thu Jun 12 19:40:28 +0000 2014
"Всех поздравляю с праздником! Я люблю свою страну! Я её обажаю!!!!!!! http://t.co/6XtzxGROkl",51,49,Thu Jun 12 19:39:07 +0000 2014
"Пока вы отмечаете День России, мы вовсю готовимся  к выходу в открытый космос http://t.co/39ycBEsyEV с помощью @YouTube",69,29,Thu Jun 12 06:01:23 +0000 2014
"С днем России!!! Чтобы слава величала, а мощь росла!",111,19,Thu Jun 12 05:23:28 +0000 2014
