tweet,retweetsCount,favoritesCount,timestamp
"RT @instagram: Happy New Year! Celebrating from space with @AstroTerry  http://t.co/ZbHuMy7zhM http://t.co/SWLSO5eMQe",2314,0,2014-12-31 20:01:04
"RT @instagram: “We get to celebrate all 24 time zones. We’ll be over the earth at midnight while in 16 of them.”—astronaut @AstroTerry",1051,0,2014-12-31 20:01:02
"RT @NASA: #HappyNewYear from the @Space_Station! They did the math &amp; will celebrate #NYE2015 16 times: http://t.co/dZdK3Dy8tu http://t.co/5…",2061,0,2014-12-31 17:33:02
"RT @AstroTerry: Unwrapping an early Christmas gift last week. @AstroRobonaut is my favorite action figure. #SpaceVine https://t.co/kNtYDaJI…",338,0,2014-12-31 17:32:28
"RT @Chief_Astronaut: Awesome perspective of changing Earth. MT @NASAGoddard: 15 Things In 15 Yrs http://t.co/DknW2bGK8D @BuzzFeed @NASA_EO …",126,0,2014-12-31 06:58:56
"RT @AstroTerry: If I couldn't be in space right now I'd want to be here- #Hawaii http://t.co/kOkHM2Igeh",624,0,2014-12-29 19:31:33
"RT @foreman_mike: The Year in Space, 2014: New Beginnings, Continuing Discoveries http://t.co/GnEORdJgIV",19,0,2014-12-29 18:54:28
"RT @Astro_Nicole: If it clears up, there will be a great #ISS pass over Houston tonight - Mon,12/29 6:09PM, Visible: 6 min, Max Height: 50 …",22,0,2014-12-29 18:54:13
"RT @Space_Station: Happy birthday to the commander of the #ISS, Barry Wilmore! #AstroButch http://t.co/9bX6mmrcPr",439,0,2014-12-29 18:53:46
"RT @AstroTerry: #Moonrise http://t.co/IqfBhFxNCL",1941,0,2014-12-29 03:26:31
"RT @Astro_Wheels: That razor-thin blue margin; So mysterious...separates us from oblivion; So fragile...the source of our next breath. http…",260,0,2014-12-29 03:25:46
"RT @AstroTerry: #Sunrise is so #peaceful up here. http://t.co/jYuUdW9atd",2833,0,2014-12-29 03:25:34
"RT @AstroTerry: Flying quietly over #Earth on a moonless night, with a starry sky http://t.co/KGVGY7BfsN",433,0,2014-12-27 05:56:18
"RT @AstroTerry: opening presents - I got a harmonica frome Elena Serova. Now I need to learn how to play! http://t.co/rT0E9ZqynO",1140,0,2014-12-27 05:54:48
"RT @StationCDRKelly: Merry #Christmas to all on the planet w me and to my crewmates off the planet. I'll see you next year on #ISS! By that…",76,0,2014-12-25 21:44:30
"RT @AstroTerry: Sunrise on Christmas morning- better than any present I could ask for!!!! http://t.co/RtzUSZc7Ns",3652,0,2014-12-25 15:18:24
"RT @AstroTerry: Our version of Christmas lights, the station color glow during every day-night transition #SpaceVine https://t.co/vlpHiu0Bis",1393,0,2014-12-25 15:18:15
"RT @AstroTerry: No chimney up here- so I left powdered milk and freeze dried cookies in the airlock. Fingers crossed... http://t.co/zr5MzGb…",7303,0,2014-12-24 23:57:23
"RT @NASA_Johnson: On Jan. 15, meet @StationCDRKelly and go #BTS of @ISS_Research at a @NASASocial. Apply now: http://t.co/7sKTTU9spE http:/…",232,0,2014-12-24 02:19:56
"RT @Space_Station: It looks like #Christmas on the #ISS as #Exp42 works advanced life science in space... http://t.co/pQZujkgllf http://t.c…",266,0,2014-12-23 20:31:36
"RT @Astro2fish: Check out this wicked cool video of what our view will be coming home in #Orion! https://t.co/4VlI5ljrAO",52,0,2014-12-23 20:13:24
"RT @Space_Station: It's great to be home for the holidays! The #ISS is home for @AstroTerry and #AstroButch this year. Watch: http://t.co/m…",309,0,2014-12-23 16:30:53
"RT @Astro_Wheels: Love Science? Come join us in #Houston! MRT: @NASA: #NASASocial @NASA_Johnson @StationCDRKelly http://t.co/Cs0US4qKlI htt…",47,0,2014-12-22 23:43:16
"RT @Space_Station: #SuitUp with us for the #JourneytoMars in 2015. http://t.co/VO6g0irzVG http://t.co/7k96C2Gloc",472,0,2014-12-22 21:21:06
"RT @Space_Station: From low Earth orbit on #ISS: Merry Christmas to the men and women in the armed forces and thanks for all you do! https:…",89,0,2014-12-22 19:16:30
"RT @Space_Station: #Exp42 replans #Christmas week after @SpaceX delay. @AstroSamantha talks to Italy's president. http://t.co/6OlPUObdgN ht…",44,0,2014-12-22 18:18:39
"RT @NASA_Orion: Orion is #1 on @washingtonpost Best Innovations of 2014! http://t.co/iog1Zu8nuK http://t.co/6mErqjYk8F",187,0,2014-12-22 17:52:31
"RT @AstroTerry: #moonset behind Earth's atmosphere last week http://t.co/JFmXGiZNz4",3502,0,2014-12-22 13:21:37
"RT @AstroTerry: #Sunset over the American great plains http://t.co/QfuRSKRt61",384,0,2014-12-22 00:15:24
"RT @AstroTerry: #Italy, Sardegna, Corsica, Sicily, and Africa- beautiful at night! http://t.co/ZdYzVUN7DJ",1160,0,2014-12-22 00:15:22
"RT @AstroTerry: The 'eye of the #sahara'. Beauty everywhere you LOOK! http://t.co/tZXvSeTJml",719,0,2014-12-21 22:13:35
"RT @AstroTerry: #Bahamas looking back at the sunglint in the rear view mirror… http://t.co/CI87eY80Np",1430,0,2014-12-21 21:28:12
"RT @AstroTerry: #Florida and the #Bahamas from a new perspective http://t.co/tVyitz0vQR",1528,0,2014-12-21 21:14:37
"RT @AstroTerry: It just looks like we are flying over Mars when over the #sahara http://t.co/OPLjqIM7Z9",318,0,2014-12-21 17:59:08
"RT @AstroTerry: Looking back into sunglint across #Italy - you need sunglasses for this! http://t.co/8oxpREBZIH",373,0,2014-12-21 12:51:23
"RT @AstroTerry: Looking west over the Middle East, all the way into #Europe, and up to the stars http://t.co/n00T13vrxz",679,0,2014-12-20 17:06:13
"RT @Astro_Nicole: Honor to deliver, help install &amp; 1st run on COLBERT (treadmill) 5 yrs ago #ISS @StephenAtHome #FarewellColbertReport http…",38,0,2014-12-19 23:04:22
"RT @AstroTerry: Night flight #Ireland to the #Adriatic from 1 million feet high. #SpaceVine with a touch of #Aurora https://t.co/QRxOcCHLa4",2038,0,2014-12-19 14:34:43
"RT @AstroTerry: I wonder what @AstroRobonaut is thinking, looking at me like that… http://t.co/zhSHvLHtNy",149,0,2014-12-18 21:54:47
"RT @StationCDRKelly: #OneYearExp news conf in Paris, @Time cover story out today. Keep calm, it's about to get real http://t.co/hDv0Dsm63q …",321,0,2014-12-18 21:03:11
"RT @Space_Station: #Exp42 postpones @SpaceX #Dragon activities. @AstroTerry works on water-producing system... http://t.co/FtuJ51m8zm http:…",36,0,2014-12-18 20:37:01
"RT @Space_Station: .@NASA announces launch of @SpaceX #Dragon on #CRS5 now will occur no earlier than Jan. 6... http://t.co/XEv4IF4Kph http…",138,0,2014-12-18 16:24:33
"RT @csa_asc: Got questions for @StationCDRKelly M. Kornienko @Astro_Jeremy @Astro_Andreas @Astro_Soichi? Use #askNASA. #ISS1year",15,0,2014-12-18 15:28:56
"RT @AstroTerry: Our #beautiful Earth.  #Africa Great Lake with #Mozambique, #Malawi, #Tanzania, #Zambia http://t.co/v02e5nj7GZ",509,0,2014-12-18 13:54:29
"RT @Astro_DavidS: Bonnes questions des élèves de l'École des Cheminots à Delson, QC! http://t.co/fE2AfxHtHQ",20,0,2014-12-17 22:28:53
"RT @Astro_DavidS: Green Screen room to do virtual conferences with photos &amp; videos  in the background. Like a TV weather anchor! http://t.c…",15,0,2014-12-17 22:28:35
"RT @Space_Station: .@FloridaTech scientist/ex-shuttle flyer Sam Durrance talks #Alzheimers study flying to #ISS on @SpaceX #Dragon... http:…",27,0,2014-12-17 22:01:38
"RT @AstroTerry: One of the most amazing sites on Earth #AmazonRiver delta. http://t.co/yGj7PNDtol",1798,0,2014-12-17 19:52:37
"RT @Space_Station: .@AstroTerry unpacks @AstroRobonaut to try out its new legs for first time on #ISS... http://t.co/9Agh3WFxYz http://t.co…",126,0,2014-12-17 19:02:26
"RT @Space_Station: .@NASA Chief Scientist @EllenStofan talks about endless @ISS_Research possibilities for #Earth... http://t.co/HnQZZ00afP",46,0,2014-12-17 17:51:56
"RT @Space_Station: #3dprinting for #AstroButch then joins @AstroSamantha on @SpaceX #Dragon grapple training... http://t.co/ypqjd9eanj http…",116,0,2014-12-16 19:57:54
"RT @AstroTerry: #goodmorning west coast of #Mexico with sunglint on the Pacific http://t.co/Ta3svpVoBh",391,0,2014-12-16 16:32:07
"RT @Space_Station: #Exp42 preps for next year's spacewalks, trains for 5th @SpaceX #Dragon mission ... http://t.co/ftw3yKBARL http://t.co/5…",84,0,2014-12-15 18:10:54
"RT @AstroTerry: #sunset over the Gulf of Mexico and American gulf coast http://t.co/NOUqNFlSuW",3042,0,2014-12-14 23:53:48
"RT @Space_Station: I think we can guess who #AstroButch is cheering for from the #ISS today... #ArmyNavy http://t.co/UuwIzutyRd",83,0,2014-12-13 22:39:02
