tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA: K-12 student in the US? Challenge: Design a tool for @Space_Station's @NASA3DPrinter: http://t.co/lu0z3Tga9u http://t.co/d4wVVnmZ…",268,0,2014-12-10 19:06:45
"RT @NASAexplores: #ICYMI Miss the historical #Orion #EFT1 launch this morning? Watch it here! As many times as you like! http://t.co/qwNUzD…",23,0,2014-12-05 15:35:19
"RT @NASAexplores: Tune in NOW http://t.co/hVyGxl8drz to hear about #NASA's #JourneytoMars including the #Orion  #EFT1 test flight tomorrow!…",5,0,2014-12-03 18:29:08
"RT @NASAexplores: @__Stellaaaar Definitely have to agree on that, but check out @nasa_neemo &amp; @ReefBase too... Equally dope!",2,0,2014-12-03 16:43:13
"RT @NASAexplores: NEW opportunities to partner w/ @NASA on propulsion, habitation, &amp; CubeSats in deep space! Check out the #NextSTEP http:/…",25,0,2014-10-28 20:06:46
"RT @KatieLinendoll: A firsthand deep dive seeing astronauts train &amp; simulate microgravity... underwater! http://t.co/zKovl2M0uO @NBCNews @N…",11,0,2014-10-23 21:16:29
"RT @JasonKring: @Astro_Andreas &amp; @ESAstro_trainer deploy top of #CORAL during @NASA_NEEMO 19 in great photo by @mwidick http://t.co/RAsxfHc…",11,0,2014-09-23 12:04:12
"RT @JasonKring: One of many amazing pics by @mwidick  of #CORAL submersion during @NASA_NEEMO 19 @ReefBase http://t.co/OOEZmOLhnx",1,0,2014-09-22 15:00:20
"RT @ESAstro_trainer: Thanks a lot @SpaceUpTLS for your interest in @NASA_NEEMO @ReefBase #NEEMO19 #SpaceUpTLS @esa. pic via @Brigitte_Ba : …",6,0,2014-09-21 13:16:14
"RT @ESAstro_trainer: French TV news on Sept. 11 about my PAO event @ReefBase @NASA_NEEMO: select '19/20 11/09/2014' http://t.co/Ty2whFgnmd …",3,0,2014-09-18 14:03:07
"RT @JasonKring: ICYMI here's 2nd article about @ERAU_Daytona &amp; @NASA_NEEMO 19 mission from @Dustin_WyattNJ  http://t.co/whvKgUKphU",4,0,2014-09-17 14:36:44
"RT @howellspace: My interview with @nasa_neemo 19 commander Randy Bresnik (while he was underwater) is published on @spacedotcom! http://t.…",8,0,2014-09-16 17:44:30
"RT @WatchCTVNews: Back from #NASA mission @Astro_Jeremy on living on the bottom of the ocean: http://t.co/wak5IAxWs0 @CTVCanadaAM http://t.…",22,0,2014-09-16 13:59:28
"RT @esaoperations: @Astro_Andreas @ESAstro_trainer @Astro_Jeremy &amp; Randy testing @esa technology for #NEEMO19 http://t.co/rowYLFiJHB http:/…",29,0,2014-09-16 13:58:56
"RT @KatieLinendoll: Definitely one of the coolest stories to ever cover! Tx @NASA_NEEMO can't wait to share the experience on CNN http://t.…",2,0,2014-09-16 13:56:56
"RT @JasonKring: Thank you @Astro_Jeremy for talking w/ @ERAU_Daytona students about @NASA_NEEMO mission! http://t.co/2wLfaAQN9h",3,0,2014-09-14 22:08:14
