tweet,retweetsCount,favoritesCount,timestamp
"Happy New Year! 2015 = new #Orion spacecraft, @esa service module, &amp; testing @NASAglenn How about you? http://t.co/68HndTI5JF",471,608,Wed Dec 31 16:20:58 +0000 2014
"RT @NASA: Want to learn more about what we did in 2014?   Read more: http://t.co/Au9LgzPlSo http://t.co/JxTt6w7t3f",733,0,Tue Dec 30 19:17:49 +0000 2014
"RT @ulalaunch: .@NASA_Orion launch topped @NBCnews's 2014 #space recap. Go #Orion! Go @LockheedMartin! Go @NASA! Go #DeltaIV! http://t.co/8…",15,0,Tue Dec 30 19:01:03 +0000 2014
"RT @NASA: Actress @Jes_Chastain looks into the future of space exploration: http://t.co/lYrBdMKnAq [video] http://t.co/Tk2mEDmDaK",581,0,Mon Dec 29 18:12:33 +0000 2014
"RT @LockheedMartin: Think you know everything about #Orion? Here are a few things that may surprise you: http://t.co/qWxErhObDO http://t.co…",99,0,Fri Dec 26 15:03:58 +0000 2014
"Merry Christmas from the Orion Program http://t.co/ZzCGMFBoZ9",278,486,Thu Dec 25 00:03:24 +0000 2014
"RT @NASA: .@NASA_Hubble sees the beautiful side of galaxy IC 335: http://t.co/KzV1JJ2JUz http://t.co/Kk9drMmfrg",1414,0,Wed Dec 24 20:32:27 +0000 2014
"RT @Space_Station: While looking for Santa tonight, keep your eyes peeled for #ISS. See when it passes your town: http://t.co/e04P1EUJLZ ht…",257,0,Wed Dec 24 20:02:30 +0000 2014
"RT @NASAhistory: #Today in 1968, a few minutes after b/w image, Apollo 8 crew takes iconic color image of Earthrise http://t.co/uuCMHgTVkH",2391,0,Wed Dec 24 16:23:52 +0000 2014
"Orion is #1 on @washingtonpost Best Innovations of 2014! http://t.co/iog1Zu8nuK http://t.co/6mErqjYk8F",188,280,Mon Dec 22 17:51:55 +0000 2014
"RT @LockheedMartin: Orion generates huge amounts of data. Fortunately Mach-5 Insight™ listens, helping engineers understand the mission: ht…",34,0,Mon Dec 22 15:44:15 +0000 2014
"RT @NASA: Gecko Grippers: We're working on adhesive gripping tools inspired by how geckos cling. http://t.co/hEntHeqnh2 http://t.co/GDLHm3a…",1468,0,Mon Dec 22 03:08:17 +0000 2014
"RT @AstroSamantha: Good night from #space everyone. Buona notte a tutti dallo spazio. #HelloEarth http://t.co/dg8DVF8qgg",2810,0,Mon Dec 22 03:07:58 +0000 2014
"RT @NASA: Happy 75th @NASAAmes ! Pic shows work on 1943 wind tunnel and video of #Orion work http://t.co/Mne6QYJeN2  http://t.co/69GEW8vvJB",31,48,Sat Dec 20 19:25:11 +0000 2014
"RT @NASA: Watch 'This Year @NASA' [video] http://t.co/zN0sIIMsAs  #JourneyToMars #EarthRightNow #LaunchAmerica #FlyNASA http://t.co/CZPVkHY…",476,0,Sat Dec 20 01:11:24 +0000 2014
"RT @i_annai: @NASA_Orion @NASAKennedy thank you for sharing. For  10 minutes  I became  an astronaut - a lifetime dream☺️",10,0,Sat Dec 20 01:07:55 +0000 2014
"RT @XploreDeepSpace: During @NASA_Orion’s first flight, the spacecraft traveled 3,604 miles into space—15x further than the Int’l Space Sta…",28,0,Fri Dec 19 20:09:30 +0000 2014
"@cmcichon This view is from the top docking hatch window.",1,2,Fri Dec 19 19:30:56 +0000 2014
"What will astronauts see as they return from Mars in #Orion? Amazing footage of last 10 min of flight: https://t.co/mVqyzTXp4D",286,273,Fri Dec 19 19:02:11 +0000 2014
"RT @NASA_SLS: Progress continues on mods to NASA's Pegasus barge for #SLS, 165-foot section installed: http://t.co/L9pneqljW5 http://t.co/G…",30,0,Fri Dec 19 17:41:45 +0000 2014
"RT @jenvargas: #NASASocial @NASA_Orion selfie!! http://t.co/Q8O2YSR0KK http://t.co/9I5X4UhtSQ",34,0,Fri Dec 19 16:31:30 +0000 2014
"RT @NASA_go4launch: #Orion is back in the LASF. We have turned it back over to @LockheedMartin for post-mission analysis http://t.co/aAKBss…",77,0,Fri Dec 19 16:16:46 +0000 2014
"RT @theWeatherboy: American pride: #Orion bears flag. #USA #NASA #NASASocial http://t.co/jrxMKkQqzN",35,0,Fri Dec 19 16:15:28 +0000 2014
"@Synhtez Orion built to send humans to deep space destinations. A habitat module needed long term and lander to go to the surface of Mars.",2,2,Fri Dec 19 16:10:08 +0000 2014
