tweet,retweetsCount,favoritesCount,timestamp
"#SLS had an amazing year of progress in 2014! Join us on the journey in 2015. #HappyNewYear http://t.co/Y292Bhj0fv",33,48,Wed Dec 31 16:45:01 +0000 2014
"NASA had a big year in 2014 -- check out the highlights on This Year @NASA: https://t.co/ZXTnrgKBgC #ByeBye2014",9,9,Tue Dec 30 17:02:19 +0000 2014
"Happy Holidays from the SLS team! Tonight spot the #ISS from Huntsville! http://t.co/iPwVsSGygx",9,13,Wed Dec 24 16:29:22 +0000 2014
"RT @NASA: In 1968, the Apollo 8 astronauts spent Christmas at the moon: http://t.co/2v2V0sKpAh @NASAHistory http://t.co/0yg29FUHxc",2509,0,Tue Dec 23 20:34:13 +0000 2014
"RT @Space_Station: It's great to be home for the holidays! The #ISS is home for @AstroTerry and #AstroButch this year. Watch: http://t.co/m…",309,0,Tue Dec 23 17:30:09 +0000 2014
"The #journeytomars is one of @NASA's highlights for 2014. Join us as we take the next steps! http://t.co/Jckxc9CwfB",10,3,Mon Dec 22 22:21:36 +0000 2014
"RT @NASA: From @Cosmopolitan: 'Get That Life: How I Became a NASA Engineer Despite My Disability' http://t.co/EaKpNGpPe1 http://t.co/UoRsGm…",374,0,Mon Dec 22 22:19:24 +0000 2014
"RT @NASAKennedy: #Sunrise as seen from the O&amp;C, #Orion's home and where the #JourneytoMars begins! #HappyHolidays everyone! http://t.co/Xxn…",65,0,Mon Dec 22 16:16:33 +0000 2014
"RT @NASA_Orion: What will astronauts see as they return from Mars in #Orion? Amazing footage of last 10 min of flight: https://t.co/mVqyzTX…",286,0,Fri Dec 19 19:55:53 +0000 2014
"Progress continues on mods to NASA's Pegasus barge for #SLS, 165-foot section installed: http://t.co/L9pneqljW5 http://t.co/GmDlAgEKb8",30,50,Fri Dec 19 16:52:44 +0000 2014
"RT @NASASocial: The #NASASocial group visits Launch Pad 39-B to see modifications being made to support @NASA_SLS http://t.co/yR5lEl6CBL",24,0,Fri Dec 19 14:24:45 +0000 2014
