tweet,retweetsCount,favoritesCount,timestamp
"RT @markbelanart: Pavilion Lake | 2014 digital media @PavilionLake @NASAAmes @NASA #science #illustration #art #scienceillustration http://…",2,0,Tue Oct 21 14:09:04 +0000 2014
"Thoughts are with everyone - we hope all are safe at the lake. http://t.co/PYLiEQk5SA",0,0,Fri Aug 22 04:01:03 +0000 2014
"Thanks to all for a great field season!",0,0,Sat Jun 28 04:37:55 +0000 2014
"Just completed a tethered dive with 5 min delay on communications - a REAL simulation of what space delay is!",0,1,Tue Jun 24 22:42:46 +0000 2014
"The PLRP clothesline. http://t.co/Xyc9TKgLKw",0,0,Tue Jun 24 17:28:17 +0000 2014
"Divers sampled some 'frosted tip' microbialites from the lake this morning. See the resemblance? http://t.co/Py6hlvxlXG",0,1,Tue Jun 24 16:32:17 +0000 2014
"Rainy day at Pavilion Lake... even the sky is saying 'PLRP PLRP PLRP' http://t.co/r3lTNjBtSt",1,1,Tue Jun 24 16:04:01 +0000 2014
"Dive recap meeting. Great ops today with tethered divers! #2014PLRP http://t.co/iqJCUFwBoL",0,0,Mon Jun 23 01:43:09 +0000 2014
"Inside NASA's Mobile Mission Control Center http://t.co/SVyBMRF9GC",0,1,Sun Jun 22 19:18:01 +0000 2014
"Calm lake before a busy morning. We have lots of dives planned for today! http://t.co/WlaGdmAVzP",6,7,Sun Jun 22 15:06:32 +0000 2014
"PLRP, pre-caffeine. http://t.co/vhCVCcKPht",1,1,Sun Jun 22 14:07:16 +0000 2014
"Tethered divers (@SteveSquyres on right) pulling a microbialite sample at 58 ft. http://t.co/DOBG1n0UMv",3,0,Sun Jun 22 04:01:32 +0000 2014
"RT @subsurface_life: Samples headed in @PavilionLake http://t.co/gasWFRKpBD",2,0,Sat Jun 21 23:55:15 +0000 2014
"See color corrected version of the Outland ROV with microbialite chimeys on our website.",0,0,Sat Jun 21 16:18:14 +0000 2014
"Winds have been strong, but team soldiers on. Will be getting early start on the day tomorrow to try try again.",0,0,Sat Jun 21 01:23:07 +0000 2014
"More photos of diving in the lake from @SteveSquyres http://t.co/OPSPUdbONl #2014PLRP",1,0,Fri Jun 20 18:06:51 +0000 2014
"Currently operating in a communications delay to simulate real space complications. #2014PLRP",0,0,Thu Jun 19 17:35:31 +0000 2014
"@sumnerd Thanks Dawn! Tyler, as usual, is a huge asset to the team this year!",1,0,Thu Jun 19 14:52:51 +0000 2014
"Late night meeting to plan the next dives #2014PLRP http://t.co/ptGezWMv3D",2,0,Thu Jun 19 03:32:17 +0000 2014
"Divers and ROVs are about to work together in the lake! #2014PLRP",1,0,Wed Jun 18 22:28:28 +0000 2014
"Day 1 underwater blog from Zena: http://t.co/luPyNmE6Cs",1,0,Wed Jun 18 15:33:12 +0000 2014
"Checking out the microbialites! Photo from @SteveSquyres http://t.co/NIIRaaKVe4",1,1,Wed Jun 18 14:39:41 +0000 2014
"Lessons from the field already, reminded again how exploration is best when science and engineering are working together.",1,0,Wed Jun 18 01:56:24 +0000 2014
"Lake bottom - microbialites! #2014PLRP http://t.co/EMVxdOtFXr",0,0,Tue Jun 17 23:02:17 +0000 2014
"ROVs are in the water, investigating the middle of the lake. #2014PLRP",1,0,Tue Jun 17 22:04:27 +0000 2014
"Who's at the lake? @SteveSquyres @subsurface_life and about 25 others. This year we work with divers and ROVs #2014PLRP",1,0,Tue Jun 17 16:38:25 +0000 2014
"Field season well underway. Weather at the lake is gorgeous - divers are underwater right now! #2014PLRP",0,0,Tue Jun 17 16:27:43 +0000 2014
"2014 field season about the start! Will be hard at work from June 12-26",1,0,Fri Jun 13 22:52:31 +0000 2014
