tweet,retweetsCount,favoritesCount,timestamp
"RT @RBondarFdn: Nod to #illustration+#Science – #Manchester #naturalist William Crawford #Williamson http://t.co/SB46ha9Bff http://t.co/Dtj…",2,0,2014-11-25 18:07:42
"RT @RBondarFdn: Meet #ornithology pioneer Tso-hsin Cheng [Zheng Zuoxin] &amp; his work on #birds of #China http://t.co/94DdQcOlEv http://t.co/5…",4,0,2014-11-18 19:01:43
"RT @TheCrownCa: Photos from the November 10 #royaltour events are now available on Flickr http://t.co/FuTKocZA8J  [photo 1 of 5] http://t.c…",14,0,2014-11-12 01:17:20
"RT @VeteransENG_CA: #RememberThem  Canadian women who have played an important role in our country’s military efforts over the years https:…",2432,0,2014-11-11 17:44:13
"RT @RideauHall: The National War Memorial was originally dedicated by King George the VI in 1939. #RememberThem #RoyalTour http://t.co/EMka…",45,0,2014-11-11 17:42:12
"RT @GGDavidJohnston: It was touching to pay tribute to our veterans and to see you all in great numbers. #RememberThem http://t.co/lMZX2I7C…",63,0,2014-11-11 17:41:37
"RT @eftourscanada: We hosted our Leadership &amp; Innovation summit in #Berlin last year w/@RobertaBondar! #memories http://t.co/SDwQ3VBDmU",1,0,2014-11-10 03:57:47
"RT @RBondarFdn: Today's Bondar Challenge salutes Dr. Betty Roots! http://t.co/uE7rciXGwK",2,0,2014-10-21 18:22:26
"RT @TrentUniversity: A once in a lifetime photo: @LGLizDowdeswell @RobertaBondar @BPattersonCOU @dtapscott and Leo Groarke. #trentu50 http:…",8,0,2014-10-18 16:21:57
"RT @BPattersonCOU: A fun, celebratory moment with @RobertaBondar @RyersonU’s convocation yesterday. #cdnpse http://t.co/H0XQc8mqiZ",3,0,2014-10-16 23:32:33
"RT @BirdNoteRadio: Thx for following @BirdNoteRadio @chsaudubon @animalfac @AlbatrossTales @florangela @RobertaBondar And thx for the work …",1,0,2014-10-10 16:38:43
"RT @RBondarFdn: Dr. Roberta Bondar and textile assemblage artist Carole Sabiston have come together at the Buhler Gallery in... http://t.co…",2,0,2014-10-09 12:47:24
"RT @RBondarFdn: Download a copy of your Living Planet Report 2014 http://t.co/imqDrqvVYt via @wwf",1,0,2014-10-09 12:46:56
"RT @RBondarFdn: The Bondar Challenge! http://t.co/GJ0tTkvHeD",1,0,2014-10-09 12:46:42
"RT @EMNLaward: 2014 Elsie MacGill Northern Lights Award Recipients have been selected!  http://t.co/FFPqgaxGEo",2,0,2014-09-28 15:37:11
"RT @USFWSHQ: Scientists from 23 partners say bird populations are declining but conservation works! #SOTB14 http://t.co/uvumVeGaCb http://t…",155,0,2014-09-10 12:21:29
"RT @washingtonpost: Sarah Silverman's reminder: 'We're all just made of molecules and we're hurling through space right now.'  http://t.co/…",78,0,2014-08-26 01:56:07
"RT @RBondarFdn: Yo! Heading to the #WhoopingCrane wetlands in #WoodBuffalo National Park! http://t.co/4xtb0KPyWv",3,0,2014-08-26 01:18:42
"RT @allisondev: 'The sky is open to everyone around the world.' Roberta Bondar, en route to Ft Smith http://t.co/3wLP8oQOes #cbcnorth http:…",5,0,2014-08-23 13:14:16
"RT @WomenOfInflnce: Learn to build a career legacy Sept 30 with @Jeanne_Beker, @RobertaBondar &amp; Annette Verschuren http://t.co/skGR42sMjJ h…",10,0,2014-08-19 13:35:51
"RT @RBondarFdn: Celebrating #pediatric #pathologist Dr Daria Haust! http://t.co/xTDqppsUsq http://t.co/DsGxKoNda2",1,0,2014-08-19 02:07:40
"RT @RBondarFdn: New week, new contest!  #CanadianBondarChallenge Week 2 - Finding Water  Show us the rivers, lakes, pond, oceans,... http:/…",1,0,2014-08-13 13:40:10
