tweet,retweetsCount,favoritesCount,timestamp
"How are the surface winds? (live at http://t.co/DURAuGCCwz)",1,1,Wed Dec 31 23:09:37 +0000 2014
"The ANITA III neutrino payload launched today from Antarctica.  Follow the flight at http://t.co/K90M8V8tP1  @csbfops @NSF_OPP",7,4,Thu Dec 18 10:08:19 +0000 2014
"With @NSF we’re exploring the universe from Antarctica with the Columbia Scientific Balloon Facility. http://t.co/2UkTkkP6Np @csbfops",1,4,Thu Dec 18 10:04:16 +0000 2014
"France Cordova, director of NSF and #SciAstro at the McMurdo @csbfops balloon facility.  @NSF_OPP @NASASocial http://t.co/Hzxe6KgV9M",10,12,Thu Dec 18 10:03:00 +0000 2014
"Made it to McMurdo station and ran into another astronaut Shannon Walker.  Small world. @NASASocial http://t.co/9NyCWoYUpm",5,18,Wed Dec 17 20:21:41 +0000 2014
"Boarded the C-130 to begin the 8+ hour flight to McMurdo. @NASASocial  @NSF_OPP #EarthRightNow http://t.co/D0plgJysyW",6,17,Tue Dec 16 19:40:47 +0000 2014
"RT @AstroTerry: #Sunset on #ISS http://t.co/CI2iAF9ZFz",1780,0,Mon Dec 15 23:53:06 +0000 2014
"Scrubbed for bad weather at  McMurdo.  Will try again tomorrow.  @NSF_OPP Antarctica may be close but seems a bit farther away today.",0,2,Mon Dec 15 20:14:15 +0000 2014
"With France Cordova Director of #NSF  as part of @NSF_OPP expedition to Antartica. Departing NZ today! http://t.co/kZpV4mbLLK",2,12,Mon Dec 15 18:09:06 +0000 2014
"RT @ScienceNews: IceCube snared high-energy neutrinos from beyond the solar system. No. 18 in #SNtop25 http://t.co/qCKWr9WtdT http://t.co/s…",44,0,Mon Dec 15 18:06:01 +0000 2014
"Where on Earth is @SciAstro? @NSF_OPP is a clue? http://t.co/nTkKssQnvw",1,4,Mon Dec 15 09:38:00 +0000 2014
"RT @SOFIAtelescope: SOFIA is back @NASAArmstrong http://t.co/YDXtNbKsrW",50,0,Mon Dec 15 09:31:57 +0000 2014
"President Obama:  'I'm intrinsically hopeful' at the WH Nat. Medals of Science and Tech ceremony today.  #STEM http://t.co/eHVY9hp7Nm",7,11,Thu Nov 20 16:44:09 +0000 2014
"shipping the Deep Space Climate Observatory, a #NASA #NOAA partnership, to the launch site in Florida today. http://t.co/vNvIU9Dg5q",5,15,Tue Nov 18 13:29:31 +0000 2014
"RT @SOFIAtelescope: We're nearing the end of maintenance in #Hamburg. #NASA747 http://t.co/YBscCElj4d",10,0,Mon Nov 17 16:21:58 +0000 2014
"RT @esaoperations: '@ESA_Rosetta: My OSIRIS camera spotted @philae2014 drifting across #67P! http://t.co/pFwWfaJXy4 #CometLanding http://t.…",330,0,Mon Nov 17 14:43:33 +0000 2014
"RT @CBSNLive: 'This is a question about our own origins,' former astronaut John Grunsfeld (@SciAstro) says of @ESA_Rosetta mission. http://…",2,0,Thu Nov 13 14:15:43 +0000 2014
"#CometLanding is being covered by newspapers around the world above the fold. Planetary Science Rocks!",31,56,Thu Nov 13 12:36:28 +0000 2014
"RT @esaoperations: From ESOC RT @esa: Media briefing - latest on @ESA_Rosetta #cometlanding starts 13:00 GMT (14:00 CET). Follow live http:…",52,0,Thu Nov 13 12:34:02 +0000 2014
"A page from Edwin Hubble's thesis I flew in space with me to the Hubble Space Telescope in 2002 at @IntrepidMuseum http://t.co/sronToCJVo",3,12,Wed Nov 12 21:44:34 +0000 2014
"Tools for repairing HST at @IntrepidMuseum for #Hubble25 http://t.co/zynozL9ODd",4,8,Wed Nov 12 21:37:22 +0000 2014
"at the @IntrepidMuseum in NYC to kick-off celebrations for the 25th anniversary of @NASA_Hubble. #Hubble25 http://t.co/Ulp2VsKoNL",12,15,Wed Nov 12 21:34:31 +0000 2014
"On the train up to NYC to meet my STS-125 crew at @IntrepidMuseum.  Opening an HST exhibit as a preview to #Hubble25",4,12,Wed Nov 12 17:53:05 +0000 2014
"Catching a ride on a comet.  #ESA has done it with Philae!   #CometLanding   We live in an amazing time for #STEM and space exploration",22,26,Wed Nov 12 16:38:22 +0000 2014
"Landing on a comet. #rosettamission livecast http://t.co/S62U6B75Nx #CometLanding",4,5,Tue Nov 11 14:00:01 +0000 2014
"How to make a new solar system.  #ALMA observes a planetary system forming https://t.co/oEMmk2kLQV http://t.co/yp33j2LjYl",11,13,Thu Nov 06 18:52:15 +0000 2014
"RT @NASAedu: Take photos of #EarthRightNow from the unique perspective of space. Sign-up for #EarthKAM. https://t.co/dMfzp8Dq5q http://t.co…",182,0,Tue Nov 04 16:10:20 +0000 2014
"RT @BadAstronomer: Today, with our votes, we literally choose the future of humanity. http://t.co/qychRSiWNM #ScienceDenial #GlobalWarming",84,0,Tue Nov 04 16:08:30 +0000 2014
"Elon Musk says the point of Dragon capsule is to transport scientists and engineers to space.   Dragon doesn't need pilots.  #SpaceX",6,13,Fri Oct 24 18:11:25 +0000 2014
"At the 100 years of AeroAstro at #MIT celebration with Elon Musk #SpaceX A true meeting of the nerds. http://t.co/YWq7lsIUYI",7,7,Fri Oct 24 16:54:59 +0000 2014
"RT @NASASocial: Webcast from Mars Express control room #MarsComet #SidingSpring starts at 1:50pm ET today: http://t.co/OqY71EY7E1 http://t.…",77,0,Sun Oct 19 16:54:21 +0000 2014
"The NASA Science Fleet will be watching for #SidingSpring  as zips past Mars #JourneyToMars http://t.co/WsjY5q2LfK",51,40,Sun Oct 19 16:53:54 +0000 2014
"Counting down to comet #SidingSpring closest approach to Mars.  Check out http://t.co/pulkOnbL5u",3,5,Sun Oct 19 16:49:58 +0000 2014
"Congratulations to the ISRO MOM Team for a successful Mars Probe Arrival http://t.co/pDC4SVOVDy http://t.co/V5IhC7req0",19,17,Wed Sep 24 13:02:50 +0000 2014
