tweet,retweetsCount,favoritesCount,timestamp
"RT @ShuttleCDRKelly: Back at @NASA for the study they're doing on me &amp; my brother @StationCDRKelly. Read more: http://t.co/rJif6h0Uxm http:…",102,0,2014-12-04 03:20:45
"RT @StopBullyingGov: In his own words: Astronaut Scott Kelly @StationCDRKelly speaks on bullying http://t.co/2RkMwLmv2Y. #StopBullying365",55,0,2014-10-02 22:26:23
"RT @Astro_Wheels: Astronaut 'Selfie' with @astro_timpeake...photo-bombed by @StationCDRKelly...training with Scott Kelly &amp; @AstroTerry http…",62,0,2014-10-02 22:25:35
"RT @NASA: Our astronauts will fly on @Boeing CST-100 &amp; @SpaceX Dragon spacecraft to the #ISS. http://t.co/TQays3s3jH http://t.co/lJhNtArPJN",2483,0,2014-09-18 05:12:51
"RT @amikokauderer: #Spacewalk #Live &gt;&gt; MT: @NASA_Johnson: @OlegMKS opens Pirs hatch at 10:02aET to start today's #ISS #Exp40 #spacewalk htt…",3,0,2014-08-18 16:31:41
"RT @vr_doug: @StationCDRKelly, pilot of the Shuttle STS-103. @ VRLab preparing for his first One Year long mission to ISS in 2015! http://t…",13,0,2014-08-06 12:48:19
"RT @NASA_Astronauts: Rep. Pete Olson @olsonpressshop meets @StationCDRKelly - who is in training for a one-year stay on the #ISS http://t.c…",12,0,2014-08-06 12:47:11
"RT @IanZiering: My movie and high school bud Scott Kelly are out of this world! #sharknado2 @StationCDRKelly @NASA @SpaceGirlWendy http://t…",24,0,2014-07-31 06:45:17
"RT @Yanni: W #Cosmonaut #GennadyPadalka (Russia) &amp; #Astronaut @StationCDRKelly (USA) about to enter the Soyuz Space Module. http://t.co/Yh7…",32,0,2014-06-01 12:24:55
"RT @NASA_Johnson: #ISS #Exp39 crew @AstroRM, @Astro_Wakata &amp; Mikhail Tyurin back on Earth after 188 days in space, landing in Kazakhstan at…",79,0,2014-05-14 02:27:04
"RT @NASA: An amazing sunset! Watch a sunset or sunrise live in HD every 45 minutes from space: http://t.co/T48rNrAEyp  #ISS http://t.co/9PC…",1026,0,2014-05-10 03:26:40
"RT @NicoleAtNASA: TGIF! Sorry for so few tweets-just busy week! But 1 of the highlights @StationCDRKelly preps 4 T-38 flight! #jealous http…",10,0,2014-05-02 20:37:09
"RT @70mmDP: Great IMAX camera class with @StationCDRKelly this morning! Looking forward to seeing great images from him.",3,0,2014-04-30 01:46:16
"RT @SarahBrightman: Sarah with @StationCDRKelly at the Neutral Buoyancy Laboratory (astronaut training facility) - Johnson Space Center. ht…",44,0,2014-04-22 20:36:04
"RT @amikokauderer: Mockup MDM Spacewalkers #Swanny @AstroRM will replace Talked w Astro Chris Cassidy about it #SpaceStationLive #ISS http:…",7,0,2014-04-16 16:30:40
"RT @SarahBrightman: At Johnson's Space Center. Sharing my intro to the Soyuz mock up module w/ astronaut @StationCDRKelly. Pure happiness h…",121,0,2014-04-16 16:25:49
"RT @NASA: .@SpaceX launch scrubbed today due to #Falcon 9 first stage helium leak. Next opportunity is Friday at 3:25pm ET.   http://t.co/1…",423,0,2014-04-14 20:02:39
"RT @NASA: 1 on Earth, 1 in space! Astronaut twins to be separated at launch: https://t.co/xOr5wggAlz #NationalSiblingsDay  http://t.co/L7Sn…",372,0,2014-04-11 00:08:36
"RT @NASA_Johnson: Fri 8pm ET, @NASA and @NatGeoChannel broadcast live from #ISS w/ @AstroRM, @Astro_Wakata.    http://t.co/g7WO9nkoSg http:…",708,0,2014-03-14 22:54:33
"RT @ISS_Research: On @TODAYshow earlier, twin astronauts @StationCDRKelly @ShuttleCDRKelly talk @ISS_Research http://t.co/l5TJmIX98N",11,0,2014-03-07 15:38:48
"RT @TODAYshow: 'I probably should!'   - @StationCDRKelly on paying his bills before his long @NASA trip to space!",9,0,2014-03-07 15:38:35
"RT @sammi_kelly94: ISS compared to NFL field. LOL thought  ISS was bigger. Feeling sorry for my dad having to be there for 1 yr. http://t.c…",218,0,2014-02-02 22:06:49
"RT @amikokauderer: Congratulations @AstroRobonaut on your big win at the #Grammy's last night. You're starting to get your legs. #ISS http:…",38,0,2014-01-27 16:04:13
