tweet,retweetsCount,favoritesCount,timestamp
"RT @AuroraMAX_asc: TT @audrey19740719: #Aurores le 23 déc 2014(jour6) depuis #yellowknife #auroresboréales http://t.co/CugqZzKOVD",3,0,2014-12-26 16:24:19
"RT @AuroraMAX_asc: TT @audrey19740719: #Aurores le 23 déc 2014(jour6) depuis #yellowknife #auroresboréales http://t.co/2thPTgQyBh http://t.…",7,0,2014-12-26 16:24:16
"RT @futurasciences: Retour sur le catastrophique tsunami géant de décembre 2004 http://t.co/XgLvoBO7Qk #terre #géologie http://t.co/H9ubP71…",6,0,2014-12-26 16:23:33
"RT @Slatefr: La Terre a énormément changé en à peine 15 ans: regardez les GIF de la Nasa http://t.co/v7dreIjrRN http://t.co/YqYZ5M01fi",108,0,2014-12-26 16:21:58
"RT @EspacePourLaVie: Avez-vous déjà tenté de voir le mouvement des étoiles?  #Planetarium  #mtl  http://t.co/MSZmCcknwU http://t.co/hmJ7t0j…",3,0,2014-12-26 16:19:04
"RT @Astro_DavidS: Joyeux Noël! Pensons aux enfants aujourd'hui!",5,0,2014-12-26 07:18:36
"RT @Transports_gc: Le #PèreNoël a passé l’inspection requise avant de s’envoler et est prêt à décoller en toute #sécurité. http://t.co/UKsl…",46,0,2014-12-24 02:54:20
"RT @AuroraMAX_asc: GALERIE D'IMAGES • il y a quelque minutes... http://t.co/BJA6CqW0Yj http://t.co/jwC0MAbfYU",3,0,2014-12-24 02:52:58
"RT @AuroraMAX_asc: ALERTE AURORAMAX • En ce moment, une #aurore est visible au-dessus de #Yellowknife TNO http://t.co/BJA6CqW0Yj",1,0,2014-12-24 01:06:27
"RT @iciradiocanada: Un photographede Calgary a capté le passage d'un météore brillant dans le parc national de Banff. http://t.co/mH8OF7dz8A",8,0,2014-12-23 14:07:41
"RT @ParcsCanada: Bienvenue solstice d'hiver! Le @pnJasper célèbre l'envers des ténèbres. Regardez la nouvelle vidéo. #YouTube http://t.co/b…",1,0,2014-12-21 20:50:51
"RT @AuroraMAX_asc: http://t.co/GF7wQZGnzB",6,0,2014-12-21 17:52:32
"RT @AuroraMAX_asc: RAPPEL #auroreboréales MT @AuroraMAX_asc: TY TNO NU et du nord de CB AB SK MB ON QC TNL: soyez aux aguets le 19 déc! htt…",5,0,2014-12-19 21:56:25
