tweet,retweetsCount,favoritesCount,timestamp
"Orion over astro-grove;  Merry Christmas to all http://t.co/C3uluLNAy5",96,198,Thu Dec 25 00:12:11 +0000 2014
"Christmas in the grove; Pete's tree in red http://t.co/yLtH21fsKG",6,24,Tue Dec 23 21:41:07 +0000 2014
"Season's Greetings;  astro-grove at JSC http://t.co/nagId5IjCP",20,32,Tue Dec 23 21:00:43 +0000 2014
"Here is my Twitter background collage;  I have had some requests to tweet this http://t.co/vsYimkOXXg",42,88,Tue Dec 16 16:26:37 +0000 2014
"Here is another photo of the launch abort system from EFT-1 taken from the top of the stack before rollback http://t.co/ylr5Rkl2Vg",10,19,Fri Dec 12 15:19:10 +0000 2014
"Orion on the pad before launch; a view from the top of the escape system http://t.co/egB5zWEDU5",43,60,Thu Dec 11 18:57:21 +0000 2014
"Here is the launch seen in a window reflection where a TV also shows the Delta IV heavy http://t.co/24LdHIJ6UT",54,118,Thu Dec 11 00:24:54 +0000 2014
"I was at the EFT-1 launch last week.  Took a bunch of photos mostly B&amp;W; my favorite kind http://t.co/yHBZM870yf",89,170,Wed Dec 10 19:39:35 +0000 2014
"revamped my twitter page, new header photo: one of my star trail from ISS",23,68,Mon Nov 24 20:01:27 +0000 2014
"30 minutes until a new ISS Mail Bag with special @NASA_astronaut guest (filling in for @Astro_Mike).  Send us your #askInsideISS questions!",8,12,Wed May 14 14:36:07 +0000 2014
