tweet,retweetsCount,favoritesCount,timestamp
"“@PC0101: @astro_aggie @Astro_Ron Did you get dizzie when looking down?” Never dizzy - just an urge to hold tight! Did enjoy view!!",6,9,Wed Dec 31 06:27:56 +0000 2014
"@Astro_Ron @bkpub Yes - indeed! Because 'down' is towards Earth - very disturbing view looking down 240 mi at a blue/white globe moving 5mps",2,5,Wed Dec 31 06:19:42 +0000 2014
"@CassieLaBeau It was great to meet you in the airport in Dallas! Safe travels and best of luck in the year ahead!!",0,1,Tue Dec 30 00:54:07 +0000 2014
"@Fuzzaldrin Done!",0,1,Sun Dec 28 21:32:07 +0000 2014
"@MS_cheerTX Happy 40th Birthday! And #gigem !",0,1,Sun Dec 28 21:31:04 +0000 2014
"@paginaskinner Thank you, my lovely niece, Paige!",0,0,Sun Dec 21 03:06:36 +0000 2014
"@wgskinner Thanks, Ice!",0,1,Sun Dec 21 03:05:35 +0000 2014
"@rosemary_welch Thanks, Rosemary!",0,0,Fri Dec 19 18:07:20 +0000 2014
"RT @StationCDRKelly: #OneYearExp news conf in Paris, @Time cover story out today. Keep calm, it's about to get real http://t.co/hDv0Dsm63q …",318,0,Fri Dec 19 04:07:40 +0000 2014
"RT @NicoleAtNASA: A touching tradition....Astronaut Memorial Grove lit up for the holidays... http://t.co/xykepz9UMC",37,0,Fri Dec 19 04:06:26 +0000 2014
"RT @AstroTerry: watching #Orion launch with our crew from the #ISS- awesome!!! http://t.co/10o0bqob3o",1860,0,Fri Dec 05 18:06:52 +0000 2014
"Perfect EFT-1 mission! Cheering for #Orion !!",43,66,Fri Dec 05 17:04:06 +0000 2014
"@HSandbach If your suit is in contact, you can pick up some of the vibrations as sound. Thru soft goods, like gloves, faint. Helmet clear.",1,0,Fri Nov 28 16:56:00 +0000 2014
"@rlcassidy Thanks!",0,1,Fri Nov 28 16:51:10 +0000 2014
"@AstroSamantha Samantha - Great to share the launch with your family &amp; friends. And awesome to see you up there!! Welcome to space!!!",1,3,Tue Nov 25 02:50:00 +0000 2014
"RT @spasmunkey: @Astro_Cady @slbscifi @drmlb It is extremely hard to watch our friends ride rockets. Seeing their smiles is pretty wonderfu…",3,0,Mon Nov 24 06:18:55 +0000 2014
"Baikonur Cosmodrome. Managers, family &amp; friends waiting for hatch opening any moment! http://t.co/1BvHBGjE39",33,22,Mon Nov 24 04:33:09 +0000 2014
"@GTGrimey Greg Too much for tweet! No guarantees, but all have technical or medical backgrounds. Work hard, be the best you can be, believe!",1,1,Mon Nov 24 02:53:16 +0000 2014
"Capture confirmed!!",23,34,Mon Nov 24 02:50:18 +0000 2014
"“@pcombo: @astro_aggie @brandonheath Mike, When are you going back to the space station :D”  In my heart, I just launched! Reality less sure",2,10,Sun Nov 23 23:27:33 +0000 2014
"“@SandyMcMahan: @astro_aggie prayers going with them!!”  Thanks for prayers - all great!",0,4,Sun Nov 23 23:26:30 +0000 2014
"Nice launch view with @BrandonHeath in foreground! http://t.co/1Ih0C8DEcb",6,17,Sun Nov 23 23:22:37 +0000 2014
"Getting close to launch! Crew is strapped in and doing leak checks about now.",20,65,Sun Nov 23 19:45:44 +0000 2014
"Prime &amp; Backup Soyuz crews facing a sea of reporters after the State Commission. http://t.co/j2uV7S4Not",7,10,Sun Nov 23 04:31:19 +0000 2014
"@BrandonHeath - It is great sharing the adventure of a launch in Kazakhstan with you! http://t.co/GLHnwOU3Y1",0,5,Sun Nov 23 04:28:32 +0000 2014
"@TALsite No - I'm not scheduled for another flight now, but the dream of going back is definitely alive!",0,3,Thu Nov 20 16:22:58 +0000 2014
"Baikonur Cosmodrome. Our group has arrived to participate in launch activities. Everyone excited! http://t.co/ywA0nsXAIc",17,27,Thu Nov 20 11:14:43 +0000 2014
"GCTC/ЦПК, Star City, Russia. Behind the scenes in suit room. Everything ready for sim the next day! http://t.co/gPvhS3dDOV",13,25,Thu Nov 20 10:20:12 +0000 2014
"@HWY_STR The new EEC at @TAMU will house undergraduate engineering programs and will be the largest academic building on campus.",0,0,Sun Nov 16 16:20:09 +0000 2014
"It's a great weekend to be out on the trail with my @boyscouts ! http://t.co/7IsJFx32A8",8,20,Sun Nov 16 01:48:55 +0000 2014
"Proud to be part of groundbreaking for new #TAMU Engineering Education Center today! #gigem ! http://t.co/u50I2U4WCM",15,31,Sat Nov 15 05:56:40 +0000 2014
"Bonnie - Great to meet you, too! #Gigem !  “@bonniebee23: @astro_aggie It was nice to meet you! #gigem http://t.co/Y65jglbBvY”",2,5,Sat Nov 15 04:05:39 +0000 2014
"On the road to #AggieLand for groundbreaking for new Engineering Education Center. Come on out to north side of Zachry at 3pm!!   #gigem",1,6,Fri Nov 14 19:29:51 +0000 2014
