tweet,retweetsCount,favoritesCount,timestamp
"RT @CamillaSpace: Ran into @astro_kjell this morning as @astro_reid and @Astro_Alex were depressurizing the Airlock for their EVA http://t.…",4,0,Tue Oct 07 15:36:36 +0000 2014
"@astro_reid is outside! #EVA27 #Exp41 #ISS",3,12,Tue Oct 07 12:37:27 +0000 2014
"Spacesuits are going to battery power. #EVA27 #Exp41 #ISS",0,7,Tue Oct 07 12:31:39 +0000 2014
"Excited for @astro_reid and @Astro_Alex. #EVA27 about to begin! Watching from mission control.  #ISS #Exp41 http://t.co/GFdcTdap54",4,18,Tue Oct 07 12:29:14 +0000 2014
"It's International Literacy Day!  What are you reading? Today at work, I'm reading my EVA checklist!  #ILD2014 http://t.co/3unJRfx1pn",14,19,Mon Sep 08 17:09:52 +0000 2014
"RT @astro_reid: Hey @astro_kjell - thanks for the softball!! http://t.co/WWur75EGOG",76,0,Tue May 27 08:56:21 +0000 2014
"RT @astro_reid: Under 36 hours until liftoff. Actually super relaxed and calm. State commission and press conference this evening.",35,0,Tue May 27 08:53:58 +0000 2014
"RT @StationCDRKelly: T-340 @astro_kjell and I during our space toilet training today. Happy #EarthDay. #globalselfie #ISS365 http://t.co/mE…",31,0,Wed Apr 23 03:01:37 +0000 2014
"With @StationCDRKelly @Astro_Kimiya in the robotics simulator. Great view of Earth! #EarthDay #globalselfie #ISS365 http://t.co/l3MZ214UmN",8,14,Wed Apr 23 01:44:04 +0000 2014
"RT @StationCDRKelly: T-352 Completed my spacewalk final exam underwater. Here w @astro_kjell (rt) during our NBL run today. #ISS365 http://…",184,0,Thu Apr 10 22:28:59 +0000 2014
"RT @Intervidia: ESP @StationCDRKelly: T-352 Completé exam final caminata espacial bajo el agua.Con @astro_kjell (rt)en sesión NBL hoy http:…",8,0,Thu Apr 10 22:28:22 +0000 2014
"I don't always tweet, but when I do, it's usually because of something kind @hpforrest has tweeted!",2,12,Fri Jan 10 23:01:38 +0000 2014
"RT @hpforrest: @Astro_Clay @astro_reid @astro_kjell @astro_ricky @Astro_Jeremy @Astro_Wheels I miss out on a lot (cont) http://t.co/WzkjLPW…",2,0,Fri Jan 10 22:59:22 +0000 2014
