tweet,retweetsCount,favoritesCount,timestamp
"RT @ISS_Research: Here's the #3Dprinted ratchet wrench aboard @Space_Station that you can print, too! http://t.co/0hjQoHI2qD http://t.co/Wb…",1179,0,2014-12-28 16:07:50
"RT @thesundaytimes: Matt Rudd joins @astro_timpeake in a rocket ship and asks why on Earth he's going into orbit http://t.co/99Jgbt4Vx8 htt…",57,0,2014-12-28 14:39:34
"RT @AstroTerry: Getting ready for Christmas with @astrosamantha and #AstroButch http://t.co/mb9GgIuPqH",284,0,2014-12-24 22:32:57
"RT @astro_pi: Teachers - looking for help with #AstroPi? There will be a full set of @NtlSTEMCentre and @Raspberry_Pi ed resources: http://…",14,0,2014-12-14 16:43:31
"RT @AstroTerry: Celebrating our Astronaut Office Christmas party via video with #astrobutch and @AstroSamantha http://t.co/s5QYqXfEOX",685,0,2014-12-13 03:28:52
"RT @spacegovuk: Here's an interview with @astro_timpeake inviting #YOU to take part #Astro_Pi #YourCodeInSpace http://t.co/7X9r9LFXCi http:…",53,0,2014-12-10 13:22:47
"RT @ISS_Research: .@astro_timpeake Read about @esa's #electromagneticlevitator here: http://t.co/rFjQc0Cb1q cc: @Astro_Alex",35,0,2014-11-29 11:36:36
"RT @FrancandCo: It's great when kids,our future astronauts, can get involved in programs like this 🚀 @astro_timpeake @spacegovuk http://t.c…",10,0,2014-11-27 09:48:34
"RT @esa: Want to train like an astronaut? Schools &amp; groups: register for #missionx by 5 Dec #STEM http://t.co/uuolFsLY1L http://t.co/D29VCD…",74,0,2014-11-26 16:30:35
"RT @ISS_Research: Today IN SPACE: the first #3dprint was created by @NASA3DPrinter (a spare part for itself) http://t.co/oQYZ9MZbyB http://…",318,0,2014-11-25 21:57:42
"RT @ForcesNews: A former Apache pilot will become Britain's first astronaut to spend six months in space: http://t.co/SuXaBjHOwD http://t.c…",80,0,2014-11-25 19:36:06
"RT @DrPhiltill: Coolness! MT @ISS_Research: #AstroButch installed the 3-D Printer - coming soon, the 1st object 3-D printed in space! http:…",59,0,2014-11-24 23:16:40
"RT @NASA_Astronauts: 'How A Soyuz Launch Looks From ISS' #AstroButch http://t.co/ebRHuiFxmC",1139,0,2014-11-23 22:36:00
"RT @Astro_Wheels: The #Exp42 crew is ready to go! Their 'Zero-G Indicator' may look familiar, #Olaf from #Frozen riding to outer space. htt…",192,0,2014-11-23 20:18:29
"RT @esa: First views inside #Soyuz spacecraft @AstroSamantha @AntonAstrey can be seen getting paperwork in order #Futura42 http://t.co/gcBt…",336,0,2014-11-23 19:53:27
"RT @esaoperations: .@AstroSamantha set for #ISS. #Futura42 mission launches Sunday: http://t.co/9JnM236nrm http://t.co/IjmZR8KkbY",77,0,2014-11-21 12:52:56
"RT @spacegovuk: Touring @AirbusDS with @gregclarkmp and @astro_timpeake. Space sector hopes to hire 100,000 before 2030 #YourLife http://t.…",46,0,2014-11-17 13:18:08
"RT @ISS_Research: Here's your science reward: fluid physics #SpaceVine  https://t.co/BBrQflR84S",145,0,2014-11-16 20:52:17
"RT @ISS_Research: Fluids @ISS_Research can be applied to medical diagnostic equipment on Earth http://t.co/QuTj9mbMrF http://t.co/lkQnIgsnk3",50,0,2014-11-16 03:51:58
"RT @esascience: RT @ESA_Rosetta: GO/NOGO1 complete: I'm on the right trajectory to correctly deliver @Philae2014 http://t.co/x1oRk5wNBI",58,0,2014-11-11 19:29:40
"RT @ESAHSOeducation: Want one of these kits?  One even made it to the #ISS!  Send us your video, we send you a kit! http://t.co/OdjBumdNzp …",25,0,2014-11-10 20:04:28
"RT @BritishArmy: When you go home, tell them of us and say,   For your tomorrow, we gave our today. #RemberanceSunday #LestWeForget http://…",5059,0,2014-11-09 14:20:59
"RT @desolatemoon: I love this! But two questions... 1) When did #ISS get a @GoPro? 2) What will @astro_timpeake do with it?? http://t.co/Mo…",13,0,2014-11-07 21:40:44
"RT @spacegovuk: We're excited to pick up our @AeroSociety Award for Mission X: Train Like an Astronaut today @trainastronaut #missionx @ven…",16,0,2014-11-05 14:21:44
"RT @esascience: Happy Birthday Proba-2! Our #Sun watcher, Technology &amp; space weather mission is 5yrs in orbit http://t.co/BXws3ToAbm http:/…",59,0,2014-11-02 13:13:10
"RT @esa: 4 ESA astronauts training in Star City for #ISS missions: @astrosamantha @astro_andreas @astro_timpeake @Thom_astro https://t.co/l…",42,0,2014-10-29 12:17:16
