tweet,retweetsCount,favoritesCount,timestamp
"Александр Самокутяев, Антон Шкаплеров и Елена Серова с борта МКС поздравляют землян с наступающим Новым годом! http://t.co/Z0KVqVd8CS",35,23,Wed Dec 31 11:22:37 +0000 2014
"Руководитель Роскосмоса вручил сотрудникам ведомственные награды http://t.co/2aUR954OuC http://t.co/dj7iPznMm0",9,7,Tue Dec 30 15:48:01 +0000 2014
"Состоялось заседание Коллегии Федерального космического агентства http://t.co/kxqlwlJrIo",2,1,Tue Dec 30 15:44:03 +0000 2014
"Отделение космического аппарата «Астра-2Ж» от разгонного блока прошло штатно и в расчетное время. http://t.co/ykeYlt9nqX",30,17,Sun Dec 28 06:58:23 +0000 2014
"28.12.2014г в 00:37мск ракета-носитель «Протон-М» с космическим аппаратом «Астра-2Ж» стартовала с космодрома Байконур http://t.co/xECekrnlwq",58,36,Sat Dec 27 21:48:23 +0000 2014
"Осуществлён успешный пуск ракеты-носителя «Союз-2.1б» с космическим аппаратом «Ресурс-П» № 2 http://t.co/39moZTmmJk http://t.co/zodXZmjJ7L",69,32,Fri Dec 26 19:05:46 +0000 2014
"С космодрома Плесецк осуществлён успешный пуск ракеты-носителя «Союз-2.1б» http://t.co/PTLQUM4JJO",23,9,Thu Dec 25 09:14:09 +0000 2014
"На Байконуре осуществлён вывоз двух ракет на стартовые комплексы космодрома: http://t.co/rIleGgn9vC",13,9,Wed Dec 24 06:57:21 +0000 2014
"Видео первого пуска ракеты-носителя тяжелого класса «Ангара-А5» http://t.co/vGGnkn1G01",67,29,Tue Dec 23 09:40:18 +0000 2014
"23.12.2014 г. в 08:57 мск состоялся первый пуск испытательной ракеты-носителя 'Ангара-А5' тяжелого класса http://t.co/T8XbxZbNER",33,11,Tue Dec 23 06:30:01 +0000 2014
"Продолжается подготовка к запуску космического аппарата «Ресурс-П»№2. Запуск запланирован на 26.12.2014 г.:http://t.co/eowuwUHjlO",7,2,Mon Dec 22 13:57:08 +0000 2014
"We are glad to announce, that from today an English version of a web site is available in a test-mode by the link http://t.co/oiNuvzKHfL",155,127,Fri Dec 19 13:18:11 +0000 2014
"С сегодняшнего дня в тестовом режиме действует англоязычная версия сайта Роскосмоса по адресу http://t.co/oiNuvzKHfL",12,4,Fri Dec 19 13:18:01 +0000 2014
"Космические аппараты «О3Б» выведены на расчетную орбиту http://t.co/GxHGn33ALU http://t.co/QHrteYOIRo",32,16,Thu Dec 18 21:10:38 +0000 2014
"Состоялся пуск ракеты-носителя «Союз-СТ-Б» с космическими аппаратами «О3Б»: http://t.co/d3W86jhC5P http://t.co/U7etCXX8w6",45,14,Thu Dec 18 18:50:40 +0000 2014
"Состоялось заседание Межведомственной комиссии по отбору космонавтов: http://t.co/ii77CZ2TCy",4,2,Thu Dec 18 11:56:08 +0000 2014
"Кандидату в космонавты Анне Кикиной присвоена квалификация «космонавт-испытатель»: http://t.co/RyASrVsNKu http://t.co/f61qUp0apz",18,17,Wed Dec 17 14:47:18 +0000 2014
"Роскосмос и «Артек» договорились о сотрудничестве: http://t.co/ZS5VTKHZHC http://t.co/9rrj2aL7uy",13,6,Wed Dec 17 14:16:42 +0000 2014
"Совместная работа Елены Серовой и Саманты Кристофоретти в рамках эксперимента 'SPHERES':http://t.co/gdWxBoVTwG http://t.co/jkddlXFf6Z",36,31,Wed Dec 17 13:21:38 +0000 2014
"Состоялась пресс-конференция руководителя Роскосмоса по итогам работы в 2014 году: http://t.co/pCiJKs6W7j",6,3,Mon Dec 15 15:21:56 +0000 2014
"«Союз в ГКЦ»: состоялся вывоз ракеты-носителя «Союз-СТ» на стартовый комплекс http://t.co/OK9PMUM6Mo http://t.co/wnipXmTQEX",24,20,Mon Dec 15 13:38:24 +0000 2014
"Космический аппарат «Ямал-401» выведен на целевую орбиту http://t.co/vcC6PNdjgR",19,3,Mon Dec 15 10:48:00 +0000 2014
"Видео пуска ракеты-носителя «Протон-М» с телекоммуникационным космическим аппаратом «Ямал-401» http://t.co/G6TnsGQjJ2",39,22,Mon Dec 15 08:22:34 +0000 2014
"15 декабря 2014 года в 03:16 мск осуществлен пуск ракеты-носителя «Протон-М» с космическим аппаратом «Ямал-401»",37,9,Mon Dec 15 00:26:57 +0000 2014
"Государственная комиссия приняла решение о готовности РН «Протон-М» к заправке и пуску: http://t.co/R6aebEM6lZ http://t.co/QVOs6n8Mj1",50,29,Sun Dec 14 17:10:07 +0000 2014
"Вывоз ракеты космического назначения «Протон-М» с космическим аппаратом «Ямал-401» на стартовый комплекс:http://t.co/H8R2a2rugF",19,17,Fri Dec 12 10:47:03 +0000 2014
"На космодроме Байконур продолжается подготовка к запуску космического аппарата «Ресурс-П» № 2: http://t.co/tn1mYKgWEZ http://t.co/85QTHrICWW",29,17,Fri Dec 12 10:38:33 +0000 2014
"Космическое интервью Елены Серовой: http://t.co/40EmKUiP7g http://t.co/h27DOL59iX",40,32,Fri Dec 12 09:46:43 +0000 2014
"Ракету-носитель «Протон-М» с космическим аппаратом «Ямал-401» перевезли на заправочную станцию:http://t.co/6NlLlq1Co9 http://t.co/0Lfwqlt81D",49,26,Wed Dec 10 14:22:46 +0000 2014
"Космонавты поздравляют Героев Отечества http://t.co/2xVErqLrYO",10,11,Tue Dec 09 12:28:29 +0000 2014
"На Байконуре проведена сборка РКН «Протон-М» для запуска российского спутника связи «Ямал-401»:http://t.co/PXxRcduAmr http://t.co/3L4AXJYUGQ",18,14,Mon Dec 08 14:52:24 +0000 2014
"Подписано соглашение о дальнейшем развитии ГЛОНАСС: http://t.co/CzN78e8fPR",12,4,Fri Dec 05 17:33:38 +0000 2014
"На Байконуре завершается подготовка к запуску космического аппарата «Ямал-401»: http://t.co/JLOBb08mKm http://t.co/XwSD00hjQy",29,13,Thu Dec 04 14:36:15 +0000 2014
"RT @AntonAstrey: У меня в руках ёмкость с отсепарированной водой. Для чего она нужна? Читайте в моем блоге: http://t.co/hpBmWtnKBf http://t…",23,0,Thu Dec 04 12:07:39 +0000 2014
"В Гвианском космическом центре продолжается подготовка к пуску российской ракеты-носителя «Союз-СТ»: http://t.co/0IWWK4LuqR",33,9,Wed Dec 03 17:05:02 +0000 2014
