tweet,retweetsCount,favoritesCount,timestamp
"The Year in Space, 2014: New Beginnings, Continuing Discoveries http://t.co/GnEORdJgIV",19,31,Mon Dec 29 16:05:22 +0000 2014
"NASA JPL Gecko-Inspired Gripping Technology Performs Tests in Microgravity http://t.co/lWgcZHixhf",5,7,Sun Dec 28 15:58:38 +0000 2014
"“@spacechelle: Penguins at @Bellagio @foreman_mike @astro_aggie @Astro_Wheels  @Astro_Clay http://t.co/hVvKUrEfk9”Our favorite LV hotel!",4,8,Sat Dec 27 00:43:12 +0000 2014
"RT @NASA: This holiday season, look up &amp; see the @Space_Station. Get alerts to #SpotTheStation: http://t.co/Zef4T9Dwau #ISS http://t.co/AbI…",649,0,Sat Dec 27 00:09:20 +0000 2014
"@AnarchistDalek yes, 'Rommel' is an interesting nickname or 'call sign'",0,1,Tue Dec 23 16:38:00 +0000 2014
"The Space Review: What is Orion’s technological significance? http://t.co/oteWsyKUrY",3,4,Tue Dec 23 16:32:06 +0000 2014
"Former astronaut and good friend, Kent 'Rommel' Rominger, details what is required to send crews to Mars http://t.co/TWXVaguVoZ",3,3,Tue Dec 23 16:27:02 +0000 2014
"NASA’s Orion spacecraft returns home after historic EFT-1 mission -  http://t.co/zCzDpI9FSg",3,4,Sat Dec 20 19:04:37 +0000 2014
"‘A Great Moment’: Rover Finds Clue That Mars May Harbor Life  http://t.co/q4XilK29LV",1,0,Wed Dec 17 15:41:09 +0000 2014
"At @FleetwoodMac concert. @StevieNicks is telling the crowd to 'never give up on your dreams.' I couldn't agree more! #GoodAdvice #DreamBig!",3,10,Tue Dec 16 03:44:24 +0000 2014
"@haleyjayne98 US astronauts must: be US citizens 58.5' to 76' tall, have technical degree + 3 yrs experience and pass FAA physical #GoodLuck",0,1,Mon Dec 15 18:28:59 +0000 2014
"“@Astro_Wheels: #GoArmyBeatNavy #ArmyNavyGame RT: “@fortleonardwood: Go Army, Beat Navy! https://t.co/k0zSgS9kqH #ArmyNavyGame”Good game!",2,2,Sat Dec 13 23:18:07 +0000 2014
"RT @Astro_Wheels: I can't risk those odds, Mikey!  Would rather strap into a rocket!  @foreman_mike #ArmyNavyGame 🇺🇸 http://t.co/8Ej3uFtA6O…",1,0,Sat Dec 13 21:07:42 +0000 2014
"“@KelleyApril: @foreman_mike Go Army!! ;-P http://t.co/iYvHqtx7Wt” I will still spot you 2 touchdowns--is it a bet? #GoNavyBeatArmy",0,2,Sat Dec 13 20:30:19 +0000 2014
"“@LeslieAnneWade: Here is @NickFaldo006 with the guy who started it all for him @jacknicklaus for http://t.co/gv9NUd01e8” 2 of my favorites🚀",0,3,Sat Dec 13 14:32:08 +0000 2014
"“@Astro_Wheels: Baltimore.MRT: @LegaciesAlive: FINISH THE HIKE #ArmyNavyGame 🇺🇸 http://t.co/boDa4GC7mV http://t.co/9IwxrLVrrF” Spot u 2 TDs!",0,9,Sat Dec 13 14:29:01 +0000 2014
"Tested, tempered, triumphant – Orion begins the long journey home -  http://t.co/8vaPLm90BU",4,3,Fri Dec 12 16:12:15 +0000 2014
"Super Guppy Spends a Restful Night in the NASA Langley Hangar | NASA http://t.co/BJAcnc92f7",3,4,Fri Dec 12 15:42:03 +0000 2014
"Let's get excited about #Orion all over again! 'It's All About That Space' brought to you by @NASAJSCStudents.  https://t.co/jwk3D0YF5G",28,53,Thu Dec 11 23:11:15 +0000 2014
"Construction of CST-100 Space Taxi Can Begin as NASA and Boeing Approve Vehicle Design Milestones @Boeing #CST100 http://t.co/c5nC9yICTW",4,4,Thu Dec 11 15:37:28 +0000 2014
