tweet,retweetsCount,favoritesCount,timestamp
"@LiNa8294 cool!",0,1,Wed Dec 31 13:55:16 +0000 2014
"@ESA_CAVES January 11 :) long long holidays!",0,2,Thu Dec 25 21:38:39 +0000 2014
"@ESA_CAVES Merry Christmas! Good luck, be Happy! http://t.co/O54QGRYZh2",0,2,Thu Dec 25 20:31:40 +0000 2014
"@AndreyEfremovN @VRSoloviev точно, главное не перепутать!",0,0,Tue Dec 23 16:10:49 +0000 2014
"Первый пуск РКН #Ангара-А5 тяжелого класса. First lounch pf new Russian havy rocket #Angara-A5. http://t.co/WKG2ipOAWF",0,3,Tue Dec 23 15:02:55 +0000 2014
"@electronic1957 Hello! It's a bad luck to give autograph befor flight. Sorry :)",0,0,Sun Dec 14 18:04:32 +0000 2014
"Самолёт-лаборатория ИЛ-76. Тренировки на невесомость. Flying laboratory for Zero-G training! http://t.co/XKiSPnuFCq",13,14,Tue Oct 14 08:00:55 +0000 2014
"RT @NASAhistory: #HappyBirthday John Young, longest serving astronaut @NASA! Commanded Gemini, Apollo, Shuttle http://t.co/y2XeFW9VDT http:…",415,0,Mon Sep 29 09:43:24 +0000 2014
"Тренировки по типовым операциям выхода в открытый космос в гидролаборатории #ЦПК http://t.co/MZpTw7sXr1",4,2,Thu Sep 18 17:51:40 +0000 2014
"EVA training on standard operations in HydroLab successfully finished. http://t.co/jWjLBXpzCg",1,3,Thu Sep 18 17:49:33 +0000 2014
"@ESA_CAVES @GNU_Ninja I confirm!",0,2,Mon Sep 08 21:22:18 +0000 2014
"@ESA_CAVES welcome :)",0,1,Mon Sep 08 05:40:19 +0000 2014
"@ESA_CAVES good luck!",0,1,Mon Sep 08 05:37:51 +0000 2014
"Final jump for today. //  Крайний прыжок на сегодня. http://t.co/b4vD049yLS",3,7,Fri Aug 08 11:27:52 +0000 2014
"@astro_timpeake you're right! :) thenk you! Say hello to your family!",0,2,Thu Aug 07 16:55:55 +0000 2014
"@Alfie_Sprolly @astro_timpeake answer is (translation from recoder): 1L_ 8G_2T_7V_3D etc.",0,0,Thu Aug 07 15:10:53 +0000 2014
"@Danilon62 @astro_timpeake you need to call ascending on red and descending on black. By rotation :)",1,2,Thu Aug 07 15:06:39 +0000 2014
"@Yorkie71 @astro_timpeake before jump it is covered, you can't see the task!",0,0,Thu Aug 07 14:55:04 +0000 2014
"I have to solve this task during the jump. // Во время прыжков необходимо решать вот такие задачки. http://t.co/9POyhWtaCi",9,8,Thu Aug 07 10:28:33 +0000 2014
"@ESA_CAVES 3000 meters height! Fall down!",0,1,Wed Aug 06 11:20:00 +0000 2014
"Preparation for next jump. @ESA_CAVES do you recognise t-short? ;) http://t.co/nQeL7cmr0A",3,8,Wed Aug 06 10:40:01 +0000 2014
"@ESA_CAVES :) with pleasure!",0,1,Tue Aug 05 02:00:21 +0000 2014
"@LiNa8294 Thank you!",0,1,Mon Aug 04 17:53:18 +0000 2014
"СППК - специальная парашютная подготовка космонавтов. Следующие 3 недели будем тренироваться в Мензелинске. http://t.co/dHxtJPhUz7",0,1,Mon Aug 04 15:24:27 +0000 2014
"Arrived to Menzelinsk. Next 3 week it will be our home. Special parachute training for cosmonauts. http://t.co/yosbckevDs",1,2,Mon Aug 04 15:23:05 +0000 2014
"@ESA_CAVES all the familiar faces :)",1,2,Mon Aug 04 15:18:00 +0000 2014
"@ESA_CAVES so many people for one rope!",0,2,Sun Jul 20 11:10:19 +0000 2014
"RT @ESA_CAVES: Leaving on the edge - cave pits http://t.co/SA6jpsW0j1",18,0,Sun Jul 20 11:09:05 +0000 2014
"@fratria даааа. Сон как рукой сняло!!!",0,0,Tue Jul 08 20:27:15 +0000 2014
"@Astro_DavidS надо бы поаккуратнее с такими утренними пробежками, тебе же ещё в космос лететь ;)",0,1,Thu Jul 03 11:21:19 +0000 2014
"@ESA_CAVES @ESA_CAVES No, it seems I've missed this. Congratulations Chesko! @Cescosauro",0,1,Wed Jul 02 20:12:13 +0000 2014
"@ESA_CAVES :))))) COOOL!",0,1,Wed Jul 02 20:04:18 +0000 2014
"@ESA_CAVES hope soon! I like both pics, can't select;)",0,1,Wed Jul 02 20:02:50 +0000 2014
"photo from #ISS RT @OlegMKS 50th anniversary of the Russian Children's Center 'Orlyonok' #ISS http://t.co/mSdztZajzJ",5,7,Wed Jul 02 18:56:35 +0000 2014
