tweet,retweetsCount,favoritesCount,timestamp
"Чудесные, красивые, особенные космические леди #ЕленаСерова и @AstroSamantha http://t.co/ldMXNAPKHf",68,100,Sun Mar 08 08:43:00 +0000 2015
"Wonderful, beautiful, special cosmic ladies #ElenaSerova and @AstroSamantha http://t.co/pbwEf1veHN",133,201,Sun Mar 08 08:41:14 +0000 2015
"Dear #ElenaSerova,@AstroSamantha and all the women of the world,congratulations on March 8 –international women’s day http://t.co/dwafDvXgsE",481,612,Sun Mar 08 08:36:45 +0000 2015
"Поздравляю Елену Серову, @AstroSamantha и всех женщин на Земле с 8 марта - счастья, красоты и прекрасного настроения! http://t.co/YyzRwFPe66",91,80,Sun Mar 08 08:32:41 +0000 2015
"#Moscow The most beautiful view of the Russian capital from the #space http://t.co/hKPdynjZU8",102,180,Fri Mar 06 15:19:59 +0000 2015
"#Москва Лучший вид на столицу нашей Родины открывается именно из космоса http://t.co/Q14mAyhMsT",136,131,Fri Mar 06 15:03:22 +0000 2015
"Flying above @AstroSamantha house. #Italy from the height of the #ISS http://t.co/OqrkOOet0s",81,138,Thu Mar 05 14:50:04 +0000 2015
"Пролетаем над домом @AstroSamantha #Италия с борта #МКС http://t.co/r50tenvlH3",26,64,Thu Mar 05 14:43:38 +0000 2015
"Вместе с @AstroSamantha помогали @AstroTerry и #AstroButch подготовиться к выходу в открытый космос http://t.co/f0u6txaExU",40,95,Sat Feb 21 16:25:47 +0000 2015
"@AstroSamantha &amp; me were assist to suit up @AstroTerry &amp; #AstroButch before their more than six-hour spacewalk http://t.co/3mGTbLSSly",337,776,Sat Feb 21 16:10:51 +0000 2015
"Перед выходом обязательно нужно пройти десатурацию - дышать чистым кислородом для выведение из организма азота http://t.co/GULqiwXlEW",32,65,Sat Feb 21 15:48:10 +0000 2015
"The desaturation procedure - @AstroTerry &amp; #AstroButch breathe pure oxygen to remove nitrogen from bodies http://t.co/WhP3AsvHiL",63,130,Sat Feb 21 15:45:25 +0000 2015
"While @AstroTerry &amp; #AstroButch are outside the #ISS, I share pictures of preparation http://t.co/r029C1hnGu",59,120,Sat Feb 21 15:34:19 +0000 2015
"Пока ждем @AstroTerry и Барри с «прогулки» в открытом космосе, публикую несколько фото подготовки! #космоселфи http://t.co/4IAc881Ewf",32,82,Sat Feb 21 15:22:18 +0000 2015
"South #Pacific #Ocean from the height of the #ISS. The two main islands of #Samoa are #Upolu and #Savaii http://t.co/yeHJj6XoXu",57,107,Tue Feb 17 08:32:52 +0000 2015
"Южная часть Тихого океана c высоты #МКС. Самые крупные острова государства #Самоа - #Савайи и #Уполу http://t.co/ppw0hOmycV",16,37,Tue Feb 17 08:32:03 +0000 2015
"Cape Cod (#USA) is the place of residence of my first American workmate Daniel Burbank http://t.co/0UFEuOu9vt",72,147,Sun Feb 15 15:22:24 +0000 2015
"Место жительство моего первого американского напарника Дена Бёрбенка – Кейп-Код, США. http://t.co/TZPEPZlwWF",24,53,Sun Feb 15 15:20:44 +0000 2015
"Полёт 'космического Дракона' http://t.co/ElhFgsNy2V",30,56,Tue Feb 10 20:53:43 +0000 2015
"The 'Space Dragon's' flight http://t.co/lNX46GYcGH",213,356,Tue Feb 10 20:52:29 +0000 2015
"Two cargo ships: Russian and US http://t.co/PyrfXwxZ1x",175,231,Tue Feb 10 20:17:31 +0000 2015
"Два космических грузовика: российский и американский http://t.co/bg0xk873Qv",49,71,Tue Feb 10 20:12:46 +0000 2015
"The Dragon is getting ready for undocking by the Canadarm http://t.co/oUhGXQZXFv",22,80,Tue Feb 10 20:06:21 +0000 2015
"Манипулятор отпускает Dragon в обратный полет http://t.co/g2ZBegrfAf",24,42,Tue Feb 10 20:00:40 +0000 2015
"Сегодня Dragon возвращается на Землю. @AstroSamantha и Буч у дублирующей рабочей станции по управлению манипулятором http://t.co/a1J83zuixX",23,53,Tue Feb 10 19:38:25 +0000 2015
"@AstroSamantha и Буч у дублирующей рабочей станции по управлению канадским манипулятором.Dragon возвращается на Землю http://t.co/8DIRYzIg5T",20,40,Tue Feb 10 19:34:26 +0000 2015
"Мое первое видео с МКС// My first video from the ISS: http://t.co/3deWo5dfaU",46,72,Tue Feb 10 08:41:11 +0000 2015
"The #ISS over the Republic of #Mali, #Африка More pictyres in my Instagram account: http://t.co/4fzB4bOIiQ http://t.co/k87s4Blgeq",28,75,Mon Feb 09 12:44:57 +0000 2015
"Пролетаем над Республикой #Мали. #Африка #МКС Больше моих фотографий можно найти здесь: http://t.co/4fzB4bOIiQ http://t.co/9CY6TlbPFp",13,33,Mon Feb 09 12:43:28 +0000 2015
"The white dots in the blue water are a group of South Atlantic icebergs http://t.co/HPmk0W6qNi",91,142,Mon Feb 09 10:10:08 +0000 2015
"Видите белые точки? Так с высоты #МКС выглядит группа айсбергов на юге Атлантического океана http://t.co/8KJceDa677",36,42,Mon Feb 09 10:09:32 +0000 2015
"#Budapest often called the Pearl of the Danube. It's one of the world's most beautiful cities... even from space! http://t.co/YDo1Z3cUES",198,271,Wed Feb 04 21:58:17 +0000 2015
"Столицу Венгрии не зря называют 'жемчужиной Дуная'. #Будапешт -удивительно красивый город, это видно даже из космоса! http://t.co/kUJyF2onVp",29,61,Wed Feb 04 21:51:32 +0000 2015
"Для моей старшей дочери Кристины – студентки РГУ нефти и газа им. И.М. Губкина http://t.co/BZ5KDKHbc5",15,48,Mon Feb 02 13:42:25 +0000 2015
"It looks like I am a ghostbuster, but I am just working on scientific experiment 'Ecosphere' http://t.co/qLlnjR7R4y",109,253,Mon Feb 02 12:55:23 +0000 2015
"Может показаться, что я охочусь за привидениями, но нет - выполняю эксперимент Экосфера http://t.co/CZMhHzggs0",25,55,Mon Feb 02 12:53:59 +0000 2015
"Город Санкт-Петербург, но находится он не в России, а во Флориде, США // City of St. Petersburg, #Florida #USA http://t.co/Z1z0UZjcnB",59,87,Fri Jan 30 13:25:48 +0000 2015
"Как и обещал ребятам из детского центра #Орленок (лагерь Штормовой), открытку и гюйс взял с собой! http://t.co/k1qowFgeGC",25,52,Fri Jan 30 12:09:13 +0000 2015
"The ISS over Mauritania. Eye of the Sahara (The Richat Structure) is easy to see even from the space. http://t.co/cpxZU6VrmW",126,221,Tue Jan 27 12:17:14 +0000 2015
"Пролетаем над Мавританией. Глаз Сахары (структура Ришат) прекрасно виден из космоса http://t.co/2n8VsbUqp8",48,75,Tue Jan 27 11:16:32 +0000 2015
"View from a window of my cabin. That is my first #sunrise from today http://t.co/nfzjZVTqWR",346,549,Tue Jan 27 09:22:04 +0000 2015
"Вид из иллюминатора моей каюты. Первый рассвет за сегодняшний день http://t.co/2SaDohtXO0",86,80,Tue Jan 27 09:18:12 +0000 2015
"Amazing night view of #Mecca and #Medina from the #ISS http://t.co/gw4rxu73fq",6631,3443,Mon Jan 26 15:23:45 +0000 2015
"Удалось сфотографировать Мекку и Медину ночью. Удивительно красиво! #МКС #Мекка #Медина http://t.co/bBfFCPm9P2",84,85,Mon Jan 26 15:21:18 +0000 2015
"I am installing a new remote control for the Russian treadmill. http://t.co/pRPjQA1HHN",39,105,Wed Jan 21 15:12:08 +0000 2015
"Устанавливаю новый пульт управления для российской беговой дорожки. http://t.co/fBWEWFWcTc",21,30,Wed Jan 21 15:09:45 +0000 2015
"There is an example of area behind the panel in the Russian segment of the ISS. http://t.co/npdBTYeqTn",40,95,Wed Jan 21 15:08:01 +0000 2015
"Пример запанельного пространства в служебном модуле российского сегмента. http://t.co/u3E35BnlLw",17,29,Wed Jan 21 15:07:38 +0000 2015
"#Озеро Чад в центральной Африке // #Lake #Chad in central #Africa http://t.co/jTQLxSBMuE",40,97,Mon Jan 19 16:00:06 +0000 2015
"Вид на Землю через визир. Этот прибор может использоваться в нештатных ситуациях для управления станцией. http://t.co/eRmJAL8fhS",72,97,Mon Jan 19 14:52:21 +0000 2015
"View of the Earth from the optical sight. This device could be used in off-nominal situation to control the station. http://t.co/4MRUsjB1sD",407,375,Mon Jan 19 14:50:16 +0000 2015
"Над Европой сплошная облачность, принесшая обильные снегопады/Cloudiness above Europe, it brought powerful snowstorms http://t.co/HBcOC0zPuE",69,124,Tue Jan 13 15:27:17 +0000 2015
