tweet,retweetsCount,favoritesCount,timestamp
"RT @FLOTUS: RT if you agree: Every kid should be able to enjoy America's great outdoors → http://t.co/uyaHiQvsgP #FindYourPark http://t.co/…",698,0,2015-04-03 03:59:52
"RT @ColPTs: Great @NASA_Johnson - Fort Collins Connection race story http://t.co/Ekm1nH4zbb  With @timothywflynn @Astro_Suni @AstroDot",2,0,2015-04-03 03:59:04
"RT @NASAhistory: #Now in 1982, STS-3 completes 1st and only Shuttle landing at White Sands http://t.co/N0Nf0Cab7k http://t.co/sgLpBmnQbF",96,0,2015-03-30 16:07:09
"RT @FLOTUS: Hey @GirlTrek: #GimmeFive heart-pumping walks in your neighborhood over the next month, and pass on the challenge! #GirlTrek",179,0,2015-03-30 16:07:09
"RT @NASASocial: It's #MuseumWeek! You can @VisitNASA: http://t.co/rV4aj1oZjh or find space in your backyard: http://t.co/Ei79J593sL http://…",16,0,2015-03-30 14:39:00
"RT @AstroIronMike: In Kazakhstan with @StationCDRKelly at press conference. Launch in 31 hours!  #StationCDRKelly http://t.co/br3hX20Pxh",63,0,2015-03-27 03:32:47
"RT @museumofflight: @AndyCaldwell_2 @AstroDot It is a statue of astronaut Michael P. Anderson at The Museum of Flight.",1,0,2015-03-26 06:41:52
"RT @ISS_CASIS: Get the inside scoop on the science to be completed during the #YearInSpace mission with this informative video: https://t.c…",15,0,2015-03-25 14:49:24
"RT @NSF: 146 new #engineering early career researchers announced. See the new @NSF_ENG class of 2015: http://t.co/OpopXRWx9a http://t.co/Jg…",23,0,2015-03-25 14:42:02
"RT @SallyRideSci: Women's History Month: don't only study what women have done in the past, teach girls about what they can do now! http://…",10,0,2015-03-21 20:51:07
"RT @Space_Station: 1 week from his launch for a #YearInSpace, @StationCDRKelly relaxes in Kazakhstan. More pics: http://t.co/nYgYciP6Es htt…",214,0,2015-03-21 20:42:27
"RT @AstroSamantha: Took a peak out the window between experiments! More  #SolarEclipse pics here: https://t.co/HCZCZvLDnF http://t.co/wpS5K…",1412,0,2015-03-20 22:11:01
"RT @krmiller28: @AstroDot Please RT?? My son won a partial scholarship for Space Camp. He's looking for sponsors to help. http://t.co/fZEjQ…",1,0,2015-03-20 22:10:36
"RT @NASA_Astronauts: .@astro_reid meets Heather at #SXSW whose daughter's life was saved by technology tested on the #ISS. @ISS_Research ht…",102,0,2015-03-16 19:37:00
"RT @AnoushehAnsari: Hubble telescope celebrates 25 years of stunning snaps of the Universe http://t.co/FuIdc0Sglw",6,0,2015-03-15 13:07:46
"RT @Space_Lectures: #HAPPYBIRTHDAY 😃 Moonwalker #AlanBean 82 Today! Space missions: Apollo 12, Skylab 3 http://t.co/SXMUup8pOL",42,0,2015-03-15 13:06:56
"RT @MAKERSwomen: 50 years of women in space: http://t.co/2X6epmUYhM #MAKERS #starstruck http://t.co/nnYbIUJuRw",62,0,2015-03-14 03:42:22
"RT @NASA_Astronauts: NASA astronaut Butch Wilmore returns to Houston after a 167 days on @Space_Station. Welcome back #AstroButch! http://t…",615,0,2015-03-14 03:40:29
"RT @nasahqphoto: Expedition 43 @StationCDRKelly is seen inside a Soyuz simulator #Exp43 #YearInSpace https://t.co/fkmttEgpx3 http://t.co/4o…",66,0,2015-03-07 16:32:16
"RT @AstroTerry: Full #moon setting over Hokkaido and Vladivostok. https://t.co/Z9U4q7mIzM",3628,0,2015-03-07 06:10:43
"RT @LynnSherr: Thrilled  @NASApeople honoring #sallyride +all #WomenatNASA  #WomeninSTEM #WomensHistoryMonth #space #NASA @WomenNASA http:/…",7,0,2015-03-07 06:10:08
"RT @SallyRideSci: #STEM education in #Wyoming is receiving tremendous support from energy companies: http://t.co/UveOkeSdCq",3,0,2015-03-07 06:05:55
"RT @NASAhistory: #HappyBirthday to astronaut Bob Curbeam, seen “upside down” working outside #ISS http://t.co/1SFclqtIau http://t.co/6CT3et…",35,0,2015-03-07 06:03:42
