tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroTerry: The very last sliver of sun during a “high beta” #sunset. http://t.co/p3EHUGIIZF",744,0,2015-04-04 15:50:06
"RT @esa: First bite out of the Moon! Watch the #lunareclipse live: http://t.co/hoe5tfYfJf or here: http://t.co/hvr8DBrco9 http://t.co/ZoYe4…",429,0,2015-04-04 10:30:11
"RT @AntonAstrey: #Lake #Balkhash is one of the largest continental lakes in the world. #Kazakhstan #ISS http://t.co/42KMhYWLKX",189,0,2015-04-03 09:03:06
"RT @Avamposto42: La scienza di #FUTURA è in onda su #SoundCloud ! Qui abbiamo parlato con @zambo57 dell'esp. #DrainBrain: https://t.co/d5cV…",43,0,2015-04-02 13:39:45
"RT @astro_timpeake: You know things are starting to get serious when your face appears on a poster :) http://t.co/yW5BO09Yt2",200,0,2015-04-02 07:39:56
"RT @ESA_Tech: #HelloEarth ! Starting now, @ESA_Tech will keep you posted on #ESA's latest #SpaceTech news. Stay tuned. #ESATech http://t.co…",93,0,2015-04-01 11:27:35
"RT @esaoperations: High-res here: https://t.co/xZ99qkTFdz RT @AstroSamantha: A closer look... #Maysak http://t.co/QmEHWLy4Oq",832,0,2015-04-01 08:17:23
"RT @AstroTerry: Our #Exp43 crew had a great chance to 'target' some Martian rocks for sampling by the #Opportunity rover. http://t.co/sInlR…",192,0,2015-04-01 07:31:57
"RT @Avamposto42: Grassi 'buoni'? Esistono eccome... e non solo sulla Terra! @AstroSamantha ci spiega in quali cibi trovarli: https://t.co/P…",99,0,2015-03-31 16:14:00
"RT @Outpost_42: Healthy fats? Yes, they exist... and not only on Earth! @AstroSamantha explains their importance in #spacefood: https://t.c…",86,0,2015-03-31 16:13:48
"RT @AstroTerry: Emergency training today with the full 6 person Expedition 43 crew. http://t.co/3zZFMnDqUH",319,0,2015-03-31 10:22:44
"RT @elakdawalla: Your daily dose of awe: Human-built wheels on an alien planet. Holes testify to miles traveled. Wheels still roll. http://…",921,0,2015-03-29 16:35:29
"RT @giorgialupi: I'll be presenting @Friends_InSpace today at the @nysci ! http://t.co/UJl1Ilo7AE #Futura42 @AstroSamantha http://t.co/NspR…",69,0,2015-03-28 13:09:35
"RT @earthhour: It's not about which country you're from, it's about what planet we're from. Join us for #EarthHour! 28th March, 8.30pm.",359,493,2015-03-28 12:53:54
"RT @Avamposto42: Come addomesticare il vostro esperimento spaziale: una storia dal lab. spaziale Columbus :-) http://t.co/P1BiH2bPLn http:/…",64,0,2015-03-27 11:12:51
"RT @AstroTerry: A small taste of what it's like 'outside'. Anything not tethered will float away! #spacewalk #SpaceVine https://t.co/K3E3Or…",1706,0,2015-03-25 16:21:28
"RT @AstroTerry: Another haircut day for @AstroSamantha. Maybe I'll have a second career after astronaut! #spacevine https://t.co/tK903J1672",552,0,2015-03-23 15:39:23
"RT @AstroTerry: What a beautiful view at night! http://t.co/o4uQWoBUZm",1810,0,2015-03-23 11:17:26
"RT @AstroTerry: As night deepens, reds and greens give way to blues which cameras can’t quite capture. #Sunsets are for the human eye http:…",2955,0,2015-03-22 12:25:39
"RT @astro_kjell: Handover conference w/ @Astro_Kimiya @AstroTerry @AstroSamantha Great chat about #LifeInSpace http://t.co/gQptEgeccA",128,0,2015-03-22 02:57:18
"RT @troydeselms: '@Way_Things_Work: The Way ISS (International Space Station ) Was Constructed !! http://t.co/iMANVMqCgy' @AstroSamantha",409,0,2015-03-21 19:13:38
"RT @AstroTerry: Fishing boats off the coast of #Japan. You can see #Osaka and #Nagoya. #spacevine https://t.co/AvXXq1GRF5",433,0,2015-03-21 11:17:55
"RT @Paxi_ESAKids: Getting ready for a very special event tomorrow! #SolarEclipse http://t.co/Frp8Tz5oHP http://t.co/G2WhGtJVUd",924,1312,2015-03-19 13:16:47
"RT @Astro_Wheels: Поздравляю, Алексеи Архипович Леонов! 50 years ago today; the first #spacewalk; March 18, 1965 http://t.co/V1ftY2jROw htt…",261,0,2015-03-18 15:20:44
"RT @AstroTerry: A (mostly) sunny spring day in Italy, from the north down to #Sicily. http://t.co/x7Px36E8hA",1301,0,2015-03-16 13:29:05
"RT @SkyTG24: Sky TG24, @AstroSamantha e @astro_paolo insieme nella 1a twittintervista Terra-spazio. Partecipate con #SkyTG24Astro https://t…",169,0,2015-03-13 16:29:20
"RT @AstroTerry: A close up view of our #moon setting behind clouds. #SpaceVine https://t.co/2EZpNpSpkC",927,0,2015-03-12 14:42:52
"RT @Outpost_42: The #ISS is ready to say goodbye to 3 of its residents. Here how to follow their return: http://t.co/ruHLPqYW1Y http://t.co…",112,0,2015-03-11 15:13:46
"RT @NASA_Astronauts: “#Empty Soyuz spacecraft waiting to take me back to Earth tomorrow.” -#AstroButch http://t.co/1PScfHMZkO",157,358,2015-03-11 15:05:17
"RT @Space_Station: #AstroButch hands @Space_Station command to @AstroTerry today during ceremony. #Soyuz trio undocks Weds at 6:44pm ET. ht…",444,0,2015-03-10 15:39:47
"RT @AstroTerry: Ripples of clouds over the freezing North Atlantic. http://t.co/FeLhPOY1NR",356,0,2015-03-10 14:05:55
"RT @esaoperations: Testing @AstroSamantha &amp; @AstroTerry's lung health in #ISS airlock for @ISS_Research http://t.co/PiU60RmmVC http://t.co/…",168,0,2015-03-09 18:06:05
"RT @ISS_Research: .@AstroSamantha and @AstroTerry are examining their eyes for ocular health http://t.co/jXrV5p2XgY",57,0,2015-03-09 14:06:25
"RT @Space_Station: .@AstroSamantha tests airways, #AstroButch preps to leave &amp; @StationCDRKelly preps for launch. http://t.co/vOUPBax8TN ht…",138,0,2015-03-07 16:11:43
"RT @Avamposto42: La scienza di #Futura42: l'esp. @ASI_spazio #DrainBrain raccontato da chi lo segue da Terra. http://t.co/TOkysQCwL9 http:/…",84,0,2015-03-06 16:58:35
"RT @AstroTerry: A tale of two cities. #London #Paris http://t.co/fqn6vMEgl9",1531,0,2015-03-05 19:15:28
"RT @amoroso: Stunning and eerie space view: Aurora Australis http://t.co/io2iBG95k7 #ISS",168,0,2015-03-04 17:21:25
"RT @Avamposto42: Esp. #ProK... ossa nello spazio e spazio alle ossa! Come una giusta nutrizione le può aiutare? http://t.co/wMxBTCp2Pi http…",106,0,2015-03-04 12:21:28
"RT @AstroTerry: Celebrating 'flight day 100' with @AstroSamantha and @AntonAstrey http://t.co/IxWfckCKe5",493,0,2015-03-03 15:20:53
"RT @Avamposto42: Allevare piante per aiutare la vita sulla #ISS...ma come si farà mai? Ce lo spiega @ASI_spazio http://t.co/jbk88usMNf http…",61,0,2015-03-02 14:40:59
"RT @Paxi_ESAKids: Hitchhiking to space! RT @esa: We're offering #CubeSats a ride to asteroids in deep space. http://t.co/erCo8yGdBy http://…",63,0,2015-03-02 13:04:12
"RT @NASA_Astronauts: “Stunning colors as we cross the #SaharaDesert. The inspiration of #EarthArt.” #AstroButch http://t.co/yItZudmHuz",665,1066,2015-02-28 15:36:04
"RT @AstroTerry: Shades of light! http://t.co/cwFz8jr9gz",565,0,2015-02-27 16:09:05
"RT @Avamposto42: Per prepararci alla #spacewalk di domenica, la EVA #31, un po' di ripasso... #NientePanico! http://t.co/boujAmP753 http://…",91,0,2015-02-27 11:13:55
"RT @ISS_CASIS: Following yesterday's #spacewalk, read latest update on space station crew activities here: http://t.co/6xyaJI4Uhv http://t.…",104,0,2015-02-26 15:37:39
"RT @esa: Who's this exploring our Redu ground station? #spaceinvader #streetart http://t.co/78Y5xufbG1 http://t.co/jMleHgp3A5",111,275,2015-02-25 09:15:01
"RT @ISS_Research: Results of @NASA @ISS_Research show it's all about moderation with iron for human health. https://t.co/b8XafRZvEo http://…",225,0,2015-02-24 17:08:33
"RT @AstroTerry: A cool progress picture. http://t.co/w4NmSYUlTe",424,0,2015-02-24 15:40:11
"RT @Astro_Wheels: And...the Oscar for Spacewalk Design &amp; Choreography goes to...@stingwray &amp; @Brian_Alpert - Unsung heroes of our team! htt…",44,0,2015-02-24 13:57:32
"RT @Avamposto42: Vo cosa stavate facendo sabato?Perché @AstroTerry e #AstroButch passeggiavano nello spazio... http://t.co/lhoPXxPdTH http:…",106,0,2015-02-23 16:11:16
"RT @DaveAtCOGS: The #WorldHeritage pins by @AstroSamantha on map http://t.co/1c54Wmhw4X have links: @UNESCO info &amp; hi-res pics http://t.co/…",169,0,2015-02-22 18:43:36
"RT @Outpost_42: How can astronauts exercise in space? We asked one... @AstroSamantha ;)  http://t.co/yGH49UH3xT",111,0,2015-02-20 16:31:39
"RT @Avamposto42: Prodotti locali e cucina regionale: come fare il giusto pieno di proteine con @stefano_polato! http://t.co/OR372gm6yw http…",40,0,2015-02-20 14:08:25
"RT @Space_Station: Progress 58 #ISScargo craft docks to @Space_Station at 11:57am ET completing 4-orbit, near 6-hour trip after launch. htt…",219,0,2015-02-17 16:59:06
"RT @NASA: #ISScargo Progress will deliver: 1,940 lbs propellant 110 lbs oxygen 926 lbs water 3,333 lbs parts &amp; experiment hardware to @Spac…",341,0,2015-02-17 11:16:52
"RT @AstroTerry: #AstroButch and I tried on our spacesuits during a 'dry run' today.  The real thing is scheduled for this Friday! http://t.…",262,0,2015-02-17 08:38:02
"RT @Outpost_42: Afterwards all that remained was for the astronauts to wave goodbye: farewell @esa #ATV5! http://t.co/Evz3KcG0Wl http://t.c…",44,0,2015-02-16 16:03:18
"RT @Avamposto42: Né troppo né troppo poco: quando si tratta di nutrizione il giusto mezzo è quello che ci vuole!http://t.co/I5vtWXFUCm http…",99,0,2015-02-16 15:06:16
"RT @RikyUnreal: @AstroSamantha vero, cielo molto pulito. Anche in questo #timelapse la visibilità non era male http://t.co/VUCht0soDp",88,0,2015-02-15 22:56:07
"RT @ilpost: Le foto spaziali di @AstroSamantha, tra le cose più viste sul Post questa settimana http://t.co/5cJP2Dcb4G http://t.co/061QvUXt…",618,0,2015-02-15 11:51:34
"RT @Avamposto42: L+76-79: Diario di Bordo. #Dragon è partito e con lui i vermi spaziali dell'esp. Epigenetics!  http://t.co/3XSNt3Ri9K http…",126,0,2015-02-15 11:22:53
"RT @AstroTerry: #ATV departing #ISS today- it looked like an 'X-wing fighter' leaving. #SpaceVine timelapse https://t.co/WjmdQ4pBAT",1054,0,2015-02-15 11:11:05
"RT @Space_Station: .@esa #ATV5 leaves #ISS at 8:42am ET.",49,0,2015-02-14 13:45:03
"RT @esaoperations: ATVCC confirms: We are GO for #ATV5 vehicle wakeup",61,0,2015-02-14 13:07:18
"RT @esaoperations: Today's #ATV5 undocking webcasts: 1400CET start (FR) via @CNES, 1415CET start (EN) via @NASA - access via http://t.co/Uv…",63,0,2015-02-14 09:20:12
"RT @esaoperations: On board #ATV5, the #BUC (Break-up Camera) - which will record Georges' demise from inside - has been switched ON http:/…",54,0,2015-02-13 09:43:42
"RT @Paxi_ESAKids: Celeb moment with my friend @astrosamantha who is talking to #sanremo2015 !! http://t.co/ELXpDBwk5j",200,665,2015-02-13 09:20:15
