tweet,retweetsCount,favoritesCount,timestamp
"RT @DLR_de: „Das ist grandios, das kann einen umhauen!“ @Astro_Alex erklärt die #ISS-Aussichtsplattform #Cupola. https://t.co/3yiKAYc571 (F…",47,0,2015-04-02 10:36:51
"RT @esa: ESA views the #SolarEclipse from #space and Earth. Image gallery http://t.co/BwWKj66vGg http://t.co/AiMVfFdK1v",552,0,2015-03-20 16:06:36
"RT @ISS101: TOUCHDOWN! The crew of #ISS Expedition 41/42 returns to Earth after a memorable 167-day mission to Space! http://t.co/NJYmBS8kOM",146,0,2015-03-12 02:14:45
"RT @ISS_Research: Want to know more about the @iss_research #AstroButch &amp; his crewmates did on #ISS? Check out http://t.co/13PaGvWXFb http:…",45,0,2015-03-12 01:48:01
"RT @AstroSamantha: #HelloEarth Three good friends are heading back home tonight. A soft landing will be best welcome present! #DontPanic ht…",943,0,2015-03-11 20:44:00
"RT @helmholtz_de: #ScienceSelfie-Aktion zum Pi-Tag am 14.3.: Macht ein Selfie mit Wissenschaftsbezug! http://t.co/e6nuA3EC60 #piday /hk htt…",54,0,2015-03-04 10:37:16
"RT @astro_reid: Watched this happening from #space - Sahara fertilises the Amazon with 182mil tones of DUST yearly http://t.co/DiKJlij1Zu v…",112,0,2015-02-25 23:51:17
"RT @esa: If you have clear skies, you might be able to see the @Space_Station overhead from Europe in ~20 mins. Tips: http://t.co/bdh7zIgfgd",69,0,2015-02-21 18:12:17
"RT @Astro_DavidS: Spacewalk going on outside ISS! Preparing for installation of a new spacecraft docking port. http://t.co/Swnv1w9eYt",26,0,2015-02-21 18:11:56
"RT @Space_Station: Hard time connecting cables at home? Try it in a spacesuit w/gloves with Florida &amp; Bahamas ~250 miles beneath you. http:…",285,0,2015-02-21 18:11:27
"RT @ESA_de: Das #ATV5 ist in die Erdatmosphäre eingetreten. Die Kollegen im Kontrollzentrum in Toulouse winken  hinterher: http://t.co/APKj…",23,0,2015-02-15 18:17:33
"RT @esaoperations: LOSS OF SIGNAL #LOS Contact with #ATV5 Georges Lemaître lost, as expected. It's all over #BigDive",108,0,2015-02-15 18:17:18
"RT @Space_Station: 'ATV cargo vehicle released today! #SpaceVine timelapse of it departing Russian aft segment' #AstroButch https://t.co/fk…",216,0,2015-02-14 19:50:33
"RT @ESA_de: Heute Abend um 19:14 Uhr könnt ihr #ISS und #ATV5 hell über dem #Ruhrgebiet vorüberziehen sehen. cc: @wdr @DerWesten http://t.c…",61,0,2015-02-14 16:33:20
"RT @ESA_de: Das #ATV5 hat heute um 14:42 CET von der #ISS abgedockt. So sah @AstroSamantha den Raumtransporter http://t.co/BLeQp93Fxo",17,0,2015-02-14 16:28:52
"RT @esa: So long #ATV5 - thanks for all the supplies http://t.co/ftwOapP2K8",26,100,2015-02-14 15:25:16
"RT @esa: Its a day of breakups and makeups at ESA: we say farewell to #ATV5 and @ESA_Rosetta sneaks a kiss from the #comet  #ValentinesDay",25,76,2015-02-14 08:52:01
"RT @ESA_de: #Vega-Start erfolgreich, Flugbahn normal #IXV ist auf dem Weg http://t.co/aabLhCScy5",35,0,2015-02-11 13:55:32
"RT @esa: Lift off for #Vega VV04 with #IXV at 14:40 CET ! http://t.co/j3j3MokxMI",57,117,2015-02-11 13:54:00
"RT @esa: LIVE NOW: Follow the launch of #Vega VV04 with @ESA_IXV #IXV http://t.co/OJxhZCiYDh http://t.co/mNMt3Ej2rG",53,145,2015-02-11 13:05:06
"RT @brigittezypries: Heute in Darmstadt: @Astro_Alex diskutiert mit 500 SchülerInnen die Raumfahrt. Vielleicht ist ja die übernächste Astro…",18,0,2015-02-02 11:40:13
"RT @ESA_de: Volles, begeistertes Haus mit @Astro_Alex heute in der Edith-Stein-Schule in #Darmstadt ! #BlueDot #MINT http://t.co/bLxKaaVa7t",19,0,2015-02-02 11:39:02
"RT @DLR_next: Auch für #Schule geeignet: @Astro_Alex demonstriert schwerelose #Physik im Video http://t.co/1j4CaFTnTW #MINT #ISS http://t.c…",79,0,2015-01-21 12:54:35
