tweet,retweetsCount,favoritesCount,timestamp
"RT @rumrejsen2015: We're excited to have 200 students, @Astro_Andreas and Danish Space industry at #HouseofNaturalSciences today @Terma_Glo…",3,0,Mon Mar 16 16:29:40 +0000 2015
"RT @rumrejsen2015: @Paxi_ESAKids preparing for exciting day with @Astro_Andreas at #HouseofNaturalSciences #rumrejsendk #iriss http://t.co/…",2,0,Mon Mar 16 16:29:25 +0000 2015
"RT @DRViden: VIDEO Andreas før rumrejse med sopran: Musik er ikke min stærke side http://t.co/PDLdZGfu65",2,0,Sun Mar 15 15:23:18 +0000 2015
"@Edo_Leonardi yes we will be 9 people.",0,2,Sat Mar 14 20:50:36 +0000 2015
"RT @KvonBengtson: Det rører på sig i Danmark mht rumfart. 2015 bliver et utroligt år med @Astro_Andreas, DTU space, @CopSub og jeg glæder m…",7,0,Fri Mar 13 16:30:26 +0000 2015
"RT @astrosmoelf: #DTUSpace stjernekameraer er igen i rummet! Denne gang på NASA-missionen #MMS, der skal studere processer i Jordens magnet…",4,0,Fri Mar 13 16:08:46 +0000 2015
"If I had my own company... RT @esa: ESA is looking for commercial partners for exploring the moon and Mars http://t.co/Gcx5fvzhOB",5,12,Fri Mar 13 16:05:25 +0000 2015
"Eurobot might deploy a lunar base in the future. Check out part 2 of my visit to @ESA ESTEC this week https://t.co/m5EsFFMXll #iriss",16,27,Fri Mar 13 15:31:30 +0000 2015
"RT @SarahBrightman: Sarah Unveiled Her Personal Mission Patch this week at her press conference in London! http://t.co/WXKqSuZ0WF",134,0,Thu Mar 12 17:31:52 +0000 2015
"Tour the @ESATelerobotics lab with me and Andre and check out the awesome exoskeleton in this video blog http://t.co/tYKVcnhGAc #iriss",25,29,Thu Mar 12 16:11:47 +0000 2015
"More on Eurobot and the Meteron activity that I will perform from the #ISS http://t.co/VIWnRhILvu #iriss http://t.co/5FYr7YX1c6",5,16,Thu Mar 12 11:58:25 +0000 2015
"RT @rumrejsen2015: Under sin #iriss mission skal @astro_Andreas fjernstyre en robot-rover på Jorden #rumrejsendk http://t.co/PAq9v1LtNv",3,0,Thu Mar 12 11:57:04 +0000 2015
"@spangdenmark Helt sikkert. Der kommer også mange andre arrangementer hele ugen for børn og voksne både i Jylland og på Sjælland.",0,0,Thu Mar 12 06:30:44 +0000 2015
"Jeg holder foredrag med @Soeren_Storm i Århus den 17. marts om rumfart og min mission til rumstationen http://t.co/qaSrJ91n5Z #iriss",6,4,Thu Mar 12 06:26:44 +0000 2015
