tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroN8: @Astro_Clay Allie and I have been counting down since Captain America 2.  Badly in need of a Marvel fix!  #Avengers",2,0,2015-04-07 02:56:17
"RT @InspowerBooks: You were born to win, although to be a winner, you must plan to win, prepare to win, &amp; expect to win.",52,0,2015-04-07 02:02:41
"RT @CycloneInsiders: Chris Babb has been returned to the Boston Celtics! Congrats Chris!",5,0,2015-04-07 01:50:48
"RT @FactsMarin: That moment when not even the umpire can contain @BoboRachel #LoudNoises #TurnDownForWhat http://t.co/WjHMllzJ74",11,0,2015-04-06 16:23:34
"RT @earthtoday: NASA Celebrates Earth Day with #NoPlaceLikeHome Event http://t.co/KATRkYofKo #NASA http://t.co/zmwZ8OdhjM",36,0,2015-04-06 16:21:55
"RT @NASA_Johnson: Hey @FLOTUS &amp; @TheEllenShow, challenge accepted. @NASA employees perform #GimmeFive dance: http://t.co/NFQVSdwN2w http://…",201,0,2015-04-06 16:19:37
"RT @CycloneFB: All-Big 12 kicker @swollnetten drilled three FGs from 46, 35 &amp; 33 yards in the scrimmage on Saturday. #CyclONEnation http://…",8,0,2015-04-06 16:15:43
"RT @NTVsSteveWhite: .@Astro_Clay reppin' Nebraska in his new logo on his Facebook page: http://t.co/bTK6wqTlw1",1,0,2015-04-06 16:14:14
"RT @Astro95Media: @Astro_Clay Pleasure working with you, Clay!  We hope it serves you well going forward.  We're excited to read your book!",1,0,2015-04-06 15:03:08
"RT @LaoneHuman: @Astro_Clay Well how am I supposed to sleep now after reading this Tweet???",1,0,2015-04-06 02:30:15
"RT @tomoconnor24: @Astro_Clay getting ready to see the ISS 9:43",1,0,2015-04-06 01:52:49
"RT @HumanoidHistory: #Onthisday in 2010, space shuttle mission STS-131 begins when Discovery launches from @NASAKennedy. #space http://t.co…",13,0,2015-04-06 01:28:14
"RT @HumanoidHistory: #TodayInHistory: The Space Shuttle Discovery heads to #space from @NASAKennedy on April 5, 2010. http://t.co/NaPSJ3pNXd",13,0,2015-04-06 01:12:20
"RT @durtgeek: @jotulloch @Astro_Clay nice! I was at the Turn Basin as a guest of @AstronautWoman @Carson__17 with @CraftLass thanks to @fly…",1,0,2015-04-06 01:11:56
"RT @jotulloch: @durtgeek I didn't know you were there! I was too, on the causeway!  @Astro_Clay https://t.co/8Drp7W0N9o",2,0,2015-04-06 01:11:35
"RT @AstroN8: Happy launch-iversary, @Astro_Clay :) @zerogguy: @AstroN8 I recall that quite well! http://t.co/x0aSD2B6UL #STS131",2,0,2015-04-05 22:33:36
"RT @spacechelle: General blog about Kentucky event @KYScience http://t.co/YB2Fx7Ya3c @space_tango @KySpace @Astro_Clay @Academy_Shawnee @CL…",3,0,2015-04-05 22:33:04
"RT @Sannsibble: - @JZK60 @Astro_Clay @Astro_Naoko @SpaceflightNow @NASA_Astronauts Nice pics! Thanks for sharing - Happy Easter (*_*) Best",1,0,2015-04-05 18:32:57
"RT @SHasani61: @Astro_Naoko the men on the picture,  left side ?? Think he is on twitter ♡;-) nice photo  @Astro_Clay  @Space_Lectures",1,0,2015-04-05 18:30:45
"RT @JZK60: @Astro_Naoko @Astro_Clay @SpaceflightNow @NASA_Astronauts Congrats on 5th anniversary of STS-131--with cool plants! http://t.co/…",8,0,2015-04-05 18:29:01
"RT @PC0101: @JZK60 @Astro_Clay Five harvests since then in the #ISS djunlge. :)",2,0,2015-04-05 18:28:37
"RT @Space_Lectures: NASA's space shuttle Discovery Mission Specialist @Astro_Clay enroute to Launch Complex 39A KSC Florida April 5, 2010 h…",10,0,2015-04-05 18:26:19
"RT @Space_Lectures: #OTD 2010 STS-131 #JamesDutton #AlanPoindexter @AstroRM, #StephanieWilson, @AstroDot , @Astro_Naoko &amp; @Astro_Clay http:…",11,0,2015-04-05 18:23:31
"RT @Orbiter_ch: Orbiter.ch Aerospace, Daily is out! http://t.co/CoJkbeDqve Stories via @Astro_Clay @exploreplanets",2,0,2015-04-05 18:21:30
"RT @FlutterBec: @Astro_Clay Spent an evening catching up with old school friends - talking about #TheOrdinarySpaceman. Still overwhelmed by…",1,0,2015-04-05 01:23:18
"RT @JTonQ: @Astro_Clay @ct_la @shawnrbouley @GoBluejays1 Seriously, everyone did! He's so 'crushable'... 😎😉😏",1,0,2015-04-05 01:22:06
"RT @JohnBishop71: Nice to see the officials are up to the task of calling a Final Four. #serioussarcasm",2,0,2015-04-04 23:51:10
"RT @CycloneFB: Recap of today's scrimmage &gt; http://t.co/jNYShnshLp http://t.co/orM5jODk9M",10,0,2015-04-04 23:50:17
"RT @InspowerBooks: Losing is a learning experience. It teaches you humility. It teaches you to work harder. It's also a powerful motivator.…",61,0,2015-04-04 23:47:23
"RT @ValaAfshar: April 4, 1975 – @BillGates and @PaulGAllen formed a partnership in New Mexico. The venture was named @Microsoft. http://t.c…",246,0,2015-04-04 21:33:36
"RT @jamerz3294: #TormentTheDuck @Astro_Clay @crocodilekatie A day late, but no egg on my face! http://t.co/RlXCerck9H",18,0,2015-04-04 21:31:19
"RT @BadAstronomer: 2/2 “high beta” refers to the orientation of the ISS orbital plane to the Sun. http://t.co/rhKH6sx2lw http://t.co/KjT2Xg…",32,0,2015-04-04 16:28:40
"RT @BadAstronomer: 1/2 RT @AstroTerry: The very last sliver of sun during a “high beta” #sunset. http://t.co/HWCbB3FTvi",32,0,2015-04-04 16:28:36
"RT @JournalStarNews: Toast Nebraska Wine Festival scheduled for May at Mahoney State Park. http://t.co/140jny7NVh",2,0,2015-04-04 16:28:14
"RT @eddiapp: Hey West Coast, we have a lunar eclipse going down tomorrow! The eclipse will be most visible at 4:58am 🌓 http://t.co/3u7aNOqX…",6,0,2015-04-04 14:07:30
"RT @ct_la: @JTonQ @shawnrbouley @Astro_Clay Noted for the record. #Nebrastronaut #cyclONEnation",1,0,2015-04-04 14:04:39
"RT @ct_la: @Astro_Clay The enjoyment is entirely mutual. THANK YOU.",1,0,2015-04-04 14:04:28
"RT @JTonQ: @shawnrbouley @ct_la @Astro_Clay WAIT...he's also our #Nebrastronaut!!!  A really cool dude...  Did I mention I'm from the same …",1,0,2015-04-04 14:04:20
"RT @shawnrbouley: @ct_la @Astro_Clay And not just an astronaut, but a #cyclONEnation astronaut!",1,0,2015-04-04 14:03:35
"RT @Astro_Omnia: @Astro_Clay The video didn't show the moment when everyone was upside down except you, for sure. ;D",2,0,2015-04-03 23:51:28
"RT @smartereveryday: @Astro_Clay @spasmunkey @StationCDRKelly Yep!  I need to calibrate my tweets to Zulu time.",1,0,2015-04-03 23:49:36
"RT @ct_la: I'm having a convo with an astronaut who's been to #space, @Astro_Clay &amp; not for the 1st time (1/2)",1,0,2015-04-03 23:48:08
"RT @ct_la: I really must write that buzzfeed-style list of all the reasons why Twitter is WAY more than a hobby. That would be #1. @Astro_C…",1,0,2015-04-03 23:48:07
"RT @FlutterBec: @Astro_Clay Thought you'd like this quote - '88.2% of statistics are made up on the spot' What about the cartoon too? http:…",6,0,2015-04-03 23:43:25
"RT @InspowerBooks: I've got a theory that if you give 100% all of the time, somehow things will work out in the end. -Larry Bird",66,0,2015-04-03 13:17:36
"RT @Orbiter_ch: Orbiter.ch Aerospace, Daily is out! http://t.co/9n6s46BJ9x Stories via @NASA_Landsat @acuriousguy @Astro_Clay",1,0,2015-04-03 13:16:18
"RT @crocodilekatie: Guess what day it is???#TormenttheDuckDay @Astro_Clay @romeoch @jamerz3294 http://t.co/5guJjkbqgI",4,0,2015-04-03 13:16:00
"RT @theborisdiaw: I had the best time today visiting the @nasa johnson space center.  #jsc #yearinspace Thomas pesquet… https://t.co/GKk81a…",45,0,2015-04-03 01:58:36
"RT @KentPavelka: Told the drive through guy the name was Kent; with a T. http://t.co/qAfXAKLyPj",8,0,2015-04-02 23:35:08
"RT @CycloneFB: Nice feature on ISU rookie CB Brian Peavy by @JWcyclonestv. #CyclONEnation http://t.co/v6H52I33io http://t.co/rHNYE5FXKU",8,0,2015-04-02 23:28:44
"RT @NASAJSCStudents: Just a few of our many amazing female interns rocking the space industry! #WomensHistoryMonth #WomenAtNASA http://t.co…",30,0,2015-04-02 20:53:11
"RT @Astro_Omnia: @Astro_Clay Now I think I know which chapter of The Ordinary Spaceman would be my favorite.... @Quora",1,0,2015-04-02 20:49:53
"RT @dustinhobaugh: @Astro_Clay @tonyparker that's awesome I'm jealous as well",1,0,2015-04-02 20:48:18
"RT @Ron_White: Hey Mars Inc: How fucking hard is it to make cashew M&amp;M's?!",84,0,2015-04-02 18:50:14
"RT @NASAedu: Want to be a #NASAIntern? Now is the time to apply for the Fall session! Details: http://t.co/u3nDbvf3hV http://t.co/lSwHvvkIkN",33,0,2015-04-02 16:24:36
"RT @HomerHickam: All we can do is wait out the people in and around NASA HQ right now and hope the grown-ups get to operate it for awhile l…",4,0,2015-04-02 16:24:14
"RT @Astro_Mike: A town in Texas just quit fossil fuels. Who's next?http://t.co/2t9B8cqwxx via @slate",25,0,2015-04-02 16:18:39
"RT @xUniPro: デイリー astronauts-nasa is out! http://t.co/LotRe2AHox Stories via @Astro_Clay",1,0,2015-04-02 13:53:51
"RT @juniperala: My buddy, fun-guy astronaut @Astro_Clay wrote a book, check it out! http://t.co/zCDI5faMyw",5,0,2015-04-02 00:24:44
"RT @Astro_Omnia: @Astro_Clay Yes! And somebody has to wave back because I no longer feel my arm. @roam2me @AstroSamantha",1,0,2015-04-02 00:24:08
"RT @sandygrains: @Astro_Clay Are you kidding? I'm a great fan of your writing (and profession). Thanks for your contributions and kind word…",1,0,2015-04-01 20:49:04
"RT @Apocalyptica: Space &amp; Physics Daily  is out! http://t.co/Ai25zpnHBg Stories via @DLR_next @danielscuka @Astro_Clay",1,0,2015-04-01 20:48:51
"RT @spacecom: BREAKING NEWS: Amelia Earhart lands safely in Hawaii after record breaking 78 year flight across the Pacific.",32,0,2015-04-01 16:41:49
"RT @roam2me: Amazing! ...capture the pyramids of Giza, of course a #WorldHeritage site. #Egypt http://t.co/ltqgYBQrjy MT @AstroSamantha",5,0,2015-04-01 16:38:45
"RT @Huskers: .@TheRealJTT [signed #Huskers everywhere]  #GBR @Husker_Baseball http://t.co/PTAWMDsZty",16,0,2015-04-01 16:29:17
"RT @CycloneFB: Spring Breakdown: The Tight Ends. #CyclONEnation http://t.co/w8JZAx3ozp http://t.co/jlDJRtA9A5",6,0,2015-04-01 16:28:43
"RT @sandygrains: Hahaha I love this guy. Answer on @Quora by @Astro_Clay to What should astronauts avoid doing? http://t.co/GUdzYPkWKq",5,0,2015-04-01 16:20:50
