tweet,retweetsCount,favoritesCount,timestamp
"日曜日は、時差ぼけと戦いながら色々な家の仕事を済ませました。家を留守にしていると、私しか出来ない様な作業が少しづつたまってしまいます。これをしっかりやると、家族の信頼度も上がります！そして、月曜日は早速訓練開始！朝から気分爽快なので、時差ぼけの影響も少なく、しっかりやれそうです！",13,60,Mon Mar 09 11:05:22 +0000 2015
"無事にヒューストンに到着です！これからの1ヶ月間は、米国での訓練の総仕上げ、健康診断や各種実験の為のデータ取得等が行われます。色々とお世話になった方々への御挨拶もありますし、とても忙しくなりそう。そして、家族と過ごす事が出来る貴重な時間でもあります。適度に休みながら頑張ります！",45,93,Sat Mar 07 21:15:32 +0000 2015
"Ты очень хорошо танцевала сегодня! Молодец!! Спасибо за приятное время! Ты - мой друг!! Увидимся через месяц! http://t.co/HFw3XQw5Br",12,33,Fri Mar 06 19:11:03 +0000 2015
"ロシアの曲を聴きながら「この歌、大好きなんです！」と言うと、隣の方が驚いていました。その国の歌を知っているというのは、仲良くなる上でとても役立ちますね。でも、ロシアのダンスは難しそう…ミッションが終わってからの挑戦になりそうです(笑) http://t.co/jCEl2CXF8f",32,74,Fri Mar 06 19:09:09 +0000 2015
"3/8の国際婦人デーと春の訪れを祝うイベントが星の街で行われ、私も見学に行きました。私のお友達も参加していたんですよ。少し無理を言って、ダンスが終わった後、一緒に写真を撮って貰いました(笑)。サラファン姿、カワイイですね。 http://t.co/o4NHifH15L",27,70,Fri Mar 06 19:08:33 +0000 2015
"話は変わりますが、私のミッション中に、ラグビーのワールドカップがあるんですよ！私は、ラグビーの「ノーサイド」と言う考え方が大好きで、共感もしています。こんな考えが世界に広まれば、もっと良い世界になるのに…ラグビーを愛する星出さんの考え方を私が尊敬するのも、実はこんな所から⁈",35,85,Fri Mar 06 11:37:38 +0000 2015
"子供の頃、嫌で嫌で仕方がなかったスケートや剣道。「何故、自分達には夏休みが無いんだろう？」と考えた家の手伝い…実は今、全ての経験が、とても役に立っているので不思議…逃れられない厳しい環境が、人を育てるという事もあるのかもしれないですね。厳しい環境にいる方々…一緒に頑張りましょう！",61,143,Fri Mar 06 11:22:06 +0000 2015
"訓練は順調に終了し、米国へ向かう為の準備中。露→米の移動は、打上げ前最後になりますから、これまでの荷物を持って帰らなくてはいけません！「このスケートでかいっ！買ったのは失敗?!」なんて考えながら、荷物の整理をしています。そして、子供の頃の川上村でのスケート練習を思い出しています。",34,63,Fri Mar 06 11:09:26 +0000 2015
"モスクワとその周辺の都市には、沢山の日本食レストランがありますが、私のお気に入りは巻き寿司を天ぷらの様に揚げた食べ物です。このネタは一体何だろう？と言うような寿司もあって面白いし美味しいです。日本の食べ物も、それぞれの国へ入って変化し、更に美味しい食べ物に生まれ変わっています。",27,55,Thu Mar 05 20:10:30 +0000 2015
"ロシアの観光ツアーに参加した事について、ロシア語の先生に話をすると、とても喜んでくれました。更に、ロシア語のガイドさんしか居なかった事を話すと、絶賛してくれました(笑)。週末を一人で過ごしてゆっくりするオプションもありますが、それでは語学は上達しません。楽しく学べて一石二鳥です！",15,54,Wed Mar 04 15:56:39 +0000 2015
"フライト用の宇宙服やシートライナーのサイズ確認を行いました。すべての方々がしっかり仕事をしてくれたお陰もあり完璧でした！確認作業もスムーズだったです。「君のロシア語が堪能なので作業も早い！」と言われると、お世辞でも嬉しかったです。 http://t.co/oyf1RZbbRO",96,145,Tue Mar 03 16:04:40 +0000 2015
"私がこれまでに習ったロシアの情報と、私が体験するロシアはどうしてこんなに違うのでしょうか(苦笑)？「本で得た情報やインターネットで検索した情報で全てを知ったと思ったら大間違いですよ！」最近のインターネット上の過激な意見を読むと、ついその様に助言したくなってしまいます。僭越ですが…",102,149,Tue Mar 03 15:53:29 +0000 2015
"小さな町の教会にも、それぞれの美しさがあります。「この町って一体何人の日本人が訪れたのかな？勿体無いな…」と考えてしまいました。でも、よく考えたら、そんな事はどうでも良いのです！私とこの教会の出会いも一期一会。思い出を大切にします！ http://t.co/RgTP8qNSKl",48,145,Mon Mar 02 19:05:43 +0000 2015
"楽しく心が洗われる様な週末でした。50人近いツアーでも、外国人は私だけの様子。ガイドさんも、真剣に聞いていると私の目を見て真剣に解説してくれました。皆しっかり時間を守りマナーも良いし、食事の際のおばさん達との会話も楽しかったです！ http://t.co/GsbO5nBNSs",26,86,Sun Mar 01 20:03:22 +0000 2015
"Если у Вас есть вопрос, пишите мне по-русски, пожалуйста! Я отвечаю по-русски.Давайте изучать русский язык вместе.Приятно заниматься языком!",10,27,Sun Mar 01 14:43:45 +0000 2015
"外国語の勉強…進歩が見えない期間は辛いですが、外国語でコミュニケーションが取れたり、歌、映画、文学等を理解出来たりした時の喜びが大きいので、頑張って下さい！また、理解する言語が多い程、違った視点で発信される様々な情報に触れられるので、様々な事件の真実に迫れるかもしれませんね…",60,158,Sun Mar 01 14:26:04 +0000 2015
"ロシア語しか使わない週末。雪の降る美しい景色の中で、ロシアの歴史と文化にドップリと浸かり、ロシアの方々と交流する。なんて幸せなんでしょう！今日はこのツイートを書く時間だけが、日本語を使う時間になりそうですね。頭の中は完全にロシア語モードです！",16,81,Sat Feb 28 11:51:06 +0000 2015
"妻から「お父さんって、優しそうに見えて腹黒いっ！」と言われる事があります(笑)。でも、私もその通りだと思います！以前書いた妻との買い物を早く終わらせる作戦…凄く、姑息！本当だったら「あ〜。愛する妻との買い物！なんて幸せなんだ！この時間が永遠に続けば良いのに！」と考えるべきなのに！",23,86,Fri Feb 27 16:28:25 +0000 2015
"私にメッセージを送って下さる方は、優しい方が多いですね。言葉からプラスのエネルギーを感じます(笑)。言葉や行動は人の心を写す鏡の様ですね。そう考えて、私の言動を見つめ直すと、まだまだです。皆さんの心の方が、私の心より美しいです！美しい言葉や写真を送って下さり、有難うございます！",23,85,Fri Feb 27 15:55:30 +0000 2015
"ロシアでの訓練は、とても順調です。良い緊張感を持ちながら、自信を持ちつつ、集中力を持続して訓練をしています。打上げまで、あと3ヶ月。皆さんの応援を力に変えて、しっかり頑張ります！皆さんも「45歳のおっさん」の頑張りを見て「自分も頑張れば出来る！」と思って頂ければ嬉しいです！",57,132,Thu Feb 26 14:36:50 +0000 2015
"皆さんとお話ししながら、私も色々と考えました。「明日も訓練頑張ろう！」って。その先生が言っていました。「継続は力なり！」と… 「今日も出来ることは精一杯やった！明日も出来る事を精一杯やる！」自信を持っていつでもそう言える様に頑張ります！私が挫けそうになっていたら応援して下さいね。",29,106,Wed Feb 25 17:55:19 +0000 2015
"人生にいつか終わりが来る事は、分かっているのですが、自分や自分の身近な人達は例外だと思いたい気持ちはありませんか? 今私は「もっと時間を大切に、しっかり生きなければ」と痛切に感じています。 今は亡き母、祖母、親戚そして先生が私の心の中で今も生き続け、色々な事を教えてくれています…",54,135,Wed Feb 25 17:04:48 +0000 2015
"フォローして下さっている方に感謝しているのは勿論ですが、更にメッセージを下さる方々には、本当に感謝しています。メッセージを下さる方々のツイートを読みに行くと「この方とこの方は知り合いなのか〜」とか「こんな考え方をしている方なんだ〜」と新たな発見が！こっそり読んでいて、すいません！",27,100,Wed Feb 25 12:59:59 +0000 2015
"私が書いている事は、基本的に経験した事ばかりで、個人の分析に基づいた事は書いていないんですよね(苦笑)。つまり、私は頭が良い訳でも、分析能力に優れている訳でも無いのです。分析や評価は、皆さんにお任せしますね！でも、感じた事は書かせて下さい！批判があるのは承知の上で、お願いします！",16,58,Tue Feb 24 18:14:02 +0000 2015
"私の経験では、個人的に外国の方と仲良くなるのは、比較的簡単。でも国益が絡む中で交渉を始めると、国同士の関係は個人の友情とは異なる事に気付き、難しさが身に染みます…更に努力を続けると、個人的な関係を基礎に、双方が忌憚なく意見を述べた上で、国家として共に利益が得られる関係を築けます。",65,116,Tue Feb 24 15:19:05 +0000 2015
"謝罪は本当に難しいです！私も、個人的な事は直ぐ謝ります。「責任は私にあります！」との意志表明でもありますから…でも、妻に謝ると「何で悪く無いのに直ぐ謝るの⁈」と火に油を注ぐ事も…また、海外での交通事故等で簡単に謝らないのは基本ですし、国を代表している時も直ぐには譲歩出来ません…",34,88,Tue Feb 24 14:44:42 +0000 2015
"マースレニッツァ最後の日曜日に、ロシアの方と話をしていたら、突然「これまで、何度かあなたに悪い事をしたかもしれないが、許して下さい。」と謝られました。心当たりが無かったので、ポカンとしていると「今日はお互いの罪を許して貰う日です」と説明してくれました。私もとりあえず謝りました！",49,88,Mon Feb 23 12:54:42 +0000 2015
