tweet,retweetsCount,favoritesCount,timestamp
"Me and my spacewalking buddy Jim Newman after our final spacewalk on STS-109, 13 years ago, very happy team! http://t.co/mjhcRJfK51",10,55,Mon Mar 09 19:00:13 +0000 2015
"This is what Hubble looked like after we let it go 13 years ago.  Job well done. #OnThisDay http://t.co/BY88FNqAPi",70,120,Mon Mar 09 14:30:04 +0000 2015
"Have you downloaded @IntrepidMuseum's #iPhone #app? I'm in some of the #videos, talking about my spaceflights! http://t.co/wMTjZWfs3i",9,17,Sun Mar 08 17:00:40 +0000 2015
"right after this photo I looked to my right, saw the Earth &amp; thought:'this is what heaven must look like.' #Hubble25 http://t.co/t66TCTuiOV",115,198,Sat Mar 07 18:01:18 +0000 2015
"STS-109 Flight Day 6 replacement of the Hubble Power Control Unit, 1st time Hubble was ever powered down #OnThisDay http://t.co/TvyJCIliLd",55,86,Fri Mar 06 15:00:25 +0000 2015
"Replacing a Reaction Wheel Assembly on Hubble with my buddy Jim Newman 13 years ago today #hubble25 #tbt http://t.co/XOEoqnkDwx",114,179,Thu Mar 05 21:04:08 +0000 2015
"My first spacewalk,I am sublime, look at the Earth reflection in my visor &amp; the big smile! #OnThisDay 13 years ago. http://t.co/98tMXzInPM",149,362,Thu Mar 05 16:00:17 +0000 2015
"Great shot of the spacesuit with tools attached and my crewmate Rick Linnehan inside.  This date in 2002. http://t.co/FlPkQsrA6o",46,105,Wed Mar 04 21:00:14 +0000 2015
"Giving Hubble a new solar array w/ Earth in the background, this was my view out the cabin window #OnThisDay in 2002 http://t.co/xihmKsHFDf",93,155,Wed Mar 04 16:00:14 +0000 2015
"This is what Hubble looked like after we secured it in the shuttle payload bay #onthisday #hubble25 http://t.co/vlwQVys6Dd",50,99,Tue Mar 03 19:30:07 +0000 2015
"#OnThisDay in 2002 this is what I saw out my window http://t.co/MCWNUkC2EA",52,129,Tue Mar 03 15:30:09 +0000 2015
"Check out our STS-109 crew photo.  #OnThisDay in 2002 we were all together in space #hubble25. http://t.co/wqJNsKJpRY",40,119,Mon Mar 02 19:00:11 +0000 2015
"Remembering all my Hubble days has been fun! If you agree, check out the #Hubble25 exhibition at @IntrepidMuseum: http://t.co/kwZwUE3JGm",13,36,Mon Mar 02 16:00:12 +0000 2015
"This is what I was doing 13 years ago today, headed to Hubble on my first space launch.  #OnThisDay #Hubble25 http://t.co/cnI8uKtrd2",144,382,Sun Mar 01 15:00:05 +0000 2015
"RT @airandspace: We're celebrating #Hubble25 with talks, family days &amp; more. Next up? #SpaceLec w/@Astro_Mike: http://t.co/JHFmvpycDy http:…",65,0,Sat Feb 28 01:40:13 +0000 2015
"Rollout of Space Shuttle Columbia to the launchpad for my first spaceflight in 2002 STS-109.  Does anyone remember? http://t.co/aVeOsT849M",73,171,Fri Feb 27 20:22:04 +0000 2015
"15 years ago my daughter and her girl scout troop came to visit me at work. @girlscouts http://t.co/9lQNJYie9D",22,114,Thu Feb 26 20:14:01 +0000 2015
"Check out these vintage NASA footages, I think they are awesome: http://t.co/WgWEbWUoYw",20,42,Thu Feb 26 13:15:02 +0000 2015
"Here is a link to the video of the Senate hearing yesterday with me @TheRealBuzz Walt Cunningham and @SenTedCruz http://t.co/pxjqYvpkH7",70,62,Wed Feb 25 15:20:45 +0000 2015
"RT @CommerceGOP: .@SenTedCruz, @TheRealBuzz, @Astro_Mike, and Walt Cunningham behind the scenes before @CommerceGOP #space hearing http://t…",59,0,Tue Feb 24 20:53:35 +0000 2015
"RT @CommerceGOP: Behind the scenes at #space hearing: @TheRealBuzz to @SenTedCruz, 'Check out my socks.” @Astro_Mike, “How fitting.” http:/…",24,0,Tue Feb 24 20:52:56 +0000 2015
"RT @CommerceGOP: 'Putting human beings in orbit remains the single most important element of successful space exploration' @Astro_Mike http…",29,0,Tue Feb 24 20:51:58 +0000 2015
"Just retweeted some photos from the hearing.  It was a blast!  Sitting next to my boyhood heroes talking to Senators about space, a good day",15,73,Tue Feb 24 20:47:40 +0000 2015
"RT @SethStatler: After a great panel of heroes discussing @NASA , @SenTedCruz thanks @Astro_Mike for his testimony and his service http://t…",5,0,Tue Feb 24 20:44:57 +0000 2015
"RT @LewGroz: @Astro_Mike explains #space's inspirational capacity, 'we live on a beautiful and fragile world' #paraphrasing #nasa http://t.…",11,0,Tue Feb 24 20:44:40 +0000 2015
"RT @MrJoshPerry: .@Astro_Mike discussing his experiences aboard the shuttle and the importance of human exploration in space. http://t.co/B…",19,0,Tue Feb 24 20:44:23 +0000 2015
"RT @MrJoshPerry: Packed house for testimony from Walt Cunningham, @therealbuzz &amp; @astro_mike  WATCH: http://t.co/oURfiBSlFs http://t.co/TeD…",4,0,Tue Feb 24 20:44:17 +0000 2015
"RT @SapanaV: @TheRealBuzz @Astro_Mike at the Senate hearing! http://t.co/ZE94vkajSp",2,0,Tue Feb 24 20:44:07 +0000 2015
"RT @SethStatler: Looking forward to @SenTedCruz Exploration hearing with @Astro_Mike and @TheRealBuzz http://t.co/jvWZBdYfp9",5,0,Tue Feb 24 20:43:56 +0000 2015
