tweet,retweetsCount,favoritesCount,timestamp
"NASA photographer extraordinaire Bill Ingalls @ingallsimages at work taking pics post landing http://t.co/PDvFQpYYMN",27,60,Thu Mar 12 02:56:54 +0000 2015
"Initial access to Soyuz. http://t.co/sZ1AigsxMY",8,18,Thu Mar 12 02:23:06 +0000 2015
"Есть посадка!! Welcome home Barry, Elena &amp; Sasha! http://t.co/IBAQ8rBE3V",22,27,Thu Mar 12 02:16:11 +0000 2015
"Our friends Barry Wilmore, Alexander Samokutyaev &amp; Elena Serova on their way home from #ISS. Landing at 10:07 pm ET http://t.co/FNUX7woZ1E",29,37,Wed Mar 11 23:13:45 +0000 2015
"Look who's on Twitter login page @Astro_Alex @Msuraev @astro_reid #InTheirSoyuz http://t.co/Msqz0H5x5F",20,52,Wed Mar 11 00:29:56 +0000 2015
"Very cool - 40 Maps that explain Outer Space http://t.co/Js4wtVlFyJ",10,8,Tue Mar 10 18:21:21 +0000 2015
".“@NASA_Astronauts: “Frozen North America.” #AstroButch http://t.co/6xc2MsVfTz”",12,9,Mon Mar 09 19:07:01 +0000 2015
"Great ride home! “@HumanoidHistory: #OnThisDay 2011 #SpaceShuttleDiscovery comes home @NASAKennedy from final mission http://t.co/1VnbmOSByo",11,16,Mon Mar 09 19:03:58 +0000 2015
".“@Space_Station: #HappyInternationalWomensDay to Elena Serova &amp; @AstroSamantha living &amp; working aboard the #ISS! http://t.co/kqyNMCzwzk”",18,26,Sun Mar 08 18:05:22 +0000 2015
"One of my fav pics from Israel Ilan Ramon Conf #WomenInSTEM #WomensHistoryMonth http://t.co/EE0uSh0VMQ",25,74,Sat Mar 07 17:05:57 +0000 2015
".“@NASA Big space on the big screen #IMAX film being shot on @Space_Station targeted for spring 2016 release http://t.co/AE7LO6iB0u”",5,5,Sat Mar 07 16:39:12 +0000 2015
"Our beautiful ISS &amp; Earth in motion “@AstroSamantha: .@Space_Station solar array and a beautiful aurora #spacevine https://t.co/bfOoHAhF3k”",11,14,Sat Mar 07 13:47:03 +0000 2015
".“@NASA: Nobody puts V1331Cyg in corner: @NASA_Hubble sees young star take center stage http://t.co/I5exWd7eEl http://t.co/7bnoDbiBHj”",12,16,Sat Mar 07 13:44:36 +0000 2015
"FL “@NASA Winter storm sweeps US E Coast brings snow, sleet, freezing rain http://t.co/0TszRx0eq8 @NOAASatellites http://t.co/l5t7Ncn2fz'",10,10,Sat Mar 07 13:41:14 +0000 2015
".“@ISS_Research: Two #WomenInSTEM are currently living and working aboard #ISS #LikeAGirl #WomensHistoryMonth http://t.co/B4q8k0XTqG”",28,32,Sat Mar 07 13:35:43 +0000 2015
"The moon over our backyard in Houston is pretty impressive tonight too! http://t.co/nZ2S7luQGW",5,28,Fri Mar 06 01:28:07 +0000 2015
".“@AstroTerry: Full #moon setting over Hokkaido and Vladivostok. https://t.co/HITq3xsmPp”",16,11,Fri Mar 06 01:01:18 +0000 2015
"Thx @saroy for watching over us on STS133! “@NASA_Johnson: Sarah Ruiz shares her NASA story http://t.co/ufwbOFKA4X http://t.co/a5dFc9kcSd”",3,7,Thu Mar 05 23:31:57 +0000 2015
"Great memories! “@HumanoidHistory: Astronaut Nicole Stott inside Soyuz docked to #ISS #onthisday 2011 #STS133 http://t.co/xTJPg8TTKP”",5,12,Thu Mar 05 22:51:00 +0000 2015
"Love having shots like this on my TV at work everyday #ISS #Living&amp;WorkingInSpace http://t.co/2fhzQkCXmr",7,19,Thu Mar 05 17:26:46 +0000 2015
"Very saddened by loss of a dear friend &amp; NASA hero, Norm Carlson. THE NASA Test Director #SpaceShuttle #BeansAreGo http://t.co/UTUfzPAxQy",26,18,Mon Mar 02 16:27:11 +0000 2015
"If you're in Tampa“@GRocktoff: Fight Breast Cancer.  Pink it up benefit.  Ybor city. Tonite.  Market on 7th.  Lots of ska bands”",0,2,Sun Mar 01 01:04:09 +0000 2015
