tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA: Poster theme for upcoming @Space_Station crew is from a galaxy far, far away: http://t.co/A1tspglKi5 #StarWars http://t.co/0IPnJD…",3220,0,Sat Mar 07 23:01:06 +0000 2015
"Happy International #WomensDay 今日は　#国際女性デー http://t.co/H5kPuBcDfc",455,426,Sat Mar 07 22:59:28 +0000 2015
"RT @chandraxray: Astronomy Fact Card #15! Learn more about #EileenCollins:  http://t.co/MX0djM2ODH #womeninscience #womenshistorymonth http…",77,0,Thu Mar 05 03:19:53 +0000 2015
"Japanese dolls floating in #spacestation 無重力に浮かぶ #ひな人形　BGMはやはり A whole new world でしょうか。。。 http://t.co/UpLOBuEfdS",241,306,Tue Mar 03 14:59:10 +0000 2015
"Doll's Festival in #Spacestation #ひな祭り を祝おう http://t.co/epZ6E2L0Fp",246,299,Tue Mar 03 14:48:13 +0000 2015
"RT @KensingtonRoyal: 日本の皆様、さようなら！あたたかい歓迎をありがとうございました。素晴らしい訪日でした！ @UKinJapan #英王子訪日 http://t.co/CDc10aBdvW",2895,0,Sun Mar 01 12:44:38 +0000 2015
"RT @KensingtonRoyal: Goodbye Japan! Thank you for having us - what an incredible visit! @UKinJapan #RoyalVisitJP http://t.co/ej4qDCMSyE",1386,0,Sun Mar 01 12:44:28 +0000 2015
"Boston, MA, where @TheRealNimoy was born. #RIPLeonardNimoy ボストン周辺。 http://t.co/P5MJ7pviyp",108,146,Sun Mar 01 12:41:22 +0000 2015
"Off #Fukushima Coast. 福島県沿岸地方。 http://t.co/mHNqp8QT2G",243,219,Sat Feb 28 12:09:58 +0000 2015
"Frozen.　北海道の屈斜路湖 http://t.co/0YTeZHjSFE",282,269,Sat Feb 28 12:01:17 +0000 2015
"@Astro_Soichi @astonmartin Andy Palmer &amp; #PrinceWilliam agreed that #innovationisGREAT #英王子訪日 鏡開き初体験でした。 http://t.co/RmhQH38EK2",229,194,Sat Feb 28 11:52:49 +0000 2015
"#NHK　総合で　@Astro_Naoko　さん出演中。今日の　#マサカメ は宇宙特集。星出さん母校の　#茗溪学園　も出るらしい。",46,43,Sat Feb 28 09:18:23 +0000 2015
"@Astro_Soichi presents space-flown crew patch to #Princewilliam in #Japan http://t.co/7TtK6UzQSC",123,167,Sat Feb 28 00:09:24 +0000 2015
"#PrinceWilliam : 'I wanted to be an astronaut rather than king' | via @Telegraph http://t.co/Ll8vlaanxi",75,88,Sat Feb 28 00:01:15 +0000 2015
"RT @Space_Lectures: Prince William: 'I wanted to be an astronaut rather than king' | via @Telegraph http://t.co/qKInebH5HW http://t.co/yTUT…",185,0,Fri Feb 27 23:54:10 +0000 2015
"R.I.P. #LeonardNimoy who inspired us &amp; beamed us up to outer space. Long live, Mr. Spock. スタートレックのスポック役で有名なレナード・ニモイ氏死去。",267,131,Fri Feb 27 23:10:00 +0000 2015
