tweet,retweetsCount,favoritesCount,timestamp
"NASA invites you to vote for your favorite Hubble picture: http://t.co/LlDBCLJMpg ESA hosts their Ode to Hubble vote: http://t.co/LlDBCLJMpg",74,48,Fri Mar 06 06:32:52 +0000 2015
"“Journey To Space” for those in the D.C. area,at the National Air &amp; Space Museum: http://t.co/OxDFz38uKc  Go visit,&amp; tell us what you think.",3,5,Thu Mar 05 09:47:20 +0000 2015
"And, Happy BELATED birthdays to ESA’s Rosetta  http://t.co/eZ0xvSyBp6 , &amp; Pioneer 10 (first Jupiter fly-by) http://t.co/eZ0xvSyBp6",0,4,Tue Mar 03 20:15:39 +0000 2015
"Space Historians:  Happy Birthday to Mariner 6 (Mars Flyby) http://t.co/xL93qHlZdX",2,3,Tue Mar 03 20:12:44 +0000 2015
"Space Historians:   Happy Birthday to NACA!!!  http://t.co/fdweyxfSmz",1,4,Tue Mar 03 20:11:11 +0000 2015
"@Astro_Chad Our cardiac health is well-understood;VERY unlikely to have an incident.But,we do have an AED on ISS, part of our med equipment.",0,1,Mon Mar 02 14:17:07 +0000 2015
"Fellow astronaut &amp; friend,Terry Virts,took this pic on ISS as they passed over Boston,Leonard Nimoy’s birth place http://t.co/bUGFW2YKIw",27,37,Sun Mar 01 02:27:08 +0000 2015
"Real-time ISS Ops continue, even when the Center is closed due to  weather! True Soldiers! http://t.co/s6ckwGwyja  http://t.co/1F7WS8hJMR",7,12,Thu Feb 26 13:33:45 +0000 2015
"RT @NASA: We've got 3 upcoming spacewalks! Learn about them today at 2pm ET on NASA TV: http://t.co/TZKSZN8lbU Q? Use #askNASA http://t.co/…",714,0,Wed Feb 18 16:18:49 +0000 2015
"Space Historians:  85 years ago today, Pluto was discovered by Clyde W. Tombaugh of the Lowell Observatory, Flagstaff Arizona.",10,8,Wed Feb 18 16:18:12 +0000 2015
"@anamgren WHEW!!!   Thanks for letting me know.  AND, thanks on the kind words too.",0,0,Thu Jan 29 18:57:00 +0000 2015
"@anamgren No no... it was sent in 2010, and received milliseconds later that same day.",0,1,Thu Jan 29 17:40:10 +0000 2015
"@eleannoorrr Which ever engineering you love and enjoy!!!!",0,1,Thu Jan 29 17:38:56 +0000 2015
"@emmanuelortiz86 You are very welcome!",0,1,Thu Jan 29 17:38:28 +0000 2015
"RT @neiltyson: Not enough of us reflect on how modern civilization pivots on the discoveries of just a few intellectually restless people.",7590,0,Thu Jan 29 13:44:42 +0000 2015
"RT @ShuttleCDRKelly: My brother @StationCDRKelly &amp; I talked to @CBSThisMorning about why @NASA is studying us. Watch it here: http://t.co/Z…",179,0,Thu Jan 22 17:24:51 +0000 2015
"@emmanuelortiz86 You are most welcome!",0,1,Thu Jan 22 17:23:48 +0000 2015
"RT @NASAhistory: #TBT @Astro_TJ sends 1st live tweet from space in 2010. What would you tweet from space? http://t.co/0IVKfXwLDe http://t.c…",25,0,Thu Jan 22 17:22:25 +0000 2015
"Space Historians: Today is Buzz Aldrin’s birthday! http://t.co/8N91F7t9eN  Hope today is an OUT OF THIS WORLD day for him! Happy bday,Buzz!",7,8,Tue Jan 20 16:59:15 +0000 2015
"RT @StarTalkRadio: Last for #MLKDay: Nichelle Nichols shares Dr. Martin Luther King’s impact on Gene Roddenberry &amp; Star Trek https://t.co/e…",20,0,Tue Jan 20 12:50:35 +0000 2015
"RT @ISS_Research: Why do astronauts eat tortillas in space instead of bread? http://t.co/lJTHFysinQ",52,0,Tue Jan 20 12:49:56 +0000 2015
"NASA has taken largest picture ever: http://t.co/Jko2h6woUa Watch, be amazed, be in wonder, be ever so humbled. It will rock your world!",15,18,Tue Jan 20 12:48:42 +0000 2015
"Space Historians: 2006 -- Launch of New Horizons to Pluto http://t.co/lRieh6u51P",3,2,Tue Jan 20 12:40:07 +0000 2015
"RT @NASA_Johnson: Identical twins, one on Earth and one in space. After a year, are they still…identical? We will find out. #ISS1Year http:…",196,0,Thu Jan 15 17:33:20 +0000 2015
"The “1-year Crew”: NASA has two new briefings today.  Exciting stuff! One step closer to understanding Mars mission...http://t.co/81tC1KJWXh",3,4,Thu Jan 15 17:32:33 +0000 2015
"SpaceHistorians: 2006 Stardust probe successfully returns comet &amp; interstellar dust samples to Earth http://t.co/UPR7Jq9V1f",6,6,Thu Jan 15 17:25:58 +0000 2015
"SpaceHistorians: 1917-Treasury Comptroller announced that NACA was an independent agency!   And so it began... http://t.co/01Xdm81Cdt",5,3,Sat Jan 10 17:27:03 +0000 2015
"RT @NASA: Missed launch of the @SpaceX #ISScargo mission or want to see it again? Watch it on @YouTube: http://t.co/ulOFF4KwGC http://t.co/…",1083,0,Sat Jan 10 17:16:26 +0000 2015
"SpaceHistorians: in 1969 on this day, NASA announced the crew of Apollo 11 http://t.co/0OymUgIlmT",18,15,Fri Jan 09 17:59:03 +0000 2015
"SpaceHistorians: 1994-Cosmonaut Valeri Polyakov launched on the (as yet) longest spaceflight. Guess how many days? http://t.co/E89XR2HdKF",3,2,Thu Jan 08 16:05:15 +0000 2015
"H.G. Wells will be happy!!  Potential signs of ancient life in Mars rover photos: http://t.co/VsP9dAUG3y",7,10,Wed Jan 07 17:37:05 +0000 2015
"SpaceHistorians: 1968 - launch of Surveyor 7, last in series, had most extensive instruments to analyze Lunar soil: http://t.co/FcyynMgAfO",4,4,Wed Jan 07 17:34:48 +0000 2015
"SpaceHistorians:  In 1998, we launched Lunar Prospector to map Moon’s surface, look for polar ice, &amp; more:  http://t.co/LDyHX9L7wJ",3,5,Tue Jan 06 17:42:07 +0000 2015
"@HBSastrowardoyo Not really. My training flow was wonderful. No regrets. I went Soyuz, because of the timing &amp; international agreements.",0,0,Mon Jan 05 23:24:23 +0000 2015
"@dicreamio Thank you.  You too.",0,0,Mon Jan 05 23:18:18 +0000 2015
"@Joseflor238 no. Time is not an absolute, by any means.",0,1,Mon Jan 05 14:40:32 +0000 2015
"RT @NASA_Marshall: Scott Kelly &amp; Mikhail Kornienko to spend 1 yr in space to help learn how the body adapts: http://t.co/P2oofpbXhM http://…",25,0,Mon Jan 05 14:39:14 +0000 2015
"Space historians: big day today in 1972, when President Nixon announced the approval of the Space Shuttle Program! http://t.co/E7UlY6ZO2y",8,6,Mon Jan 05 14:38:45 +0000 2015
"@Favstar250 Thanks bunches!",0,0,Sun Jan 04 02:31:08 +0000 2015
