tweet,retweetsCount,favoritesCount,timestamp
"Enjoyed participating in the Onizuka Space Science Day 2015 event   at @ECC_Online. Big thanks to all the volunteers who made it happen!",27,45,Sun Mar 08 00:29:05 +0000 2015
"RT @Tungsten_Flight: First HTV5 flight specific sim. Fun to work with @Astro_Wakata on the ground for a change. @JAXA_jp @NASA_Johnson http…",56,0,Thu Feb 26 23:45:06 +0000 2015
"Great to work as Capcom in the first joint HTV5 sim with @Tungsten_Flight &amp; the control teams in Houston and Tsukuba! http://t.co/ohuZGws9j7",70,116,Thu Feb 26 23:40:34 +0000 2015
"RT @JAXA_jp: [ファン！ファン！JAXA！] [JAXA TV]【宇宙教育テレビ】宇宙飛行士と考える「放物線と直線運動の関係」 http://t.co/ixf0rQ0nC5",42,0,Wed Feb 18 05:19:33 +0000 2015
"@PC0101 Thank YOU for giving us great suggestions and information for taking earth observation photos on the ISS!",2,6,Wed Feb 18 02:00:05 +0000 2015
"Cool time-lapse video of thrusters firing during the departure of ATV-5 Georges Lemaître from the ISS on Saturday. https://t.co/a5wiJ73SZk",74,92,Wed Feb 18 00:14:14 +0000 2015
"RT @nhk_space: ☆あした何の日☆２０１４年２月１０日、ＩＳＳ滞在中の若田光一宇宙飛行士が４Ｋ超高精細・超高感度カメラで、夜のアメリカの他、昼間のインド、南米、アフリカ大地溝帯を撮影。ＣＦ「若田飛行士がみた“宇宙絶景”」はＮＯＤでご覧いただけます。http://t.…",43,0,Mon Feb 09 04:45:43 +0000 2015
"RT @astro_reid: #Maryland to #Maine at night. MT: “#AstroButch: '#sunrise touches #aurora. All we need now are angels singing.' https://t.c…",811,0,Sat Feb 07 19:22:30 +0000 2015
"RT @JAXA_en: Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/z…",168,0,Fri Feb 06 07:16:59 +0000 2015
"「きぼう」からブラジルの宇宙機関が開発した超小型衛星を放出。今回で「きぼう」からの超小型衛星放出は6回目（56基目）となりました。http://t.co/zGoMw6EqRb http://t.co/z317yEEveA",197,218,Fri Feb 06 06:25:31 +0000 2015
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7162,0,Wed Jan 28 20:57:44 +0000 2015
"It was an honor to participate in the 2015 Astronaut Ellison Onizuka Science Day at UH Hilo.  Big thanks to all who supported the events!",30,60,Mon Jan 26 01:09:38 +0000 2015
"RT @AstroTerry: Moon setting almost immediately after the sun, at just 3% illumination http://t.co/dSRzq5X2oJ",3003,0,Thu Jan 22 15:10:17 +0000 2015
"週刊若田のISSツアー（全3編）です。ISSの中の様子をじっくりお楽しみ下さい。   前編:http://t.co/kQ6LWqQHde、中編:http://t.co/JFbCrLY642   、後編:http://t.co/a5L3LHcaTX",222,499,Mon Jan 19 18:36:43 +0000 2015
"Space Navi@Kibo 星出宇宙飛行士との特別対談企画　第2夜です。: http://t.co/5o4c1JAiMO via @YouTube",92,144,Fri Jan 16 12:05:27 +0000 2015
"ISS内での有毒なアンモニア漏れの恐れがあったためクルーはロシア区画に避難していましたが、誤報である事がわかりました。緊迫した一日でしたが無事で何よりです。https://t.co/UTRQGZ1ZkP",319,217,Wed Jan 14 23:22:14 +0000 2015
"RT @Tungsten_Flight: “Earth is alive with energy! Massive lightning display across #Africa seen in this #SpaceVine” #AstroButch https://t.c…",149,0,Mon Jan 12 23:43:15 +0000 2015
"@0space0 応援有難うございます。SFUの写真を拝見しますと、とても懐かしく感じます。",2,11,Mon Jan 12 02:37:11 +0000 2015
"RT @NASA: The @Space_Station is easy to see if you know when to look up. See when it's flying over you: http://t.co/ALrzz92zUW http://t.co/…",1144,0,Mon Jan 12 00:09:18 +0000 2015
"19 years ago today STS-72 launched on Endeavour. Vividly remember the incredible views &amp; acceleration during ascent. http://t.co/wWbeaZwYjP",254,488,Sun Jan 11 15:06:51 +0000 2015
"「宇宙から見たオーロラ展2015」開催中です。入場無料。ISS滞在中に私が撮影したオーロラの写真も展示されています。http://t.co/Jdx1TFaWWr http://t.co/8bYSBXbSds",577,768,Fri Jan 09 18:54:26 +0000 2015
"RT @NASA: Full moon setting as seen by @AstroTerry from the @Space_Station. http://t.co/oYSqLxJitL",3224,0,Thu Jan 08 04:46:54 +0000 2015
"NASA T38練習機による操縦訓練を再開しています。今日はメキシコ湾上空の訓練空域で失速状態からのリカバリーやエンジン停止時などの対応について教官パイロットとレビューを行った後、夜間の操縦訓練を実施し、明朝は技量試験に臨みます。 http://t.co/r5Mo1frgAo",367,556,Thu Jan 08 04:43:23 +0000 2015
"@Yano_Akiko 矢野さん、いつも有人宇宙活動を応援して下さり有難うございます。益々のご活躍をお祈りします！",5,18,Tue Jan 06 23:12:25 +0000 2015
"Great to visit Steve Cole's farm in Alvin, TX. His tasty oranges were launched on #SpaceX-3 to us on ISS last April. http://t.co/xk7rjYnSJA",51,110,Tue Jan 06 23:04:24 +0000 2015
