tweet,retweetsCount,favoritesCount,timestamp
"RT @ValaAfshar: “How wonderful it is that nobody need wait a single moment before starting to improve the world.” ― Anne Frank  #Internatio…",33,0,Sun Mar 08 21:24:47 +0000 2015
"RT @Space_Station: #HappyInternationalWomensDay to our women living and working aboard the #ISS, Elena Serova and @AstroSamantha! http://t.…",1396,0,Sun Mar 08 21:12:08 +0000 2015
"#BluePlanet Poetry: 'Once you have seen the morning light as magic, you will always see the morning light as magic.' http://t.co/nyFnHROujk",77,111,Sun Mar 08 00:09:55 +0000 2015
"So excited to be joining you! @DRIVExchange Sharing stories from space &amp; lessons learned in leadership! See you soon! http://t.co/YsQDkutzfK",62,109,Sat Mar 07 16:13:34 +0000 2015
"Thank you, Rachel! @MrsWolffCreates Also follow: @ESA_Rosetta @NASA_Dawn &amp; @NASANewHorizons for science, space travel &amp; adventure! #askNASA",1,5,Sat Mar 07 15:46:08 +0000 2015
"Thank you, Katie! @KatieMarshall__: #FF 'Earth is a fragile oasis in a vast and empty sea.' 🌍 https://t.co/ylwa6jcjOt http://t.co/gvkyP75rGl",26,37,Sat Mar 07 15:37:13 +0000 2015
"RT @crpokhrel: Everest &amp; Peaks, at sunset, from #ISS, 2014/11/01, 16:58:18 NST, 200-mm, #Exp41 @AstroDocScott @Astro_Wheels http://t.co/fDM…",33,0,Sat Mar 07 15:33:13 +0000 2015
"#Flashback to 'Rock'Em Sock'Em Robots' MT: @crpokhrel: #STS120: @Astro_Wheels &amp; @AstroDocScott http://t.co/YPw2DQTac0 http://t.co/6QKGwB27b0",3,12,Sat Mar 07 15:30:21 +0000 2015
"Thank you, Rachel! @MrsWolffCreates @KSzajner @DrStaubSTEM @Gregbagby @wkrakower @justintarte @bradmcurrie @ClssroomFreebie @theOCBlog",0,2,Sat Mar 07 15:21:47 +0000 2015
"Beautiful art @DanielMcVey! MT @earthskyscience: Full Moon rising over Breckenridge, Colorado. http://t.co/2StxInTmS6 http://t.co/Nb6pcBYXYO",16,30,Sat Mar 07 15:17:32 +0000 2015
"RT @CommanderMLA: С днем рождения! МТ @ShuttleAlmanac Happy Birthday Valentina Tereshkova. First woman in Space, June 1963. http://t.co/pN5…",138,0,Fri Mar 06 11:31:02 +0000 2015
"#tbt Our freezer on the #ISS - 'MELFI'. Unfortunately, no Astronaut Ice Cream... ;-) https://t.co/zAN3XCbjKT #askNASA http://t.co/XJSp3LFZwI",39,59,Thu Mar 05 20:27:00 +0000 2015
"RT @NASA: Our @NASA_Dawn mission will be the 1st to visit a dwarf planet when it orbits #Ceres Friday: http://t.co/49tIUjqOj2 http://t.co/x…",975,0,Thu Mar 05 18:36:56 +0000 2015
"RT @ingallsimages: Star City, Russia. #iphone #billingalls #snow #church @ Центр Подготовки Космонавтов, Звездный Городок https://t.co/yeEX…",17,0,Thu Mar 05 14:54:46 +0000 2015
"Celebrating flight in #Seattle! Joining @DRIVExchange and sharing 'Stories from Space' at @museumofflight #DRIVE2015 http://t.co/O0gO3xIP2a",12,30,Wed Mar 04 18:41:46 +0000 2015
"RT @AstroDocScott: Talking about Doug 'Courtesy of NASA' Wheelock's great pic! @Astro_Wheels http://t.co/RtGSyUYVRP",11,0,Wed Mar 04 15:33:34 +0000 2015
"Thank you! Wonderful memories from space! Greetings to all our friends in Italy! MRT @TeoBrex: http://t.co/xPhn0tDE6D http://t.co/xOYiR6OnTG",20,38,Wed Mar 04 15:31:12 +0000 2015
"RT @RoundRockISD: @RobertsonElem  students connect to space via #Twitter to @Astro_Wheels https://t.co/TycPgTsMDN http://t.co/xaCYTj7bSW",7,0,Tue Mar 03 17:11:48 +0000 2015
"RT @MrsWolffCreates: Gr 2/3 class tweets with Astronauts! @UCDSB #asknasa @timrmills @astro_wheels @CarollDweck #edtechchat @wonderopolis h…",4,0,Tue Mar 03 15:13:01 +0000 2015
