tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA_Johnson: #SXSW: Ellen Ochoa talks @ISS_Research off the Earth, for the Earth &amp; upcoming #YearInSpace: http://t.co/TCCPlOJppG http:…",19,0,Mon Mar 16 18:56:17 +0000 2015
"RT @NASApeople: Want to Become an Astronaut!? @NASA is the place to be! Visit to find out more. http://t.co/e6rAPypFve  #STEM #NASA http://…",106,0,Mon Mar 16 17:29:05 +0000 2015
"RT @NASA_Johnson: At #SXSW? We are 3D printing mini-astronauts! Come by the @NASA exhibit for a chance to win one! #NASASXSW http://t.co/jR…",47,0,Mon Mar 16 17:28:58 +0000 2015
"RT @allisonkkelly: The latest @timeforkids features @StationCDRKelly &amp; @ShuttleCDRKelly, including a great photo of them at age 3. http://t…",38,0,Mon Mar 16 17:27:56 +0000 2015
"RT @AstroSamantha: Want to know more about TripleLux experiment ? Here are some details: http://t.co/PW54JiA9Ge &amp; http://t.co/uBJc4WVEac",58,0,Mon Mar 16 17:23:26 +0000 2015
"RT @AstroSamantha: Reinstalling centrifuge rotors after maintenance on Biolab facility this morning: ready for the TripleLux experiment! ht…",191,0,Mon Mar 16 17:23:23 +0000 2015
"@SeBoPoland @NASA_Astronauts @astro_reid Not sure in this case, but may have been similar to NeuroArm: http://t.co/gvDn2emnpn",1,0,Mon Mar 16 04:17:00 +0000 2015
".@NASA_Astronauts @astro_reid Another technology that has saved lives is robotic surgery based on @CSA_asc CanadArm: http://t.co/gvDn2emnpn",48,51,Mon Mar 16 04:15:50 +0000 2015
"RT @NASA: How big is the @Space_Station? Fly 200 feet through the @Space_Station with @astro_reid: https://t.co/S3W5eurmij http://t.co/YFhA…",1012,0,Sun Mar 15 21:35:39 +0000 2015
"@MrFasthorse @Space_Station @NASA_SLS @astro_reid @Maxmaps If it's just green food dye in water, would you be disappointed?",0,0,Sun Mar 15 21:34:06 +0000 2015
