tweet,retweetsCount,favoritesCount,timestamp
"[Topics in Your Area] Sky-High Perspective Using JAXA's precision satellite technology to assess natural disasters http://t.co/PwwNABKA16",5,6,Mon Mar 16 00:53:04 +0000 2015
"[Special] JAXA’s Satellites: Studying Life on Earth from the Sky http://t.co/OpxGs9wH1x",5,8,Fri Mar 13 08:19:04 +0000 2015
"[Topics in Your Area] Sky-High Perspective Using JAXA's precision satellite technology to assess natural disasters http://t.co/iRmLHiAryn",4,4,Fri Mar 13 07:45:04 +0000 2015
"Japan in Space - Rising to the Challenge -: https://t.co/WclkRcpSb1 via @YouTube",5,8,Fri Mar 13 00:23:19 +0000 2015
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, January 2015 http://t.co/Pc66f2rVDb",3,7,Wed Mar 11 01:17:05 +0000 2015
"[release] Hayabusa2 Moving to Cruising Phase while heading to Asteroid 1999 JU3 http://t.co/j8rHgzvoXm http://t.co/JmBMPtYN8Y",17,11,Fri Mar 06 06:32:34 +0000 2015
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference February 2015 http://t.co/jGJailEL6V",4,6,Fri Mar 06 05:55:05 +0000 2015
"[release] Mutual Cooperation Agreement between Japan Aerospace Exploration Agency and Japan… http://t.co/0AycuH7U5x http://t.co/LBZi1Icqhz",9,12,Thu Feb 19 03:33:28 +0000 2015
"[International Space Station (ISS) / Kibo Site] ISS R&amp;D Conference 2015 (July 7-9, 2015, in Boston) http://t.co/sjsOkDKxD4",7,5,Wed Feb 18 06:11:05 +0000 2015
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference January 2015 http://t.co/XYWQEZZtVQ",3,9,Tue Feb 10 08:23:50 +0000 2015
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, December, 2014 http://t.co/dGLlcKuwwM",10,8,Fri Feb 06 06:44:05 +0000 2015
"[release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/mB0v9NMBaV http://t.co/6dBIofwAAJ",42,32,Fri Feb 06 05:58:04 +0000 2015
"[release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/pW36uI6Lt8 http://t.co/JJvIGoVjsU",25,15,Fri Feb 06 05:27:36 +0000 2015
"[Aerospace Research and Development Directorate] Component catalog http://t.co/DcB2lTEyH2",5,5,Fri Feb 06 04:39:04 +0000 2015
"[International Space Station (ISS) / Kibo Site] Brazilian AESP-14 CubeSat was deployed from Kibo http://t.co/wEpvoRmaXs",11,10,Fri Feb 06 02:05:17 +0000 2015
"Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/zhzDwfYgY1",168,187,Thu Feb 05 13:45:46 +0000 2015
"[New Enterprise Promotion Center] JAXA Showcased the latest technologies available for Industry at the APRSAF-21 http://t.co/jbuChPGiA2",7,5,Thu Feb 05 02:46:05 +0000 2015
"[Topics in Your Area] CubeSat deployment from Kibo http://t.co/3Z6eFq9QXj",7,12,Wed Feb 04 07:53:59 +0000 2015
"[Satellites and Spacecraft] Hayabusa2 in great shape – Initial functional confirmation going smoothly #hayabusa2 http://t.co/ao0ijuoxAu",22,13,Tue Feb 03 08:47:04 +0000 2015
"[Institute of Aeronautical Technology] Numerical analysis technology http://t.co/MEchShRVn7",2,2,Thu Jan 29 02:50:11 +0000 2015
"[Earth Observation Research Center (EORC)] ALOS-2/CIRC data is open to public! http://t.co/bf5OMxqXD4",13,8,Thu Jan 29 02:50:05 +0000 2015
"[Special] Interview: Thomas Djamaluddin, Chairman of the LAPAN, Using Space Science to Solve Problems Across the… http://t.co/HHVKR0X8DD",6,4,Tue Jan 27 06:06:04 +0000 2015
"[Institute of Aeronautical Technology] [FEATHER] JAXA begins flight tests on its electric propulsion system for… http://t.co/wdz0TcduEg",8,9,Thu Jan 22 00:33:13 +0000 2015
"[Topics in Your Area] SSPS to be exhibited at JAXA booth at WFES2015 (in Abu Dhabi) http://t.co/8LWxa1ISmr",9,8,Tue Jan 20 09:16:04 +0000 2015
"[Topics in Your Area] SSPS to be exhibited at JAXA booth at WFES2015 (in Abu Dhabi) http://t.co/C29YWys2Zi",3,4,Fri Jan 16 03:55:07 +0000 2015
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, November, 2014 http://t.co/0FGmoCaUID",5,5,Fri Jan 16 03:55:07 +0000 2015
"[Organization] JAXA Organization Chart (As of January 1, 2015) http://t.co/RCElPKRrHf",4,3,Wed Jan 07 00:44:32 +0000 2015
