tweet,retweetsCount,favoritesCount,timestamp
".@NASA_Hubble is turning 25 this April! Check out #Hubble25 events &amp; info on images: http://t.co/y93ODdmzgN http://t.co/kirHnmpd6N",10,7,Mon Mar 16 18:40:36 +0000 2015
"Day 2 #SXSW #SLS fun fact of the day: the actual rocket is 50 times the size of this model. Now that's a big rocket! http://t.co/XTq2ou2kRX",28,46,Mon Mar 16 15:49:34 +0000 2015
"RT @NASAPrize: You don't have to be a rocket scientist to be a space explorer - #NASASXSW prizes panel talk",13,0,Sun Mar 15 20:46:22 +0000 2015
"Gene Cernan, the last man to walk on the moon, visits the NASA area @sxsw and talks to space enthusiasts.  #NASASXSW http://t.co/ZCtUfIZcyp",24,36,Sun Mar 15 19:13:00 +0000 2015
"@NASA's Michelle Tillotson and Nick Case speak to SLS enthusiasts at the #SXSW #NASASXSW booth. #journeytomars http://t.co/57rl1C5GcK",1,12,Sun Mar 15 16:04:13 +0000 2015
"I want to build our astronauts a great ship &amp; I'm looking forward to the day that SLS makes that a reality. T. May #SXSW #NASASXSW",24,25,Sat Mar 14 22:48:11 +0000 2015
"So how we do get to Mars? This rocket, the Space Launch System, is how we will go on the #JourneyToMars. #SXSW - May http://t.co/rGZGvfYSJQ",21,20,Sat Mar 14 22:20:13 +0000 2015
"#ISS is a test bed for future missions &amp; we are going to learn a lot from the year Scott Kelly will spend there- May http://t.co/0Mi01jJujg",13,27,Sat Mar 14 22:17:23 +0000 2015
"Mars is tough. It's going to take a journey &amp; it's going to take steps - T. May #NASASXSW #SXSW2015 http://t.co/5g82OyPFLW",7,15,Sat Mar 14 22:06:38 +0000 2015
"Packed house for Todd May's talk @sxsw - 'we are on a #JourneyToMars' #NASASXSW #SLS http://t.co/Gyb9fUI16C",2,9,Sat Mar 14 21:58:40 +0000 2015
"RT @SLS_Trey: It's coming together!  #sxsw!  Come see us at the NASA booth tomorrow!  #slsinspires @NASA_SLS #NASASXSW http://t.co/cTR35LRy…",2,0,Sat Mar 14 20:28:14 +0000 2015
"Todd May #journeytomars @5pm today @sxsw - http://t.co/qnwJ64pkpH #NASASXSW #SXSW2015 #SLSFiredUp",6,11,Sat Mar 14 19:59:41 +0000 2015
"Setting up the @NASA booth @sxsw &amp; getting ready for #SLS's Todd May to speak at 5pm on the #journeytomars! #NASASXSW http://t.co/VyrmzDeGnL",18,24,Sat Mar 14 18:59:21 +0000 2015
"RT @NASAJPL: Nerd out with us on the #PiDay of the century! Try to solve these 4 Pi challenges http://t.co/1iQ5LnCGSS http://t.co/RYrQpNkTrl",877,0,Sat Mar 14 14:59:05 +0000 2015
"These future astronauts from NYC Public School got #SLSFiredUp watching the booster test! Thanks for the support! http://t.co/1xyAAv0JK3",17,27,Sat Mar 14 14:37:26 +0000 2015
"RT @NASA_Johnson: New #JourneyToMars Museum Kit on NASA Museum Alliance website. Not a member? Join today! http://t.co/KsC1BN020L http://t.…",46,0,Fri Mar 13 18:21:21 +0000 2015
"SLS will be part of the 2015 @sxsw South by Southwest festival! Details here: http://t.co/nDMC0nbxc3 #SXSW #SXSW2015 http://t.co/bs9aT2Iqbd",8,11,Fri Mar 13 17:32:48 +0000 2015
"RT @NASA: 'America's space program is not just alive but thriving,' #NASA Administrator Charles Bolden #JourneyToMars http://t.co/01UFELoGhd",814,0,Thu Mar 12 20:20:42 +0000 2015
"Gorgeous photo from @AmericaSpace of yesterday's booster test. #SLSFiredUp #JourneytoMars http://t.co/ixfJWZ4VLa",19,43,Thu Mar 12 20:17:24 +0000 2015
"RT @OrbitalATK: See @derekdeville's cool vid of @NASA_SLS #QM1 rocket test - unfortunately, ended up with melted #GoPro #SLSFiredUp: http:/…",12,0,Thu Mar 12 18:05:42 +0000 2015
"What's next for #SLS? Stay tuned to our webpage. #SLSFiredUp http://t.co/YnywocqzNB",12,16,Thu Mar 12 13:55:49 +0000 2015
"RT @AerojetRdyne: Congrats @NASA_SLS &amp; @OrbitalATK! We're #SLSFiredUp! Looking forward to RS-25 engine test later this year. http://t.co/8P…",21,0,Wed Mar 11 19:17:09 +0000 2015
"Miss the #SLS booster test, or just want to see it again? Watch here: http://t.co/62WncXNleN #SLSFiredUp #JourneytoMars",65,30,Wed Mar 11 18:56:55 +0000 2015
".@NASASocial group post-test. 'I didn't know a lot about the SLS Program. But now that I do...WOW. #SLSFiredUp http://t.co/OA3fanaC2W",40,68,Wed Mar 11 18:14:12 +0000 2015
".@NASA #SLS Booster Passes Major Ground Test: http://t.co/JJkKzMb1it #SLSFiredUp #JourneytoMars http://t.co/gh7LTDYXIt",111,116,Wed Mar 11 17:21:33 +0000 2015
"Priskos: I'm really looking forward to the second booster qualification test. We're already preparing for it. #SLSFiredUp #JourneytoMars",3,11,Wed Mar 11 16:59:35 +0000 2015
"#SLS Boosters Mgr Alex Priskos: We couldn't be happier with what we know so far. Today was about as successful as you can get. #SLSFiredUp",15,13,Wed Mar 11 16:53:29 +0000 2015
"RT @ClarkPlanet: The plume from the ATK test was 2/3 the temperature of the sun! #SLSFiredUp #NASASocial @OrbitalATK http://t.co/lLBzDcTCxt",27,0,Wed Mar 11 16:42:50 +0000 2015
"Amazing crowd today at the public viewing area. Thanks for joining us on the #JourneytoMars! #SLSFiredUp http://t.co/U5ZdiNAayh",35,42,Wed Mar 11 16:39:25 +0000 2015
"RT @SpaceCenterHou: We were 'blown away' by the @NASA_SLS booster test! Congrats to the testing team! #slsfiredup http://t.co/jN2knBchI5",13,0,Wed Mar 11 16:02:05 +0000 2015
"RT @NASA: Booster test for @NASA_SLS complete. Teams are reviewing the data. This was a step on our #JourneyToMars. #SLSFiredUp http://t.co…",896,0,Wed Mar 11 15:53:42 +0000 2015
"That's how you make smoke and fire, baby! Yeah! #SLSFiredUp #JourneytoMars http://t.co/oUsB0WrOJu",304,328,Wed Mar 11 15:36:57 +0000 2015
"T-minus 3 minutes! #SLSFiredUp",18,18,Wed Mar 11 15:27:02 +0000 2015
"RT @NASA: LIVE Now: @NASA_SLS booster test NASA TV coverage. #SLSFiredUp starts at 11:30am ET. Watch: http://t.co/KX5g7zfYQe http://t.co/UR…",401,0,Wed Mar 11 15:14:53 +0000 2015
"RT @OrbitalATK: T-15 min and holding. This is a scheduled hold. #SLSFiredUp @NASA_SLS",16,0,Wed Mar 11 15:11:30 +0000 2015
"RT @OrbitalATK: Live coverage of today's 5-segment booster static test has begun. http://t.co/8qyalmezqi #SLSFiredUp @NASA_SLS",18,0,Wed Mar 11 15:10:54 +0000 2015
"RT @OrbitalATK: Personnel have cleared the test bay. We T-34 min and counting #SLSFiredUp @NASA_SLS",11,0,Wed Mar 11 14:58:28 +0000 2015
"@jrsofty @NASA @OrbitalATK The sand on the test stand does.",0,0,Wed Mar 11 14:57:22 +0000 2015
"@NEVIE_JOHN @OrbitalATK It will be live on NASA TV and Ustream at 9:30 a.m. MDT/11:30 a.m. EST.",1,0,Wed Mar 11 14:56:58 +0000 2015
"RT @NASASocial: What is the qualification motor test for @NASA_SLS? Get schooled: http://t.co/5yrnzBySra.  #SLSFiredUp #JourneyToMars http:…",28,0,Wed Mar 11 14:54:01 +0000 2015
"RT @OrbitalATK: All test bay prep is complete. Everything is nominal for our 9:30 am MST QM-1 static test. #SLSFiredUp @NASA_SLS",15,0,Wed Mar 11 14:51:14 +0000 2015
"RT @NASA_Marshall: This is the rocket for our #JourneyToMars and we are getting ready for today's @NASA_SLS booster test @OrbitalATK. http:…",65,0,Wed Mar 11 14:48:30 +0000 2015
"RT @NASA: Smoke &amp; fire! Watch @NASA_SLS booster test at 11:30am ET. Live coverage at 11am: http://t.co/KX5g7zfYQe #SLSFiredUp http://t.co/w…",201,0,Wed Mar 11 14:23:10 +0000 2015
"RT @MackBradley: Testing the worlds largest solid rocket evidently merits a party, with music. #slsfiredup http://t.co/yb58MI5vV1",6,0,Wed Mar 11 14:22:12 +0000 2015
"#SLS is ready in the public viewing area for the booster test! If you are in the area, come see us! #SLSFiredUp http://t.co/4o6ATryU51",9,14,Wed Mar 11 14:20:33 +0000 2015
"RT @AerojetRdyne: .@NASA_SLS booster test monitoring new foam nozzle plug to see how it breaks apart to ensure it is safe for @AerojetRdyne…",4,0,Wed Mar 11 13:50:12 +0000 2015
"Get fired up for today's booster test with this video from @OrbitalATK: https://t.co/EfYH4VAU2j #SLSFiredUp #JourneytoMars",81,139,Wed Mar 11 13:13:25 +0000 2015
"RT @bnjacobs: .@NASA_SLS's Todd May w/ @OrbitalATK team before this morning's scheduled booster test #JourneyToMars via @schierholz http://…",28,0,Wed Mar 11 11:55:05 +0000 2015
"Interesting fact: When the booster fires, all this sand that protects the concrete will turn to glass. #SLSFiredUp http://t.co/GP9sU775Xr",89,64,Wed Mar 11 11:54:49 +0000 2015
"Watch our major booster ground test live today on NASA TV and Ustream. #SLSFiredUp http://t.co/C2RTJnJrpa",58,37,Wed Mar 11 11:40:40 +0000 2015
"Good morning from the @OrbitalATK test stand! This booster is ready to get #SLSFiredUp! #JourneytoMars http://t.co/95pNld9zNT",122,130,Wed Mar 11 11:32:35 +0000 2015
"RT @OrbitalATK: Check out a few photos from today's #NASASocial #SLSFiredUp on our Flickr account https://t.co/TGwVrd7gCq More to come tomo…",13,0,Tue Mar 10 22:20:21 +0000 2015
