tweet,retweetsCount,favoritesCount,timestamp
"RT @CassiniSaturn: Groovy Monday! Saturn's rings look solid, but up close we see varied structures. http://t.co/2goXBKujFh http://t.co/8Sqc…",498,0,Mon Mar 16 17:35:05 +0000 2015
".@NASA_Hubble is turning 25 this April! Check out our #Hubble25 events &amp; info on images: http://t.co/NQEdWK8twS http://t.co/bomAxH4qmg",752,1022,Mon Mar 16 16:50:04 +0000 2015
"Help us discover new asteroids! New asteroid hunting software now available: http://t.co/VjdNGgj0q1 @asteroidgc http://t.co/Jfvt94qmDb",577,725,Mon Mar 16 15:34:22 +0000 2015
"RT @AstroSamantha: A magnificent collision of colors on the Earth horizon #HelloEarth / (IT) Una magnifica collisione di colori. http://t.c…",884,0,Mon Mar 16 14:39:11 +0000 2015
"RT @AstroTerry: A (mostly) sunny spring day in Italy, from the north down to #Sicily. http://t.co/x7Px36E8hA",1174,0,Sun Mar 15 19:59:45 +0000 2015
"How big is the @Space_Station? Fly 200 feet through the @Space_Station with @astro_reid: https://t.co/S3W5eurmij http://t.co/YFhAEXh8uH",1011,1231,Sun Mar 15 18:15:24 +0000 2015
"#ICYMI: What happened this week @NASA? Watch and discover: http://t.co/6hYxR7W97R [video] http://t.co/syRtNAVtq7",392,700,Sun Mar 15 17:44:24 +0000 2015
"RT @AstroSamantha: Wish I was a geologist to read in this picture some of the history of our planet! http://t.co/XvSK7imDmN",1735,0,Sun Mar 15 13:13:36 +0000 2015
"Watch and discover what happened this week @NASA: [video] https://t.co/T9QBRDY57i",176,269,Sat Mar 14 19:07:12 +0000 2015
"Let It Go! Our @NASASMAP mission is almost ready to map frozen soil. Details: http://t.co/3iCc95P9ob #EarthRightNow http://t.co/jrtFLrnHsI",249,449,Sat Mar 14 17:45:14 +0000 2015
"Happy Pi Day! The date 3.1415 comes once-in-a-century. How scientists use this number: http://t.co/Vwluofpt6F #PiDay http://t.co/aLekewZE7C",3588,2556,Sat Mar 14 16:35:14 +0000 2015
