tweet,retweetsCount,favoritesCount,timestamp
"#Облака #МКС (#Clouds #ISS) #BlueDot http://t.co/unYE6PXpyS http://t.co/BmfbEKdBav",47,71,Fri Feb 27 23:52:17 +0000 2015
"#Пушкин встречает на #рассвет... #МКС (#Pushkin... The #Sunrise... #ISS) #BlueDot http://t.co/1EQ0uSZu0T http://t.co/TfRfIkgstU",58,67,Thu Feb 26 22:08:02 +0000 2015
"Каспийское море #МКС (#Caspian Sea #ISS) #BlueDot http://t.co/6Ew2mqAHBt http://t.co/GaMJDkcXin",55,69,Thu Feb 26 11:26:04 +0000 2015
"RT @Carbon_Flight: . @Astro_Alex &amp; @OlegMKS have a backup profession if space explorer doesn’t work out - catering #omnomnom http://t.co/3q…",4,0,Wed Feb 25 22:15:06 +0000 2015
"RT @ISS_Research: Welcome home #Exp 40 @astro_reid @Astro_Alex @Msuraev @OlegMKS #Swanny #Alexander with @Carbon_Flight http://t.co/JmwxAYf…",29,0,Wed Feb 25 22:14:00 +0000 2015
"@logunok можно, через пресс-службу роскосмоса - http://t.co/vvdqn4MtxD",0,0,Wed Feb 25 19:57:52 +0000 2015
"Чёрное море #МКС (Black Sea #ISS) #BlueDot http://t.co/r8x4FQt5PA http://t.co/PzOYeORjdq",55,56,Tue Feb 24 21:20:29 +0000 2015
"#Вулкан #Тятя, #остров #Кунашир #МКС (#Tyatya #Volcano, #Kunashir #Island #ISS) http://t.co/OU6Ku52lJV http://t.co/BIUPKBxpqH",70,73,Mon Feb 23 22:31:45 +0000 2015
"#Вулкан #Тятя, #остров #Кунашир #МКС (#Tyatya #Volcano, #Kunashir #Island #ISS) http://t.co/OU6Ku52lJV",8,6,Mon Feb 23 22:30:35 +0000 2015
"'Взвешивание' космонавтов на #МКС (Measuring the Cosmonaut's Weight on the #ISS) http://t.co/nxjZFtY9ff http://t.co/O5Hgpfl1zG",39,46,Thu Feb 19 23:04:48 +0000 2015
"Космонавт-испытатель Олег Артемьев принял участие в учениях ЦВО В Челябинской области - http://t.co/p5XiPjATZL http://t.co/uur9VM2GL9",23,28,Thu Feb 19 11:17:42 +0000 2015
"Средиземное море и #Гибралтар #МКС (Mediterranean Sea, Strait of #Gibraltar #ISS) #BlueDot http://t.co/ntEHKmyDq8 http://t.co/YfltSPJOya",62,57,Thu Feb 19 10:39:13 +0000 2015
"#Гавайские острова #Ланаи и #Мауи (#Hawaiian Islands Lana'i &amp; #Maui) #BlueDot http://t.co/sR0NvsMs2D http://t.co/xcQgw01cyI",29,42,Tue Feb 17 23:41:58 +0000 2015
"Города мира - Нью-Йорк, #США  #МКС (Cities of the World - New York, #USA #ISS)  #BlueDot http://t.co/rOt3kb95hs http://t.co/YkcsuoqYBr",27,35,Mon Feb 16 22:45:39 +0000 2015
"#Турция, Мраморное море и пролив #Босфор (#Turkey, #Sea of #Marmara &amp; #Bosphorus) #BlueDot http://t.co/4iR5NvYXps http://t.co/oGzRriLwAZ",32,41,Mon Feb 16 00:02:53 +0000 2015
"Визит в #СГАУ (#Самара) 24 ноября 2014 (Visit to #Samara. Nov. 24, 2014. only in rus) http://t.co/zHoNL7yrDd",6,9,Sun Feb 15 11:08:02 +0000 2015
"RT @riascience: «Эсквайр» перевел дневники астронавтов на МКС: http://t.co/UYGA3P0MWG оригинал: http://t.co/5jBUjQyy1X http://t.co/4gDjPv4E…",22,0,Sun Feb 15 09:57:31 +0000 2015
"Города #Россия — #Липецк #МКС (Cities in #Russia - #Lipetsk #ISS) #BlueDot http://t.co/fDqzMas1IA http://t.co/Wb1jT8ydRk",29,32,Sat Feb 14 22:08:29 +0000 2015
"Полное видеоинтервью Russia Touday 17 ноября 2014 г. (full interview to RT nov. 17 2014, only in rus) http://t.co/54JGUXt9aw",5,16,Sat Feb 14 21:08:31 +0000 2015
"@ruslan7tv через пресс-службу Роскосмоса",0,0,Fri Feb 13 12:49:16 +0000 2015
"#Залив #Аляска. #Остров #Кадьяк (Gulf of #Alaska. #Kodiak #Island) #BlueDot http://t.co/6IekpPCJfv http://t.co/OVSaGzKuMr",29,40,Thu Feb 12 23:21:45 +0000 2015
"Быт на  #МКС - Космическая зубная паста (Space Toothpaste #ISS) http://t.co/NavrMqxZKN http://t.co/XZKvoX1uEf",29,39,Thu Feb 12 00:13:14 +0000 2015
