tweet,retweetsCount,favoritesCount,timestamp
"RT @frazsazsa: “@repubblicait: Spazio, 50 fa la 1a passeggiata di Leonov http://t.co/AUuCP6nvos http://t.co/FI0Q0eu3Cd” @astro_luca si parl…",9,0,Mon Mar 16 18:27:26 +0000 2015
"@MightyFine89 @AstroTerry I hope he mentioned mine for him!",0,1,Mon Mar 16 13:25:06 +0000 2015
"@MasaCritit @AstroTerry @Astro_Nicole no",0,1,Mon Mar 16 12:31:39 +0000 2015
"@franky260401 sulla mia pagina Facebook pubblica o tramite esa",0,0,Mon Mar 16 12:31:16 +0000 2015
"@publidipa ieri. 4 ore",0,2,Mon Mar 16 12:30:39 +0000 2015
"@Fiorello @lorenzojova sì, ditemi pure... :)",4,18,Mon Mar 16 12:26:01 +0000 2015
"@AstroSamantha @AstroTerry anche perché siete rimasti in due ;)",8,46,Mon Mar 16 12:23:55 +0000 2015
"RT @ASI_spazio: Hubble ha evidenziato la presenza di un oceano sotterraneo su Ganimede, la più grande luna di Giove http://t.co/IeeIjsxIah",18,0,Mon Mar 16 12:22:15 +0000 2015
"RT @angelitakiz: @astro_luca ahahah io lo immagino proprio così. Altro che km e resistenza, la vera difficoltà è questa, ammettilo! :D http…",3,0,Sun Mar 15 12:50:11 +0000 2015
"RT @frazsazsa: Una presenza che ad una mostra di astronomia non può + mancare, @astro_luca a Santa Maria di Sala(Ve) c'eri anche tu! http:/…",10,0,Sun Mar 15 00:20:27 +0000 2015
"@katkil then we'd make excellent soup...",0,0,Sun Mar 15 00:19:40 +0000 2015
"@camurriusa eh, sì...",0,1,Sun Mar 15 00:18:38 +0000 2015
"RT @tudelft: Happy Pi-Day everyone! The date of today, 3/14/15, at 9:26:53, is an approximation of pi. http://t.co/70XD4zn8GG",678,0,Sat Mar 14 11:39:35 +0000 2015
"@_AnnaPi sì!",0,2,Fri Mar 13 20:08:58 +0000 2015
"@bushofficial @astro_timpeake @NASA it was fun meeting you guys!",1,0,Fri Mar 13 03:00:41 +0000 2015
"@camurriusa :)",0,3,Thu Mar 12 22:51:14 +0000 2015
"@MaBaker_No1 :)",0,1,Thu Mar 12 14:54:17 +0000 2015
"@CltOff about 6hrs from undock to touchdown. There should be an animation available on the net.",0,0,Thu Mar 12 14:53:06 +0000 2015
"@angelitakiz :)",0,2,Wed Mar 11 16:28:09 +0000 2015
"@ANTONINOPORTO riguardo cosa?",0,1,Wed Mar 11 16:27:53 +0000 2015
"@camurriusa ha!",0,4,Wed Mar 11 16:26:43 +0000 2015
"@frazsazsa di solito, su un caccia, di vola ben legati. Se no, il volo parabolico è identico.",0,3,Wed Mar 11 16:26:06 +0000 2015
"@frazsazsa certo. Anche quella dell'ISS è una caduta libera. Costante.",0,5,Wed Mar 11 16:25:24 +0000 2015
"@Clenpalmy8 dipende da dove si trova l'ISS in quel momento.",0,1,Wed Mar 11 16:24:32 +0000 2015
"@angelitakiz magari altrove",0,1,Wed Mar 11 16:23:28 +0000 2015
"@camurriusa @frazsazsa altro titolo? 'Mai in Papuasia' :)",0,8,Tue Mar 10 11:35:45 +0000 2015
"RT @projhermes: @astro_luca I'm 15 years old and launching a space balloon campaign on @kickstarter at: http://t.co/zhhm6jABti  Could you r…",16,0,Tue Mar 10 11:33:07 +0000 2015
"@xyz_87 @triomedusa @FTrentalance @radiodeejay ATV = Automated Transfer Vehicle? :)",0,2,Tue Mar 10 11:32:46 +0000 2015
"@alberto_bettini l'esa",0,0,Sun Mar 08 23:12:53 +0000 2015
"@verde_linfa ma certo! Mi spiace per il ritardo: buon compleanno! Bellissima torta :) - era anche buona?",0,2,Sun Mar 08 15:24:52 +0000 2015
"@angelitakiz ma dove le trovi? :)",0,4,Sun Mar 08 15:23:59 +0000 2015
"@camurriusa @publidipa sono solo quelle che mi entravano nella foto :)",0,3,Sun Mar 08 14:20:11 +0000 2015
"@publidipa no, ma ho queste http://t.co/GrxsplFosG",0,11,Sun Mar 08 02:27:28 +0000 2015
"@Rainmaker1973 a proteggere il Payload dietro.",1,0,Sat Mar 07 14:33:49 +0000 2015
"RT @Cristina__P: Ciao @astro_luca! Bella, semplice ed affascinante lezione ora su @TV2000it",2,0,Sat Mar 07 01:01:02 +0000 2015
"RT @letiziadavoli: Le stelle e la stazione spaziale raccontate da @letiziadavoli ai ragazzi de 'La Classe' ora su TV2000 @Astro_luca @ASI_s…",8,0,Sat Mar 07 00:58:30 +0000 2015
"RT @grazianoresta: I successi del futuro dipendono da quanto i Giovani investono oggi nello studio. Il msg di @astro_luca ... Un Grande! ht…",12,0,Sat Mar 07 00:57:45 +0000 2015
"RT @Astro_Andreas: Check out our cool Soyuz TMA-18 patch with crew Volkov and @SarahBrightman. Goes well with @esa #iriss patch ;-) http://…",72,0,Fri Mar 06 16:23:45 +0000 2015
"RT @angelitakiz: @astro_luca meraviglioso messaggio rivolto ai giovani. L'importanza e l'amore per lo studio, che conduce ai sogni. https:/…",5,0,Fri Mar 06 15:48:07 +0000 2015
"RT @ESA_Rosetta: Meanwhile, somewhere else in the Solar System: #CometWatch 28 February, 102km from #67P http://t.co/THPMF0Ddvn http://t.co…",354,0,Fri Mar 06 15:46:36 +0000 2015
"RT @Max_Bellisario: Buondì @astro_luca! A quanto pare, il 'gene di Ulisse' esiste davvero! Lo possiede il 20% della popolazione: http://t.c…",4,0,Fri Mar 06 12:30:11 +0000 2015
"@alebart9 grazie di averlo letto",0,0,Fri Mar 06 12:24:23 +0000 2015
"RT @TeoBrex: Prima lezione del corso d'introduzione alla Speleologia archiviata Grazie per avermi ispirato @astro_luca @ESA_CAVES  Il viagg…",4,0,Fri Mar 06 12:24:00 +0000 2015
"@johnamayfield @visionmy !!!!!",0,0,Fri Mar 06 04:34:35 +0000 2015
"@Edo_Leonardi sì, e sono ancora lì.",0,6,Fri Mar 06 04:29:52 +0000 2015
"@crisinlaw a casa senza l'influenza è meglio :)",0,1,Thu Mar 05 12:20:21 +0000 2015
"@66ti29 potresti mandare la stessa richiesta all'ESA? (Insieme a un tuo indirizzo...)",1,0,Thu Mar 05 12:19:07 +0000 2015
"@Clenpalmy8 STS49?",0,2,Wed Mar 04 21:22:23 +0000 2015
"@t_aucone o la mia incontrando voi? ;)",3,14,Wed Mar 04 21:21:02 +0000 2015
"@ployd01 :)",0,0,Wed Mar 04 21:20:43 +0000 2015
"@camurriusa un asciugamano. Non si sa mai.",1,5,Wed Mar 04 21:19:53 +0000 2015
"@kikkiar direi che lui abita all'ultimo piano, però. Io al piano terra.",1,4,Wed Mar 04 15:05:25 +0000 2015
"@_liamneed I think it's fantastic how people take time to ask questions here!",3,7,Wed Mar 04 15:04:25 +0000 2015
"@LuciaTildeI :)",0,0,Wed Mar 04 15:02:33 +0000 2015
"@TeoBrex Le voci dei ragazzi.",1,5,Wed Mar 04 15:01:50 +0000 2015
"Incontrare per caso Gene Cernan al JSC e stringergli la mano: impagabile!",33,71,Tue Mar 03 18:02:22 +0000 2015
"@Astro_Melissa @AstroSamantha @esa @ESA_Italia @Paxi_ESAKids @AstronautAbby @Space_Station moltissimo :)",3,7,Tue Mar 03 12:22:38 +0000 2015
"@rugiada46 se ti fidi...",1,6,Tue Mar 03 12:22:05 +0000 2015
"@publidipa bisognerà chiedere a loro",0,2,Tue Mar 03 04:53:57 +0000 2015
"@Edo_Leonardi no",1,0,Mon Mar 02 18:25:18 +0000 2015
"@angelitakiz a me basta che sia sereno. E non mi riferisco alle condizioni meteorologiche :)",0,3,Mon Mar 02 14:59:46 +0000 2015
"@nicoammendola @FutureJobFest bisogna chiedere all'ESA, non a me :)",0,2,Mon Mar 02 14:58:48 +0000 2015
"@Astro_Katia bene, grazie!",1,1,Mon Mar 02 14:57:59 +0000 2015
"@AstroDolce @Isabellina26 @camurriusa @TeoBrex @Ma_Te_No @annamazzoleni @pinodifeo @frazsazsa @Maryanne77S @gloriagraizzaro @alexZalex_ HA!",3,9,Mon Mar 02 14:57:16 +0000 2015
"@bchute it's never too late",0,1,Mon Mar 02 14:56:40 +0000 2015
"@katkil I believe we graciously donated the wooden spoon to the Scottish team this year. They can keep it :)",1,2,Sun Mar 01 00:07:44 +0000 2015
"@katkil I'm really, really happy with the one we have!! #awesome @RugbyIta @sergioparisse Forza ragazziiiiiii!",1,2,Sat Feb 28 21:09:49 +0000 2015
"@HiLaRy________ non è stato un problema molto grave. Infatti utilizzeranno la stessa tuta anche la prossima volta.",0,0,Sat Feb 28 20:17:30 +0000 2015
"@HiLaRy________ nessun disturbo!",0,0,Sat Feb 28 18:35:06 +0000 2015
"@nepthvne molto",1,0,Sat Feb 28 17:36:39 +0000 2015
"@Fiorello ne conosco uno straordinario: quello che non ho usato.",18,79,Sat Feb 28 17:20:00 +0000 2015
"RT @Astro_Soichi: #PrinceWilliam : 'I wanted to be an astronaut rather than king' | via @Telegraph http://t.co/Ll8vlaanxi",75,0,Sat Feb 28 03:16:47 +0000 2015
"RT @NASA: Our @AstroIronMike Fincke &amp; @ESA's @Astro_Luca Parmitano mark the passing of Leonard Nimoy. Watch: http://t.co/VvYnVQTioF #RIPLeo…",661,0,Fri Feb 27 22:37:26 +0000 2015
"RT @HSchoolRadio1: Tra poco in onda l'intervista degli studenti del 'Galilei' di #Catania ad @astro_luca: stay tuned! #Elleradio http://t.c…",15,0,Fri Feb 27 22:36:05 +0000 2015
"@linkxvi @Cmdr_Hadfield no it was not",0,0,Fri Feb 27 22:36:00 +0000 2015
"RT @CSMAClubLife: @astro_luca @astro_luca  Thanks for doing the interview recently - please see results at  http://t.co/wPW5YD3ZUr @CSMAClu…",4,0,Fri Feb 27 22:34:56 +0000 2015
"https://t.co/FT4elM1YXb",49,47,Fri Feb 27 22:09:45 +0000 2015
"@LivianaG sì. Entrambe.",0,2,Fri Feb 27 22:08:41 +0000 2015
"RT @astro_timpeake: @Thom_astro Bon anniversaire  - here's a reminder of the days when u looked young &amp; carefree ;) 🍻 http://t.co/1SHNTMzMRj",5,0,Fri Feb 27 22:07:09 +0000 2015
"@SuperErmy @AstroTerry doveva essere davvero piccolo per nuotare in 15cc :)",0,4,Fri Feb 27 00:48:55 +0000 2015
"@Rainmaker1973 no, non lo è",0,1,Fri Feb 27 00:46:31 +0000 2015
"@sara_petrella @AstroTerry è un po' presto per sapere la causa esatta.",1,3,Thu Feb 26 18:09:47 +0000 2015
"@sara_petrella @AstroTerry no, del tutto diversa",1,3,Thu Feb 26 17:38:18 +0000 2015
"RT @NASA: #AstroButch captured a #spacewalk selfie with his reflection in @Space_Station radiator panel http://t.co/qrm0DzlVee http://t.co/…",632,0,Thu Feb 26 14:25:04 +0000 2015
"@electronic1957 sure: I haven't been n ESRIN in a while. I will sign them next time I'm there.",0,0,Wed Feb 25 20:41:32 +0000 2015
"RT @Lucri71: @astro_luca  tu ne hai da vendere ;-) e lo trasmetti anche a noi  grazie!!!!! http://t.co/ragD0cjyzk",32,0,Tue Feb 24 23:16:22 +0000 2015
"@AstroDolce buongiorno. Busy day.",1,4,Tue Feb 24 23:13:43 +0000 2015
"@t_aucone succede",0,2,Tue Feb 24 23:13:06 +0000 2015
"@angelitakiz un po' ovunque",0,1,Mon Feb 23 21:40:03 +0000 2015
"RT @AstroSamantha: And look at Mt. Etna covered in snow! E l'Etna imbiancato! #Italy http://t.co/SmeN4y0Pu3",1799,0,Sun Feb 22 21:41:17 +0000 2015
"@camurriusa @esa potrebbe anche essere Palmisano...",0,5,Sun Feb 22 19:39:49 +0000 2015
"Cose che faremmo di nuovo/ things we'd do again MT “@ItalianAirForce: Report #AeronauticaMilitare 2014 http://t.co/e0L95qek9x”",23,50,Sun Feb 22 13:23:30 +0000 2015
"@DenFYM oh, I see. No, we won't be flying together, but we can train together nonetheless.",0,2,Sat Feb 21 23:25:57 +0000 2015
"RT @Max_Bellisario: Airbus #A380 parked on Comet #67P for scale. Can you spot it? Imagine the little #Philae! Amazing picture by #Rosetta h…",264,0,Sat Feb 21 21:26:48 +0000 2015
"@DenFYM to what are you referring?",0,0,Sat Feb 21 21:26:02 +0000 2015
