tweet,retweetsCount,favoritesCount,timestamp
"@tylerw @yembrick absolutely. I'll tweet once it is up.",0,0,Mon Mar 16 18:00:02 +0000 2015
"A chance @NASA_Astronauts encounter @SXSW with @NASA_Hubble #spacewalking guru @SciAstro http://t.co/5HFuYAr43i",59,195,Sun Mar 15 23:35:36 +0000 2015
"@kaitlynsoares thanks Kaitlyn, good to meet you too!",2,2,Sun Mar 15 19:54:40 +0000 2015
"That voice was so familiar...I turned around and it was the one and only @Busyphilipps25 waiting to talk @SXSW !! http://t.co/Opo0Dk4H2i",31,184,Sun Mar 15 19:11:41 +0000 2015
"@AstroTerry got it right!  Woohoo!!",3,54,Sun Mar 15 14:55:28 +0000 2015
"@fmbutt now the pressure is on!",2,6,Sun Mar 15 14:54:06 +0000 2015
"If you're @sxsw swing by the #NASASocial Sunday afternoon. Or enjoy a fun talk during the day. Schedule here: http://t.co/br3PehgzpO",46,86,Sat Mar 14 20:56:59 +0000 2015
"A little nursery rhyme that I would sing during college @rpi to help me fall asleep: edx dy dx, edxdy, sine cosine tangent Pi, 3.14159",139,319,Sat Mar 14 15:44:15 +0000 2015
"@emersongreg great talking to you Greg. Swing by the Marriott on Sunday at 12:30!",2,4,Fri Mar 13 21:30:16 +0000 2015
"@AnthonyQuintano there is a NASA social on Sunday at 5. Swing by if you can.",1,3,Fri Mar 13 13:59:06 +0000 2015
"Heading west for #SXSW to talk #space http://t.co/qwojC6EImn",52,212,Fri Mar 13 12:38:32 +0000 2015
"RT @AstroKatie: Earth is a bit of a weirdo, wearing its ocean on the OUTSIDE. http://t.co/9Dm2tk2FA8 Nice post by @elakdawalla http://t.co/…",1140,0,Fri Mar 13 11:14:55 +0000 2015
"Water everywhere! MT “@NASA: Ganymede has an ocean, possibility of life:  http://t.co/sJ7ePUM6ic @NASA_Hubble http://t.co/aylOtTpTxD”",225,332,Fri Mar 13 01:04:35 +0000 2015
"@bushofficial - great to meet you as you floated through the US Lab!",1,2,Fri Mar 13 01:01:16 +0000 2015
"I believe Bill Ingalls @NASA took this of #AstroButch returning yesterday. Truly AMAZING SHOT Bill!! http://t.co/KAA5so9nAi",638,1039,Thu Mar 12 17:47:26 +0000 2015
"@ShuttleAlmanac it is amazing. You don't come 'back to reality' for a solid hour after that ride home!!",6,22,Thu Mar 12 02:48:29 +0000 2015
"No bigger adrenaline rush! “@ShuttleAlmanac: LIVE - #ISS crew of #SoyuzTMA14M #Exp41/42 - crew in their recliners http://t.co/KtVSet9oVI”",81,235,Thu Mar 12 02:44:23 +0000 2015
"@lauren_kate42 sorry!",0,4,Thu Mar 12 00:41:57 +0000 2015
"@FOREVERaJG24FAN it is wonderful to feel cold fresh air. Absolutely wonderful.",0,7,Wed Mar 11 23:46:40 +0000 2015
"Video from our re-entry last year @astro_alex @msuraev.  Godspeed #AstroButch https://t.co/smLs3pXCAR",352,749,Wed Mar 11 23:40:41 +0000 2015
"@mlm101 hopefully around 10pm",0,1,Wed Mar 11 21:18:50 +0000 2015
"My buddy #AstroButch heads home tonight. Watch on @nasa TV. Touchdown is planned for 1007 eastern U.S. time.",39,138,Wed Mar 11 19:05:52 +0000 2015
"@CourtneyPaints it is still fun to fly, in all forms.",1,6,Wed Mar 04 22:48:47 +0000 2015
"@FoodGrade I've flown close to 30 different aircraft through the years. But never an airliner.",2,7,Wed Mar 04 22:47:47 +0000 2015
"RT @NASA_Johnson: Tricia Mack was in disbelief when she got a call from @astro_reid on @Space_Station. Watch: http://t.co/0Zk7NiQDq7 #Women…",53,0,Wed Mar 04 22:44:06 +0000 2015
"@sterling2063 I think Thursdays look perfect ;)",1,2,Wed Mar 04 14:48:28 +0000 2015
"@ChrisCottaFish I think the 787 is roughly 10 feet at cruise. I used to watch the tiny F18 wings bend at high g loads in my mirrors.",0,4,Wed Mar 04 14:47:24 +0000 2015
"@AstroSamantha London and Paris look great. Nice shot Samantha!",9,55,Wed Mar 04 14:42:43 +0000 2015
"@EricAlkire @carlquintanilla nice! if I had more than 140 characters, I'd have mentioned thrust &gt; drag is marginally critical as well.",0,3,Wed Mar 04 14:41:31 +0000 2015
"@Jamie2090 haha!  I have a wicked tiny seat INSIDE thankfully.",1,4,Wed Mar 04 14:36:28 +0000 2015
"An almost imperceptible curve on the top of this wing will carry me to New Orleans today. Aerodynamics is amazing. http://t.co/gFRggTdz8N",124,428,Wed Mar 04 14:26:44 +0000 2015
"@luiz_otavio @PC0101 just make sure you know from which direction it will become visible. Should look like a bright airliner",1,5,Sun Mar 01 22:10:30 +0000 2015
"Vine compatible fish, swimming clockwise in an infinite circle. https://t.co/57GcMFqvri",132,338,Sun Mar 01 21:40:43 +0000 2015
"Time to go to Titan for a look around. @Cornell models a way for unearthly life to live. http://t.co/PYHvr1hWzd http://t.co/h0F5gfEX9s",107,195,Sat Feb 28 15:37:00 +0000 2015
"@MailOnline - watched this happening in person with @Astro_Alex - amazing stuff, thanks for the article.",3,9,Wed Feb 25 02:11:51 +0000 2015
"Watched this happening from #space - Sahara fertilises the Amazon with 182mil tones of DUST yearly http://t.co/DiKJlij1Zu via @MailOnline",114,162,Wed Feb 25 01:55:27 +0000 2015
"Jealous! @AstroTerry and #AstroButch are outside and looking good.  http://t.co/Q7tjuAHoOZ",555,894,Sat Feb 21 15:16:57 +0000 2015
"Thanks to everyone for the great #askAstroReid questions.  Keep following @AstroTerry and @AstroSamantha for their on orbit adventures.",68,248,Fri Feb 20 22:32:43 +0000 2015
"@TeacherNancyB watching the power of the weather systems on #Earth... hurricanes, lightning, wind storms.  Amazing.",1,10,Fri Feb 20 22:30:55 +0000 2015
"@juanmab of course!!  Loved that airplane.",0,5,Fri Feb 20 22:29:16 +0000 2015
".@STEMEdLauren great question. @NASA_Astronauts is composed of people who loved their professions. Scientists, pilots, teachers, doctors...",14,67,Fri Feb 20 22:28:56 +0000 2015
".@aliciamalchiodi I wanted to tweet about how it felt to be in #space. It was very fun for me to share the experience.",3,68,Fri Feb 20 22:28:03 +0000 2015
".@Clemengp @ghostofoplib HA! it involved foot restraints, a machine resembling a vacuum cleaner, and a good learning curve.",18,60,Fri Feb 20 22:27:05 +0000 2015
".@sethfewell floating and the view.  Can't beat the view.",3,53,Fri Feb 20 22:25:52 +0000 2015
".@DeepDish_ emergency training.  Hands down.",2,24,Fri Feb 20 22:25:21 +0000 2015
".@emilner we have a very slow internet connection, but reliable email.  Email was the preferred way to get info.",5,46,Fri Feb 20 22:24:58 +0000 2015
".@phillsheppard exhilarating. Nothing like a 3000 degree fireball for a few minutes at 5G and a parachute descent to a controlled crash.",49,123,Fri Feb 20 22:24:07 +0000 2015
".@lexcalibur100 @twitter The first few days up there, Swanny would go behind us and put back the things we 'knocked off the walls.'",7,55,Fri Feb 20 22:22:15 +0000 2015
".@weasdown HAHA! #Earth of course.  Well, that and Saturn.  I love Saturn.",14,67,Fri Feb 20 22:21:26 +0000 2015
".@cycleroadie @NASASocial it is LONG.  About 4-5 hours. We need to purge nitrogen from our blood which take most of the time.",10,51,Fri Feb 20 22:20:33 +0000 2015
