tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroSamantha: Great #auroras announced again for this week. In the meantime, this beauty is from a couple of weeks ago. Enjoy! http://…",752,0,2015-04-06 16:26:06
"RT @MLedermueller: More from #lunareclipse #BloodMoon 04/04/15 @csa_asc #moon #Toronto #yyz #dailyphoto @BadAstronomer @NASA #astronomy htt…",17,0,2015-04-06 00:48:30
"RT @akunitsk: Canadian on the moon 🚀 The Space Centre in Vancouver @csa_asc http://t.co/rAwiur8yhz",10,0,2015-04-05 14:36:51
"RT @AstroSamantha: Good night from #space. Buona notte dallo spazio. http://t.co/Gr01VsMUu4",2815,0,2015-04-05 01:06:02
"RT @IceRoadAstro: IMAGE GALLERY Total lunar #eclipse, as seen from #Yellowknife, NWT on April 4, 2015 #yzf @CBCNorth @csa_asc http://t.co/O…",29,0,2015-04-05 00:52:58
"RT @MLedermueller: Composite of today's #LunarEclipse from #Toronto #YYZ. @csa_asc #Moon #BloodMoon #BloodMoonEclipse #dailyphoto #space ht…",35,0,2015-04-04 21:08:35
"RT @avspacemuseum: #OTDH 1991: Launch of satellite Anik E2  See it here on the site of the @CSA_ASC http://t.co/OdmyIZjx0j",6,0,2015-04-04 17:35:11
"RT @AstroSamantha: I was so fascinated by the #FrozenEarth this past Northern hemisphere winter. #HelloEarth http://t.co/q4hId2EgMl",503,0,2015-04-04 16:43:49
"RT @MLedermueller: #LunarEclipse over #Toronto  04/04/15 #BloodMoon #BloodMoonEclipse #BloodMoon2015 #DailyPhoto @csa_asc http://t.co/eXJJg…",47,0,2015-04-04 16:35:37
"RT @Astro_Jeremy: Mission Control camera views that show curvature of Earth still incite a 'Wow' moment. Look forward to view in space! htt…",23,0,2015-04-02 21:37:29
"RT @Tungsten_Flight: . @Astro_Wakata w/ @Astro_Jeremy as CAPCOM talking to @StationCDRKelly @AstroTerry @AstroSamantha The I in ISS. http:/…",40,0,2015-04-02 20:08:33
"RT @TallPinesSchool: TPS LE &amp; UE students were Skyping astronaut Jeremy Hansen of @csa_asc.  He inspired the kids to follow their passions …",7,0,2015-04-02 19:22:37
"RT @esascience: Eerie! #Hubble finds ghosts of quasars past, glowing in a goblin-green hue http://t.co/5NJtRCb30I http://t.co/P2oud8Q1Mp",199,0,2015-04-02 16:47:23
"RT @AstroTerry: The very last sliver of sun during a “high beta” #sunset. http://t.co/p3EHUGIIZF",744,0,2015-04-02 16:46:37
"RT @FragileOasis: Quite the spectacle don't you think? #Earth #Awe #ISS 26 March 2015 http://t.co/GaKxDk53DB",80,0,2015-04-02 02:47:05
"RT @ISS_Research: Plants to use sixth sense for growth for @ISS_Research - http://t.co/V6NnrLXXf1 @NASA @JAXA_en @esa @NASA_Astronauts http…",80,0,2015-04-01 20:04:45
"RT @LarkhallAcademy: Thank you to @Astro_Jeremy for skyping with our grade six students today! It was such a privilege for our students!",1,0,2015-04-01 19:54:31
