tweet,retweetsCount,favoritesCount,timestamp
"RT @ESA_Rosetta: It’s here!! Find out what happened to @Philae2014 on #CometLanding day in our cartoon adventures at #67P:  http://t.co/55y…",226,0,Mon Mar 09 16:39:26 +0000 2015
"#Galileo satellites ready for fuelling as their Soyuz takes shape for launch later this month http://t.co/fDaFFnpWvn http://t.co/jk9NdYifEh",37,34,Mon Mar 09 16:19:01 +0000 2015
"RT @esaoperations: Testing @AstroSamantha &amp; @AstroTerry's lung health in #ISS airlock for @ISS_Research http://t.co/PiU60RmmVC http://t.co/…",109,0,Mon Mar 09 16:15:26 +0000 2015
"RT @esascience: Inspired by #Hubble's iconic images? Create your #OdetoHubble &amp; win piece of its solar array! http://t.co/HHeJpuJvKx http:/…",93,0,Mon Mar 09 16:03:31 +0000 2015
"RT @ESA_History: #OTD 9 Mar 2008, @esa's 1st Automated Transfer Vehicle, ATV Jules Verne, launched @NASAhistory @esaoperations http://t.co/…",43,0,Mon Mar 09 14:16:56 +0000 2015
"Indeed! RT @AstroSamantha: Earth, the aurora, the stars... but #OurOutpostInSpace is a beautiful sight too, isn't it? http://t.co/CuWgekvnCk",41,63,Mon Mar 09 10:33:59 +0000 2015
"RT @AstroSamantha: #Greece kissed by the delicate light of the setting Sun / (IT) La Grecia baciata dalla luce delicata del tramonto. http:…",680,0,Mon Mar 09 09:01:16 +0000 2015
"RT @esascience: A vibrant veil - #Hubble unveils the twisted shockwaves of an exploded star http://t.co/WkxCk7f5VS http://t.co/ZifK1SWCma",221,0,Mon Mar 09 08:55:42 +0000 2015
"RT @AstroSamantha: Fascinating ice patterns in the Cabot Strait last week. #FrozenEarth #Canada http://t.co/PQwFIh5zTw",455,0,Mon Mar 09 08:17:53 +0000 2015
"@shareastronomy @BigBangFair @spacegovuk @ROGAstronomers @Raspberry_Pi - @USAScienceFest sounds similar: http://t.co/2jELCJQmHu",0,0,Sun Mar 08 17:04:56 +0000 2015
