tweet,retweetsCount,favoritesCount,timestamp
"ESA’s Galileo team, flight dynamics experts at ESOC + @CNES, #SpaceOpal &amp; #OHB pull it off! http://t.co/ZBWrfLQWhC http://t.co/3ZpJvDcSpX",3,5,Mon Mar 16 19:25:54 +0000 2015
"#ATV5 components made in #America will be used for @NASA_Orion. #blog http://t.co/3snzIslyA5 http://t.co/8UslE7weCV",41,53,Mon Mar 16 16:05:07 +0000 2015
"MT @ESA_EO: New concept using the #ISS &amp; navigation satellites to measure height of the sea http://t.co/1qC0INXsA4 http://t.co/RnA7axmBIS",21,16,Mon Mar 16 15:26:55 +0000 2015
"Eye Safety During Solar Eclipses:   never safe to watch without taking special precautions http://t.co/CVUdcARhX2 #solareclipse2015",15,13,Mon Mar 16 15:03:25 +0000 2015
"Determine when best to view #SolarEclipse2015 via @NASAGoddard 's online geo-tool http://t.co/xSpyBA1f5I http://t.co/WjfU86qOUv",44,26,Mon Mar 16 15:02:39 +0000 2015
"RT @esa Cavorting corona - aerial acrobatics in solar corona seen by #Proba2 @ESAscience IOW http://t.co/kY8Fo53fOi http://t.co/nx8dAYfc8x",14,13,Mon Mar 16 14:30:46 +0000 2015
"#RaspberryPi's power underground #astronaut ops MT @ESA_CAVES: what drives #CAVES operations http://t.co/mH2W2ft9l1 http://t.co/8eCK2CDO7K",8,10,Mon Mar 16 14:29:53 +0000 2015
"RT @esa: MT @AstroSamantha: A magnificent collision of colours on the Earth's horizon #HelloEarth.http://t.co/RXJW518mrM",46,0,Mon Mar 16 14:29:37 +0000 2015
"@julienvm @KeithSaiph Noted! Thank you.",0,0,Mon Mar 16 14:11:51 +0000 2015
"Life on #ISS can be colourfull RT @AstroSamantha: A magnificent collision of colors on the Earth horizon #HelloEarth http://t.co/Gpa4dMUxee",24,24,Mon Mar 16 13:18:56 +0000 2015
"RT @esa: Tonight 21:45 CET RT @euronews: What’s life like aboard the International Space Station? http://t.co/9fHLzGZQU0 http://t.co/mzYw6o…",83,0,Mon Mar 16 13:18:03 +0000 2015
".@DLR_en &amp; @IRS_RZBW are organising a workshop on #space station design. http://t.co/mmDl22Qbhg http://t.co/asbiwcI4Id",27,21,Mon Mar 16 12:03:42 +0000 2015
"RT @esamarswebcam: New VMC Images direct from Mars! 6 images taken 14.03.2015 http://t.co/U2e9VMOnid #marswebcam http://t.co/Fy4pP9c3Cv",41,38,Mon Mar 16 10:13:34 +0000 2015
"@Atmos_CH @U_Rieth #IMO reports depend on a sighting and a direction/location - very difficult to report sound only",0,0,Mon Mar 16 10:04:39 +0000 2015
"RT @UNOSAT: UNOSAT has triggered @DisastersChart for #Pam cyclone in #Vanuatu",8,0,Mon Mar 16 09:24:28 +0000 2015
"Did you see the fireball last night over DE, CH &amp; F? Please fill in the form http://t.co/0I8wSpRZxv #meteor #imo http://t.co/eoqtYpTPIe",62,22,Mon Mar 16 09:19:50 +0000 2015
"Join us Thu, 19.03, 14:30CET  #ESAHangout #VMCschools tutorial w/ #MarsExpress mission team http://t.co/Efj0vCPEre http://t.co/yexXlgaSKH",18,14,Mon Mar 16 07:51:27 +0000 2015
"#chillax-ing RT @Bethahealey Tough day in the office today at Dome Charlie @ItaliAntartide @esaoperations #Concordia http://t.co/LKnlQR8IOx",11,18,Mon Mar 16 07:23:42 +0000 2015
"RT @ESA_Rosetta: Listen to the story grandfather Giotto told us about his mission to Halley #OTD in 1986: https://t.co/477IuwTAoz http://t.…",184,0,Sat Mar 14 19:59:03 +0000 2015
