tweet,retweetsCount,favoritesCount,timestamp
"@extraairtime Tach Alex! Musste ich in den letzten Wochen oft dran denken - war ein toller Trip! Gruß an die anderen beiden!",1,3,Thu Mar 12 12:34:41 +0000 2015
"@CommanderMLA yep. @astro_reid",4,9,Thu Mar 12 02:29:57 +0000 2015
"RT @ISS101: TOUCHDOWN! The crew of #ISS Expedition 41/42 returns to Earth after a memorable 167-day mission to Space! http://t.co/NJYmBS8kOM",146,0,Thu Mar 12 02:14:45 +0000 2015
"RT @ISS_Research: Want to know more about the @iss_research #AstroButch &amp; his crewmates did on #ISS? Check out http://t.co/13PaGvWXFb http:…",42,0,Thu Mar 12 01:48:01 +0000 2015
"Amazing. Just saw #ISS &amp; #Soyuz #TMA-14M fly in tandem over Puerto Natales, Chile. Final orbit for #AstroButch, Sash &amp; Elena. Godspeed!",64,181,Thu Mar 12 01:16:32 +0000 2015
"#awesome! “@astro_reid: Video from our re-entry last year @astro_alex @msuraev.  Godspeed #AstroButch https://t.co/YHcO0oMj3V”",54,145,Thu Mar 12 00:06:34 +0000 2015
"RT @AstroSamantha: #HelloEarth Three good friends are heading back home tonight. A soft landing will be best welcome present! #DontPanic ht…",942,0,Wed Mar 11 20:44:00 +0000 2015
"Have a great ride home #AstroButch, Elena and Sasha! Looking forward to having you back on this planet. Enjoy the lasts views... #Soyuz",36,131,Wed Mar 11 14:31:16 +0000 2015
"1 hour work to get into that seat. “@Astro_Nicole: Look who's on Twitter login page @Astro_Alex @Msuraev @astro_reid http://t.co/QdlaZZa0LK”",42,128,Wed Mar 11 14:23:55 +0000 2015
"Danke @swish41! Freue mich, Teil des #Unicef-Teams zu sein. @UNICEFgermany",8,53,Wed Mar 11 12:52:05 +0000 2015
"Thanks @swish41! I am happy to be part of the team #Unicef. @UNICEFgermany",12,58,Wed Mar 11 12:51:27 +0000 2015
"Ground proofing Patagonian Lago Argentino. These Icebergs are clearly visible from space. Just not today. ;) http://t.co/yuRZR07bsp",102,260,Sun Mar 08 19:04:16 +0000 2015
"Patagonien aus der Froschperspektive. Diese Eisberge kann man aus dem Weltraum sehen. Nur nicht heute. ;) http://t.co/1H3F7NSe6z",46,219,Sun Mar 08 19:03:26 +0000 2015
"@irene_muc nicht schlecht... ;)",1,1,Sat Mar 07 00:32:10 +0000 2015
"Mein erstes erdgebundenes Geoquizz. Tipp: dieser Ort ist das 'Baikonur' der Antarktisforschung... http://t.co/NW6wyxJI1Y",28,118,Sat Mar 07 00:15:20 +0000 2015
"Als @UNICEFgermany-Botschafter rufe ich alle Jugendlichen auf: Bewerbt Euch bis 15.3. für den int. Jugendgipfel #J7. http://t.co/Zsu7xfxVJc",30,51,Fri Mar 06 12:54:43 +0000 2015
"#ScienceSelfie #piday http://t.co/360M7KtvjQ",277,587,Wed Mar 04 10:39:29 +0000 2015
"RT @helmholtz_de: #ScienceSelfie-Aktion zum Pi-Tag am 14.3.: Macht ein Selfie mit Wissenschaftsbezug! http://t.co/e6nuA3EC60 #piday /hk htt…",54,0,Wed Mar 04 10:37:16 +0000 2015
"In Memoriam of a great character and a fellow volcanologist. You will live on, long and prosper @TheRealNimoy #StarTrek",333,693,Fri Feb 27 21:28:23 +0000 2015
"Konnte ich mit eigenen Augen aus dem Weltraum sehen: Saharasand düngt Amazonas-Dschungel http://t.co/gD09M1sXOd @SPIEGELONLINE #BlueDot",30,77,Fri Feb 27 15:13:22 +0000 2015
"RT @astro_reid: Watched this happening from #space - Sahara fertilises the Amazon with 182mil tones of DUST yearly http://t.co/DiKJlij1Zu v…",114,0,Wed Feb 25 23:51:17 +0000 2015
"Leider wieder wach ;) RT @ESA_de: .@astro_alex hat einen Traum http://t.co/weIPNlfZQs via @ZEITmagazin http://t.co/1tt7Apbhpy",56,160,Wed Feb 25 08:58:54 +0000 2015
"RT @esa: If you have clear skies, you might be able to see the @Space_Station overhead from Europe in ~20 mins. Tips: http://t.co/bdh7zIgfgd",69,0,Sat Feb 21 18:12:17 +0000 2015
"RT @Astro_DavidS: Spacewalk going on outside ISS! Preparing for installation of a new spacecraft docking port. http://t.co/Swnv1w9eYt",26,0,Sat Feb 21 18:11:56 +0000 2015
"RT @Space_Station: Hard time connecting cables at home? Try it in a spacesuit w/gloves with Florida &amp; Bahamas ~250 miles beneath you. http:…",287,0,Sat Feb 21 18:11:27 +0000 2015
"Spanned: weiterbau der #ISS JETZT live auf NASA TV. #AstroButch &amp; @AstroTerry beim Weltraumausstieg.  http://t.co/X34bdQt8zS",95,252,Sat Feb 21 13:54:05 +0000 2015
"So werden unsere Aurora Photos aus dem Weltraum zu #Geophysik, um unseren Planeten besser zu verstehen http://t.co/M4sNrPbfui #BlueDot",41,95,Thu Feb 19 20:29:19 +0000 2015
"Here's how our aurora photos from space turn into #geophysics, helping to understand our #BlueDot http://t.co/M4sNrPbfui @astro_reid",86,131,Thu Feb 19 20:26:10 +0000 2015
"Dünen in der Sahara / Dunes in the #Sahara Desert. #BlueDot archive https://t.co/5PA8gpFM5d http://t.co/sN3HEW4QHS",104,259,Wed Feb 18 15:59:43 +0000 2015
"RT @ESA_de: Das #ATV5 ist in die Erdatmosphäre eingetreten. Die Kollegen im Kontrollzentrum in Toulouse winken  hinterher: http://t.co/APKj…",23,0,Sun Feb 15 18:17:33 +0000 2015
"RT @esaoperations: LOSS OF SIGNAL #LOS Contact with #ATV5 Georges Lemaître lost, as expected. It's all over #BigDive",108,0,Sun Feb 15 18:17:18 +0000 2015
"RT @Space_Station: 'ATV cargo vehicle released today! #SpaceVine timelapse of it departing Russian aft segment' #AstroButch https://t.co/fk…",215,0,Sat Feb 14 19:50:33 +0000 2015
"RT @ESA_de: Heute Abend um 19:14 Uhr könnt ihr #ISS und #ATV5 hell über dem #Ruhrgebiet vorüberziehen sehen. cc: @wdr @DerWesten http://t.c…",61,0,Sat Feb 14 16:33:20 +0000 2015
"RT @ESA_de: Das #ATV5 hat heute um 14:42 CET von der #ISS abgedockt. So sah @AstroSamantha den Raumtransporter http://t.co/BLeQp93Fxo",17,0,Sat Feb 14 16:28:52 +0000 2015
