account, group, totalTweets, totalRetweetedTweets, totalReplyTweets, totalMediaTweets, totalRetweets, totalFavorites,Retweeted tweets,Reply tweets,Media,Retweets,Favorites,,Retweeted tweets,Reply tweets,Media,Retweets,Favorites
astro_Jfrancois,ESA,28,1,0,0,25,14,4,0,0,89,50,esa,7,5,10,3777,2778
astro_timpeake,ESA,1408,65,145,81,76869,5847,5,10,6,5459,415,jaxa,2,0,2,1584,488
Thom_astro,ESA,1571,56,45,93,8858,3756,4,3,6,564,239,csa,8,4,8,6570,435
Astro_Alex,ESA,2724,27,13,69,10204,17756,1,0,3,375,652,Roscosmos,1,1,9,1061,864
AstroSamantha,ESA,3220,120,290,990,616380,1024899,4,9,31,19142,31829,NASA,4,3,6,2783,1630
astro_luca,ESA,3204,254,385,150,53281,4492,8,12,5,1663,140,,,,,,
astro_andre,ESA,2496,335,43,279,137782,1865,13,2,11,5520,75,,,,,,
astro_paolo,ESA,1356,1,40,4,382,519,0,3,0,28,38,,Retweeted tweets,Reply tweets,Media,Retweets,Favorites
Astro_Andreas,ESA,1179,90,59,55,14710,1784,8,5,5,1248,151,esa,3,1,3,974,148
CFuglesang,ESA,1158,23,7,38,13001,354,2,1,3,1123,31,jaxa,3,1,1,4077,520
ESA_EAC,ESA,371,3,0,2,111,13,1,0,1,30,4,csa,3,1,5,4869,3459
esa,ESA,3202,1077,382,1249,358552,54973,34,12,39,11198,1717,Roscosmos,3,1,3,889,46
esaoperations,ESA,3205,290,54,613,85470,24665,9,2,19,2667,770,NASA,1,1,1,627,800
Astro_Satoshi,JAXA,3143,17,49,43,15390,6983,1,2,1,490,222,,,,,,
Astro_Wakata,JAXA,559,18,3,24,25280,5171,3,1,4,4522,925,,,,,,
Astro_Soichi,JAXA,3198,26,3,74,35700,20677,1,0,2,1116,647,,,,,,
Astro_Kimiya,JAXA,2101,4,5,31,12097,22549,0,0,1,576,1073,,,,,,
JAXA_en,JAXA,1050,1,0,10,778,576,0,0,1,74,55,,,,,,
Aki_Hoshide,JAXA,3215,181,1,108,87590,254,6,0,3,2724,8,,,,,,
csa_asc,CSA,3228,710,377,643,279194,10573,22,12,20,8649,328,,,,,,
asc_csa,CSA,3238,147,72,344,5061,833,5,2,11,156,26,,,,,,
Astro_Jeremy,CSA,1275,24,10,38,337415,1489,2,1,3,26464,117,,,,,,
Astro_DavidS,CSA,1167,37,52,62,65586,2221,3,4,5,5620,190,,,,,,
AstroDaveMD,CSA,1199,207,62,150,62179,257,17,5,13,5186,21,,,,,,
Cmdr_Hadfield,CSA,3202,83,190,192,407556,102066,3,6,6,12728,3188,,,,,,
