tweet,retweetsCount,favoritesCount,timestamp
"@horizonqmgs @NASA @SpaceX @elonmusk now you're talking... :)",1,3,Sat Mar 14 03:49:19 +0000 2015
"RT @esa: Clervoy learns about #astroPi initiative during  @astro_timpeake mission from @dave_spice at#bigbangfair UK http://t.co/zl2vg3lg8P",29,0,Fri Mar 13 17:46:52 +0000 2015
"Dear @NASA, please may I borrow this for the weekend? http://t.co/b9iOfEFCbY",16,55,Fri Mar 13 16:29:39 +0000 2015
"@wiskow_julie @pheasicals prettiest payload I've ever seen :)",5,6,Fri Mar 13 16:26:21 +0000 2015
"RT @NASA: New expandable @Space_Station addition will help future space habitat systems: http://t.co/zbYFMlG855 @BigelowSpace http://t.co/m…",305,0,Fri Mar 13 01:07:07 +0000 2015
"RT @bushofficial: Incredible band/crew tour of @NASA today in Houston. Big thanks. #NASA http://t.co/oWcgoocr6K",31,0,Fri Mar 13 01:04:05 +0000 2015
"Feeling chilly? Training on -80degC #ISS freezer today! http://t.co/Ihr8DPiw3a",20,37,Thu Mar 12 21:46:50 +0000 2015
"@Troywood24 great talking with you again Troy! Hope the weather picks up back home :)",0,1,Wed Mar 11 22:29:11 +0000 2015
"RT @vr_doug: @astro_timpeake #Malenchenko @astro_tim Exp46/47 performing critical integraded Robo/EVA training! @esa @spacegovuk http://t.c…",7,0,Wed Mar 11 22:24:57 +0000 2015
"RT @vr_doug: @astro_timpeake takes a 'peek into the future' of his mission Exp 46/47 using #VRLab tech! @NASA_Johnson @spacegovuk http://t.…",5,0,Wed Mar 11 22:24:31 +0000 2015
"RT @SarahBrightman: Sarah Brightman Announces Press Conference March 10th - London, UK http://t.co/RUbY7gZSdN",30,0,Tue Mar 10 03:22:37 +0000 2015
"RT @projhermes: @astro_timpeake  I'm 15 years old and launching a space balloon campaign on @kickstarter at: http://t.co/zhhm6jABti  Could …",9,0,Sun Mar 08 16:55:07 +0000 2015
"@jollyhappybore if I can't manage a match &amp; pie to deliver it back in person (which I hope to) then of course it's coming back by post!",7,10,Sun Mar 08 04:30:37 +0000 2015
"@Processor_IRL only most of the time ;) thankfully we have good written procedures that help &amp; great training for the really important stuff",0,1,Sun Mar 08 04:26:47 +0000 2015
"@Troywood24 glad you like it Troy...I now have lapel pins, badges, stickers, coins, t-shirts &amp; more of your winning design going into space!",2,5,Sun Mar 08 04:23:12 +0000 2015
"@spacecentre looks fantastic - loved some of the other creations too, space station in particular...great idea!",0,1,Sun Mar 08 04:19:32 +0000 2015
"@starbuck5250 can elevate internal suit pressure using 100% O2 to ~8psi by capping the pressure relief valve.",0,0,Sat Mar 07 03:54:14 +0000 2015
"Learning how our spacesuit can become a hyperbaric chamber to treat the bends-let's hope we never use it for that! http://t.co/SDsjFz7kkR",32,73,Fri Mar 06 21:27:43 +0000 2015
"@estellerosa @SpacefundJo seriously impressive!!",2,2,Fri Mar 06 03:56:52 +0000 2015
"@astro_leonard can't wait to taste some of the winning dishes from the Great British Space Dinner competition...and of course a good cuppa!",0,4,Fri Mar 06 03:56:24 +0000 2015
"@wiskow_julie these are great...patches worthy of spaceflight!",1,2,Fri Mar 06 03:46:45 +0000 2015
"Can you wiggle your toes? Fit check this morning for Class I (i.e real deal!) boots and gloves for US spacesuit :) http://t.co/hFtXXqZ8zt",115,181,Wed Mar 04 03:33:30 +0000 2015
"RT @AstroTerry: http://t.co/ErjTLgCIrL",40612,0,Sat Feb 28 16:28:53 +0000 2015
"@Thom_astro Bon anniversaire  - here's a reminder of the days when u looked young &amp; carefree ;) 🍻 http://t.co/1SHNTMzMRj",5,33,Fri Feb 27 21:40:53 +0000 2015
"@wiskow_julie these letters are wonderful - brightened up my Friday no end, thank you so much!",1,4,Fri Feb 27 21:29:38 +0000 2015
"@wiskow_julie brilliant - well done Sam &amp; Phoebe #ballisticballoon",2,3,Thu Feb 26 19:09:59 +0000 2015
"RT @essdevu: 2000+ people have now watched the Google Hangout with @astro_timpeake which we hosted at @MMU_Cheshire. Watch it now https://t…",14,0,Thu Feb 26 19:07:43 +0000 2015
"@Jules77H it was really fun to talk with you today Jack - keep up the great work!",2,0,Wed Feb 25 21:27:53 +0000 2015
"Supposed to be relaxing (&amp; fasting) prior to early morning test of resting metabolic rate...still buzzing though after great day @ESA_EAC",7,37,Wed Feb 25 19:50:04 +0000 2015
"@Clair_Simon probably not as much as I should! Sometimes it's good to reflect - I hope there'll be time for that in space!",0,1,Wed Feb 25 18:17:10 +0000 2015
"@venturethinking @TUPhysLabs @TeessideUni @ukspace @esa Good work guys - looking fit &amp; strong!",2,4,Wed Feb 25 16:23:36 +0000 2015
"Check this out-real spaceflight hardware. I'll be taking these @astro_pi computers to the #ISS http://t.co/2h9exELaPy http://t.co/7avG5pbbec",103,90,Wed Feb 25 14:15:53 +0000 2015
"Great hang out w/Rode Heath. Brilliant questions-room packed with future scientists, engineers &amp; astronauts! @OotW_UK http://t.co/tzMs4SwPgd",24,35,Wed Feb 25 10:54:41 +0000 2015
"CT scan-check, PT test-check, blood draw-check...must be time for a Google hangout with @OotW_UK lets go!!",10,21,Wed Feb 25 09:46:14 +0000 2015
"@OotW_UK Wow - you guys are early...better go get my spacesuit on ;)",5,6,Wed Feb 25 09:43:56 +0000 2015
"Go girls! '@SpacefundJo: @astro_timpeake You are putting smiles on many faces! #GirlsInSpace @GirlguidingKentEast http://t.co/mNFnXk2gcE”",13,35,Tue Feb 24 17:39:28 +0000 2015
"@wood_sheila love the fact file...now I really am going to have to take my didgeridoo to space ;)",0,4,Tue Feb 24 08:15:34 +0000 2015
"RT @unspaceagency: great day with the truly awesome @astro_timpeake - MASSIVELY excited for his #principia mission",4,0,Tue Feb 24 08:13:28 +0000 2015
"@wiskow_julie can't wait to chat with you all tomorrow...love the t-shirts",8,1,Tue Feb 24 07:18:18 +0000 2015
"@joparfreyjones plain old simple curiosity...and of course a passion for exploration!",0,1,Mon Feb 23 16:36:02 +0000 2015
"@JayneLF You guys rock - well done with all that research :)",0,0,Mon Feb 23 16:32:51 +0000 2015
