account, group, totalTweets, totalRetweetedTweets, totalReplyTweets, totalMediaTweets, totalRetweets, totalFavorites
astro_Jfrancois,ESA,27,1,0,0,49,30
astro_timpeake,ESA,200,3,4,6,1788,506
Thom_astro,ESA,200,10,8,14,1001,473
Astro_Alex,ESA,200,10,17,76,32348,71044
AstroSamantha,ESA,200,0,0,0,0,0
astro_luca,ESA,200,0,0,0,0,0
astro_andre,ESA,200,0,0,0,0,0
astro_paolo,ESA,200,0,0,0,118,25
Astro_Andreas,ESA,200,42,34,16,16198,612
CFuglesang,ESA,200,27,5,50,2660,700
ESA_EAC,ESA,200,33,29,47,1112,507
esa,ESA,200,0,0,0,0,0
esaoperations,ESA,200,0,0,0,0,0
Astro_Satoshi,JAXA,200,29,116,97,16113,11301
Astro_Wakata,JAXA,200,12,5,101,107948,105699
Astro_Soichi,JAXA,199,60,3,70,105863,23180
Astro_Kimiya,JAXA,200,0,0,1,5319,7863
JAXA_en,JAXA,200,3,2,9,2113,993
Aki_Hoshide,JAXA,200,119,1,70,53545,562
csa_asc,CSA,200,0,0,0,0,0
asc_csa,CSA,200,0,0,0,0,0
Astro_Jeremy,CSA,200,36,50,73,52008,3738
Astro_DavidS,CSA,200,72,23,74,54375,1240
AstroDaveMD,CSA,200,3,1,1,7,12
Cmdr_Hadfield,CSA,200,0,0,0,0,0
RobertaBondar,CSA,199,51,19,43,4617,92
RobertThirsk,CSA,23,1,3,1,3,3
AstroGarneau,CSA,92,0,0,0,0,0
fka_roscosmos,Roscosmos,200,1,0,84,4015,2397
spacetihon,Roscosmos,162,11,48,45,7178,209
OlegMKS,Roscosmos,200,32,10,90,17534,4241
Msuraev,Roscosmos,199,11,2,48,7634,4890
AntonAstrey,Roscosmos,200,91,0,123,26689,5232
NASA,NASA,200,0,0,0,0,0
NASA_Astronauts,NASA,200,0,0,0,0,0
NASAPeople,NASA,200,33,0,22,11042,65
AstroClass2013,NASA,101,22,9,59,2022,516
SciAstro,NASA,200,24,7,60,4674,1189
Astro_Flow,NASA,200,0,0,0,0,0
Astro_Cady,NASA,200,0,0,0,0,0
Astro_Ferg,NASA,200,4,11,14,546,565
Astro_Clay,NASA,200,0,0,0,0,0
AstroCoastie,NASA,5,0,0,0,0,0
astro_Pettit,NASA,105,0,0,8,391,789
AstroDot,NASA,200,86,39,62,112601,476
Astro_Wheels,NASA,200,0,0,0,0,0
Astro_Doug,NASA,52,0,0,0,0,0
Astro_Taz,NASA,25,0,0,0,0,0
Astro_Box,NASA,199,21,6,36,7458,339
Astro2fish,NASA,200,18,27,47,3208,1152
Astro_Jeff,NASA,200,0,0,0,0,0
AstroAcaba,NASA,161,0,0,0,0,0
AstroKarenN,NASA,200,19,91,99,21758,18481
Astro_Kate7,NASA,87,2,0,2,614,0
astro_kjell,NASA,75,7,2,8,371,82
Astro_127,NASA,200,0,0,0,0,0
AstroIronMike,NASA,200,2,0,2,857,0
foreman_mike,NASA,200,17,34,35,3951,744
astro_aggie,NASA,200,35,26,56,18813,1380
AstroIllini,NASA,200,6,66,73,16777,25536
Astro_Mike,NASA,200,30,10,41,2719,5002
Astro_Nicholas,NASA,27,0,0,0,0,0
Astro_Nicole,NASA,200,2,92,96,2380,2931
astro_reid,NASA,200,2,41,11,7097,15620
Astro_Rex,NASA,83,0,0,3,466,602
AstroRM,NASA,200,1,27,110,40077,49558
Astro_Ron,NASA,200,0,0,0,0,0
Astro_Sandy,NASA,200,1,23,38,546,888
AstroSerena,NASA,41,0,2,8,123,191
StationCDRKelly,NASA,198,23,33,64,10155,5426
Astro_Maker,NASA,111,26,16,35,1961,219
Astro_Suni,NASA,127,0,0,7,76,162
AstroTerry,NASA,200,0,0,0,0,0
astro_tim,NASA,69,0,0,1,67,133
AstroMarshburn,NASA,200,0,4,1,120,240
Astro_TJ,NASA,200,39,61,20,24033,763
Chief_Astronaut,NASA,200,19,6,120,12473,4029
Commercial_Crew,NASA,200,3,20,51,4923,2505
DESERT_RATS,NASA,196,10,6,3,484,14
HMP,NASA,200,15,3,11,137,18
ISS_Research,NASA,200,0,0,0,0,0
NASAMightyEagle,NASA,200,0,0,2,4,2
NASA_NEEMO,NASA,200,88,72,102,2723,1054
NASA_Orion,NASA,200,0,0,0,0,0
PavilionLake,NASA,200,2,1,13,26,13
MorpheusLander,NASA,200,27,117,34,2285,1273
AstroRobonaut,NASA,200,53,47,43,17998,1409
NASA_SLS,NASA,200,0,0,0,0,0
